Sample name,Participant lab,Submitter,Technology,Original technology,Ionisation source,Mass analyser,Source pressure,Matrix long,Matrix short,Polarity,Slide code,Interlab,All,Dataset ID
10G  PNNL  MALDI-FTICR  NEDC  negative,PNNL,Dusan Velickovic,MALDI-FTICR,MALDI/FTICR,MALDI,FTICR,Vacuum,N-(1-Naphthyl)ethylenediamine dihydrochloride,NEDC,negative,10G,True,True,2022-03-11_09h27m55s|2022-03-11_09h27m57s
10I  PNNL  MALDI-FTICR  DHB  positive,PNNL,Dusan Velickovic,MALDI-FTICR,MALDI/FTICR,MALDI,FTICR,Vacuum,"2,5-dihydroxybenzoic acid",DHB,positive,10I,True,True,2022-03-11_09h27m51s|2022-03-11_09h27m53s
12C  HS Mannheim  MALDI-FTICR  DHB  positive,HS Mannheim,Tobias Bausbacher,MALDI-FTICR,MALDI/FTICR(Solarix),MALDI,FTICR,Vacuum,"2,5-dihydroxybenzoic acid/TFA",DHB,positive,12C,True,True,2021-07-30_05h15m49s
12E  HS Mannheim  MALDI-FTICR  DAN  negative,HS Mannheim,Tobias Bausbacher,MALDI-FTICR,MALDI/FTICR(Solarix),MALDI,FTICR,Vacuum,"1,5-diaminonaphthalene",DAN,negative,12E,True,True,2021-07-30_05h55m13s
12G  HS Mannheim  MALDI-qTOF  DHB  positive,HS Mannheim,Tobias Bausbacher,MALDI-qTOF,MALDI/qTOF(TimsTOF),MALDI,qTOF,Vacuum,"2,5-dihydroxybenzoic acid/TFA",DHB,positive,12G,True,True,2021-07-30_06h15m40s
12I  HS Mannheim  MALDI-qTOF  DAN  negative,HS Mannheim,Tobias Bausbacher,MALDI-qTOF,MALDI/qTOF(TimsTOF),MALDI,qTOF,Vacuum,"1,5-diaminonaphthalene",DAN,negative,12I,True,True,2021-07-30_07h11m07s
13G  Bruker  MALDI-qTOF  DHB  positive,Bruker,Janina Oetjen,MALDI-qTOF,MALDI-TimsTOF,MALDI,qTOF,Vacuum,"2,5-dihydroxybenzoic acid",DHB,positive,13G,True,True,2021-07-30_03h21m10s
13J  Bruker  MALDI-qTOF  NEDC  negative,Bruker,Janina Oetjen,MALDI-qTOF,MALDI-TimsTOF,MALDI,qTOF,Vacuum,N-(1-Naphthyl)ethylenediamine dihydrochloride,NEDC,negative,13J,True,True,2021-07-30_02h22m33s
14B  MPI Bremen  AP-MALDI-Orbitrap  sDHB  positive,MPI Bremen,Manuel Liebeke,AP-MALDI-Orbitrap,AP-SMALDI10/Orbitrap,AP-MALDI,Orbitrap,Ambient,"9:1 2,5-dihydroxybenzoic acid : 2-hydroxy-5-methoxybenzoic acid",sDHB,positive,14B,True,True,2022-02-19_09h24m30s|2022-02-18_23h32m39s
14D  MPI Bremen  AP-MALDI-Orbitrap  9AA  negative,MPI Bremen,Manuel Liebeke,AP-MALDI-Orbitrap,AP-SMALDI10/Orbitrap,AP-MALDI,Orbitrap,Ambient,9-aminoacridine,9AA,negative,14D,True,True,2022-02-18_23h32m51s|2022-02-18_23h32m54s
