Sample name,Amines,"Amino acids, peptides, and analogues",Carbohydrates,Carboxylic acids,Lipids and lipid-like molecules,"Nucleosides, nucleotides, and analogues",Vitamins and cofactors
10G  PNNL  MALDI-FTICR  NEDC  negative,0.0,0.44680851063829785,0.5294117647058824,0.3157894736842105,0.7222222222222222,0.76,0.5625
12E  HS Mannheim  MALDI-FTICR  DAN  negative,0.08333333333333333,0.5531914893617021,0.7058823529411765,0.47368421052631576,0.6666666666666666,0.84,0.5625
12I  HS Mannheim  MALDI-qTOF  DAN  negative,0.16666666666666666,0.6808510638297872,0.35294117647058826,0.5263157894736842,0.3055555555555556,0.72,0.75
13J  Bruker  MALDI-qTOF  NEDC  negative,0.4166666666666667,0.574468085106383,0.6470588235294118,0.47368421052631576,0.5833333333333334,0.76,0.6875
14D  MPI Bremen  AP-MALDI-Orbitrap  9AA  negative,0.0,0.1702127659574468,0.5294117647058824,0.3684210526315789,0.5,0.52,0.375
15C  EMBL  AP-MALDI-Orbitrap  pNA  negative,0.0,0.6808510638297872,0.5294117647058824,0.6842105263157895,0.6944444444444444,0.68,0.625
1C  AstraZeneca  DESI-Orbitrap  none  negative,0.4166666666666667,0.9361702127659575,0.9411764705882353,0.8421052631578947,0.7777777777777778,0.96,0.875
1H  UT Austin  DESI-Orbitrap  none  negative,0.08333333333333333,0.46808510638297873,0.6470588235294118,0.631578947368421,0.3888888888888889,0.52,0.5625
3A  Dreisewerd group  MALDI2-Orbitrap  DHAP  negative,0.0,0.5106382978723404,0.17647058823529413,0.21052631578947367,0.5277777777777778,0.48,0.625
3C  EMBL  AP-MALDI-Orbitrap  CMBT  negative,0.0,0.2978723404255319,0.11764705882352941,0.42105263157894735,0.6111111111111112,0.16,0.375
3D  EMBL  AP-MALDI-Orbitrap  ClCCA  negative,0.0,0.2127659574468085,0.23529411764705882,0.5263157894736842,0.4166666666666667,0.36,0.4375
3F  EMBL  AP-MALDI-Orbitrap  DHAP  negative,0.0,0.5106382978723404,0.29411764705882354,0.631578947368421,0.6111111111111112,0.36,0.5
3H  EMBL  AP-MALDI-Orbitrap  NEDC  negative,0.0,0.0851063829787234,0.0,0.2631578947368421,0.6666666666666666,0.16,0.0625
3J  EMBL  AP-MALDI-Orbitrap  MAPS  negative,0.0,0.02127659574468085,0.0,0.3684210526315789,0.5277777777777778,0.08,0.1875
5GI  U Copenhagen  DESI-Orbitrap  none  negative,0.08333333333333333,0.6808510638297872,0.8823529411764706,0.5263157894736842,0.75,0.76,0.5
6F  EMBL  AP-MALDI-Orbitrap  NOR  negative,0.08333333333333333,0.7659574468085106,0.8823529411764706,0.6842105263157895,0.6388888888888888,0.84,0.625
6G  EMBL  AP-MALDI-Orbitrap  CHCA  negative,0.0,0.2553191489361702,0.5294117647058824,0.631578947368421,0.4444444444444444,0.52,0.375
6H  EMBL  AP-MALDI-Orbitrap  PNDI  negative,0.0,0.0,0.0,0.10526315789473684,0.3333333333333333,0.16,0.125
6J  EMBL  AP-MALDI-Orbitrap  9AA  negative,0.16666666666666666,0.8085106382978723,0.8823529411764706,0.7368421052631579,0.7222222222222222,0.92,0.6875
7A  EMBL  AP-MALDI-Orbitrap  DAN  negative,0.08333333333333333,0.8085106382978723,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.88,0.9375
7B  Dreisewerd group  MALDI-qTOF  DHAP  negative,0.0,0.2553191489361702,0.17647058823529413,0.2631578947368421,0.5,0.48,0.4375
7J  EMBL  AP-MALDI-Orbitrap  DHB  negative,0.0,0.23404255319148937,0.29411764705882354,0.5789473684210527,0.4166666666666667,0.48,0.5
8D  JLU Giessen  AP-MALDI-Orbitrap  9AA  negative,0.0,0.7021276595744681,0.5882352941176471,0.631578947368421,0.6388888888888888,0.92,0.75
9E  NCSU  IR-MALDESI-Orbitrap  water  negative,0.3333333333333333,0.7872340425531915,0.9411764705882353,0.7368421052631579,0.7222222222222222,0.76,0.8125
