ds_id	Slide	Polarity	Mass Range	Group	Source	Analyzer	RP	Mref	Matrix	Rotation	Mergeable	Link	Mergewith	Done	Px_x	Px_y	Clone
2021-03-22_14h59m52s	4C	pos	Full	Dreisewerd	MALDI-2	Orbitrap	140000	200	DHAP	1	No		0	1	100	100	2021-12-02_16h43m32s
2021-03-22_15h14m29s	4F	pos	Full	Dreisewerd	MALDI-2	Orbitrap	140000	200	DHAP	-1	No		0	1	100	100	2021-12-02_16h52m45s
2021-04-30_09h29m56s	3A	neg	Full	Dreisewerd	MALDI-2	Orbitrap	140000	200	DHAP	-1	No		0	1	100	100	2021-12-02_17h01m03s
2021-04-30_09h16m59s	3B	pos	Full	Dreisewerd	MALDI-2	Orbitrap	140000	200	DHAP	-1	No		0	1	100	100	2021-12-02_17h07m17s
2021-04-30_09h53m23s	3B	neg	Full	Dreisewerd	MALDI-2	Orbitrap	140000	200	DHAP	-1	No		0	1	100	100	2021-12-02_17h16m57s
2021-04-30_09h20m42s	3A	pos	Full	Dreisewerd	MALDI-2	Orbitrap	140000	200	DHAP	-1	No		0	1	100	100	2021-12-02_17h19m16s
2021-03-29_04h08m18s	1G	neg	Low	Eberlin	DESI	Orbitrap	60000	200	None	11	Yes		2021-03-29_02h41m53s	1	100	100	2021-12-19_10h02m22s
2021-03-29_02h41m53s	1G	neg	High	Eberlin	DESI	Orbitrap	60000	200	None	11	Yes		0	1	100	100	2021-12-19_10h02m22s
2021-03-29_03h23m18s	1H	neg	Low	Eberlin	DESI	Orbitrap	60000	200	None	11	Yes		2021-03-29_02h08m19s	1	100	100	2021-12-19_10h34m32s
2021-03-29_02h08m19s	1H	neg	High	Eberlin	DESI	Orbitrap	60000	200	None	11	Yes		0	1	100	100	2021-12-19_10h34m32s
2021-03-29_00h13m35s	1I	pos	High	Eberlin	DESI	Orbitrap	60000	200	None	11	Yes		2021-03-28_21h33m31s	1	100	100	2021-12-23_09h44m30s
2021-03-28_21h33m31s	1I	pos	Low	Eberlin	DESI	Orbitrap	60000	200	None	11	Yes		0	1	100	100	2021-12-23_09h44m30s
2021-03-28_23h24m30s	1J	pos	High	Eberlin	DESI	Orbitrap	60000	200	None	11	Yes		2021-03-28_22h13m58s	1	100	100	2021-12-19_23h56m42s
2021-03-28_22h13m58s	1J	pos	Low	Eberlin	DESI	Orbitrap	60000	200	None	11	Yes		0	1	100	100	2021-12-19_23h56m42s
2021-02-15_21h23m26s	1A	pos	Low	Goodwin	DESI	Orbitrap	140000	200	None	-11	Yes		2021-02-15_22h07m52s	1	100	100	2021-12-23_09h43m49s
2021-02-15_22h07m52s	1A	pos	High	Goodwin	DESI	Orbitrap	140000	200	None	-11	Yes		0	1	100	100	2021-12-23_09h43m49s
2021-02-15_23h09m43s	1B	neg	Low	Goodwin	DESI	Orbitrap	140000	200	None	-11	Yes		2021-02-15_22h18m04s	1	100	100	2021-12-19_16h21m20s
2021-02-15_22h18m04s	1B	neg	High	Goodwin	DESI	Orbitrap	140000	200	None	-11	Yes		0	1	100	100	2021-12-19_16h21m20s
2021-02-22_11h19m14s	1C	neg	Low	Goodwin	DESI	Orbitrap	140000	200	None	11	Yes		2021-02-22_11h20m53s	1	100	100	2021-12-19_16h27m49s
2021-02-22_11h20m53s	1C	neg	High	Goodwin	DESI	Orbitrap	140000	200	None	11	Yes		0	1	100	100	2021-12-19_16h27m49s
2021-02-22_17h33m33s	1D	pos	Low	Goodwin	DESI	Orbitrap	140000	200	None	11	Yes		2021-02-22_17h43m57s	1	100	100	2021-12-23_09h45m04s
2021-02-22_17h43m57s	1D	pos	High	Goodwin	DESI	Orbitrap	140000	200	None	11	Yes		0	1	100	100	2021-12-23_09h45m04s
