row_id,dataset_id,name_short,formula,adduct,neutral_loss,well,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio,spot_intensity_tic_norm,spot_intensity_bgr_corrected_tic_norm,spot_intensity_sum_tic_norm,spot_intensity_std_tic_norm,other_spot_intensity_tic_norm,bg_intensity_tic,far_bg_intensity_tic,intensity_vs_far_bg_ratio_tic,intensity_vs_other_spots_ratio_tic
2021-11-08_17h35m50s_C16H32O2_+Na_+C8H8O3_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,+Na,+C8H8O3,24,0.0,0.0,0.0,0.0,0.0013736263736263737,0.0038544557508479803,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,139.44302368164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011791569704655558,0.0,0.0,0.0,0.0
2021-11-08_17h35m50s_C16H32O2_+K_+C8H8O3_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,+K,+C8H8O3,24,2.825962952410851,312.8497398572563,0.028985507246376812,0.014492753623188406,0.004835164835164835,0.012950971322849213,0.0002568603108009761,0.0002568603108009761,2.824374727248676,6,4.123213768005371,4.110760688781738,284.5017395019531,25.193248748779297,19.691267013549805,0.012179533950984478,0.012453022412955761,306.4897716987792,0.20938238168151388,6.997550372034311e-06,6.9825055106775835e-06,0.0004828309756703675,4.259106935933232e-05,1.2839622286264785e-05,1.4714624185785397e-08,1.504503721605488e-08,0.006997445095212437,0.0069088434319333454
2021-11-08_17h35m50s_C16H32O2_+H_+C8H8O3_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,+H,+C8H8O3,24,1.1853924573131343,9.398420451333676,0.014492753623188406,0.014492753623188406,0.0027472527472527475,0.0036231884057971015,0.0022261226936084594,0.0022261226936084594,1.1847901283738722,40,1.9342985153198242,1.7286406755447388,133.4665985107422,15.95063591003418,0.37449637055397034,0.20481102168560028,0.20565779507160187,9.359910738666485,5.151310816842653,2.8393883440003265e-06,2.5732085759955226e-06,0.00019591778982430696,2.341419349249918e-05,4.2655105403355265e-07,2.6492438109926297e-07,2.6617971116138506e-07,0.0028386327575528275,0.0028381777163039024
2021-11-08_17h35m50s_C16H32O2_+K_-CO2_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,+K,-CO2,24,0.0,0.0,0.0,0.0,0.0006318681318681319,0.0006167129201356768,0.0006421507770024402,0.0006421507770024402,0.0,8,0.0,-0.04075436294078827,0.0,0.0,0.03810659795999527,0.039859332144260406,0.04075436294078827,0.0,0.0,0.0,-5.2987616072641686e-08,0.0,0.0,6.782160255625058e-08,5.182392470715058e-08,5.2987616072641686e-08,0.0,0.0
2021-11-08_17h35m50s_C16H32O2_+H_-CO2_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,+H,-CO2,24,0.0,0.0,0.0,0.0,0.000576923076923077,0.0006938020351526364,0.0005137206216019522,0.0005137206216019522,0.0,7,0.0,-0.03010251186788082,0.0,0.0,0.04382950812578201,0.032106369733810425,0.03010251186788082,0.0,0.0,0.0,-4.071335268918119e-08,0.0,0.0,5.7163926925341e-08,4.301567813058682e-08,4.071335268918119e-08,0.0,0.0
2021-11-08_17h35m50s_C16H32O2_+Na_-CO2_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,+Na,-CO2,24,0.0,0.0,0.0,0.0,0.00046703296703296703,0.00046253469010175765,0.00047091056980178947,0.00047091056980178947,0.0,6,0.0,-0.02771800197660923,0.0,0.0,0.028544098138809204,0.03004371002316475,0.02771800197660923,0.0,0.0,0.0,-3.6652942014825385e-08,0.0,0.0,3.9547895624991725e-08,3.9710467802933636e-08,3.6652942014825385e-08,0.0,0.0
2021-11-08_17h35m50s_C16H32O2_[M]+_-CO2_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,[M]+,-CO2,24,0.0,0.0,0.0,0.0,0.0004120879120879121,0.00046253469010175765,0.0003852904662014641,0.0003852904662014641,0.0,6,0.0,-0.025337625294923782,0.0,0.0,0.02852281741797924,0.02478117309510708,0.025337625294923782,0.0,0.0,0.0,-3.210723065194543e-08,0.0,0.0,3.567445716612383e-08,3.14021058045455e-08,3.210723065194543e-08,0.0,0.0
2021-11-08_17h35m50s_C16H32O2_+H_-CH2O2_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,+H,-CH2O2,24,0.0,0.0,0.0,0.0,0.000521978021978022,0.00046253469010175765,0.0005565306734021148,0.0005565306734021148,0.0,6,0.0,-0.035946935415267944,0.0,0.0,0.02822647988796234,0.03515748307108879,0.035946935415267944,0.0,0.0,0.0,-4.8563531862555465e-08,0.0,0.0,3.5053346891800174e-08,4.7497003663465875e-08,4.8563531862555465e-08,0.0,0.0
2021-11-08_17h35m50s_C16H32O2_[M]+_+C8H8O3_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,[M]+,+C8H8O3,24,0.0,0.0,0.0,0.0,0.00035714285714285714,0.0005396238051187173,0.0002568603108009761,0.0002568603108009761,0.0,5,0.0,-0.023823538795113564,0.0,0.0,0.06130518391728401,0.02330033667385578,0.023823538795113564,0.0,0.0,0.0,-3.252266012054861e-08,0.0,0.0,4.9038607841112025e-08,3.180840835170784e-08,3.252266012054861e-08,0.0,0.0
2021-11-08_17h35m50s_C16H32O2_[M]+_-H2O_24,2021-11-08_17h35m50s,Palmitic acid,C16H32O2,[M]+,-H2O,24,0.0,0.0,0.0,0.0,0.00024725274725274725,0.0003083564600678384,0.0002140502590008134,0.0002140502590008134,0.0,4,0.0,-0.011538962833583355,0.0,0.0,0.019185423851013184,0.014235766604542732,0.011538962833583355,0.0,0.0,0.0,-1.525088322296142e-08,0.0,0.0,2.2243694886014964e-08,1.898095369767816e-08,1.525088322296142e-08,0.0,0.0
