Clone ID,20 Labs ID
2021-07-29_18h23m02s,2021-07-29_18h23m02s
2021-07-29_23h46m45s,2021-07-29_23h46m45s
2021-07-30_00h51m20s,2021-07-30_00h51m20s
2021-07-30_02h04m13s,2021-07-30_02h04m13s
2021-07-30_02h22m33s,2021-07-30_02h22m33s
2021-07-30_02h32m16s,2021-07-30_02h32m16s
2021-07-30_02h53m49s,2021-07-30_02h53m49s
2021-07-30_03h21m10s,2021-07-30_03h21m10s
2021-07-30_04h08m37s,2021-07-30_04h08m37s
2021-07-30_04h20m26s,2021-07-30_04h20m26s
2021-07-30_04h27m16s,2021-07-30_04h27m16s
2021-07-30_04h35m08s,2021-07-30_04h35m08s
2021-07-30_04h57m07s,2021-07-30_04h57m07s
2021-07-30_05h15m49s,2021-07-30_05h15m49s
2021-07-30_05h35m28s,2021-07-30_05h35m28s
2021-07-30_05h55m13s,2021-07-30_05h55m13s
2021-07-30_06h15m40s,2021-07-30_06h15m40s
2021-07-30_06h35m49s,2021-07-30_06h35m49s
2021-07-30_07h11m07s,2021-07-30_07h11m07s
2021-07-30_07h46m00s,2021-07-30_07h46m00s
2021-07-30_09h30m43s,2021-07-30_09h30m43s
2021-07-30_09h50m18s,2021-07-30_09h50m18s
2021-07-30_09h57m00s,2021-07-30_09h57m00s
2021-07-30_10h05m21s,2021-07-30_10h05m21s
2021-06-21_12h45m04s,2021-11-08_17h27m55s
2021-06-18_10h54m38s,2021-11-08_17h35m13s
2021-06-21_12h38m55s,2021-11-08_17h35m14s
2021-06-18_10h49m47s,2021-11-08_17h35m16s
2021-06-21_12h54m04s,2021-11-08_17h35m19s
2021-06-18_11h04m19s,2021-11-08_17h35m21s
2021-06-21_12h29m16s,2021-11-08_17h35m23s
2021-06-18_10h37m54s,2021-11-08_17h35m25s
2021-06-21_12h32m53s,2021-11-08_17h35m27s
2021-06-18_10h41m59s,2021-11-08_17h35m29s
2021-06-21_12h50m44s,2021-11-08_17h35m32s
2021-06-18_10h59m48s,2021-11-08_17h35m34s
2021-06-21_12h59m59s,2021-11-08_17h35m36s
2021-06-18_11h09m13s,2021-11-08_17h35m38s
2021-06-18_10h58m25s,2021-11-08_17h35m40s
2021-06-21_12h48m21s,2021-11-08_17h35m42s
2021-06-18_10h45m03s,2021-11-08_17h35m44s
2021-06-21_12h34m54s,2021-11-08_17h35m46s
2021-06-18_10h52m02s,2021-11-08_17h35m48s
2021-06-21_12h41m08s,2021-11-08_17h35m50s
2021-06-21_15h10m30s,2021-11-08_17h35m52s
2021-06-23_23h19m02s,2021-11-08_17h35m54s
2021-09-13_20h32m14s,2021-11-08_17h35m56s
2021-09-13_20h24m51s,2021-11-08_17h35m58s
2021-09-13_20h48m45s,2021-11-08_17h36m00s
2021-09-13_20h44m15s,2021-11-08_17h36m02s
2021-09-13_21h08m40s,2021-11-08_17h36m04s
2021-09-13_21h02m20s,2021-11-08_17h36m06s
2021-09-13_20h54m46s,2021-11-08_17h36m08s
2021-09-13_20h52m30s,2021-11-08_17h36m10s
2021-09-13_20h39m43s,2021-11-08_17h36m12s
2021-09-13_20h35m54s,2021-11-08_17h36m14s
2021-12-02_16h43m32s,2021-12-02_16h43m32s
2021-12-02_16h52m45s,2021-12-02_16h52m45s
2021-12-02_17h01m03s,2021-12-02_17h01m03s
2021-12-02_17h07m17s,2021-12-02_17h07m17s
2021-12-02_17h16m57s,2021-12-02_17h16m57s
2021-12-02_17h19m16s,2021-12-02_17h19m16s
2021-12-19_10h02m22s,2021-12-19_10h02m22s
2021-12-19_10h34m32s,2021-12-19_10h34m32s
2021-12-23_09h44m30s,2021-12-23_09h44m30s
2021-12-19_23h56m42s,2021-12-19_23h56m42s
2021-12-23_09h43m49s,2021-12-23_09h43m49s
2021-12-19_16h21m20s,2021-12-19_16h21m20s
2021-12-19_16h27m49s,2021-12-19_16h27m49s
2021-12-23_09h45m04s,2021-12-23_09h45m04s
2022-02-18_23h32m31s,2022-02-18_23h32m31s
2022-02-18_23h32m33s,2022-02-18_23h32m33s
2022-02-18_23h32m35s,2022-02-18_23h32m35s
2022-02-18_23h32m37s,2022-02-18_23h32m37s
2022-02-18_23h32m39s,2022-02-18_23h32m39s
2022-02-19_09h24m30s,2022-02-19_09h24m30s
2022-02-18_23h32m44s,2022-02-18_23h32m44s
2022-02-18_23h32m46s,2022-02-18_23h32m46s
2022-02-18_23h32m49s,2022-02-18_23h32m49s
2022-02-18_23h32m51s,2022-02-18_23h32m51s
2022-02-18_23h32m54s,2022-02-18_23h32m54s
2022-03-11_12h02m34s,2022-03-11_12h02m34s
2022-03-11_12h02m36s,2022-03-11_12h02m36s
2022-03-11_12h02m38s,2022-03-11_12h02m38s
2022-03-11_12h02m40s,2022-03-11_12h02m40s
2022-03-11_09h27m51s,2022-03-11_09h27m51s
2022-03-11_09h27m52s,2022-03-11_09h27m52s
2022-03-11_09h27m53s,2022-03-11_09h27m53s
2022-03-11_09h27m54s,2022-03-11_09h27m54s
2022-03-11_09h27m55s,2022-03-11_09h27m55s
2022-03-11_10h21m36s,2022-03-11_10h21m36s
2022-03-11_09h27m57s,2022-03-11_09h27m57s
2022-03-11_09h27m58s,2022-03-11_09h27m58s
2022-03-14_22h35m45s,2022-03-14_22h35m45s
2022-03-14_22h35m46s,2022-03-14_22h35m46s
2022-03-14_22h35m47s,2022-03-14_22h35m47s
2022-03-14_22h35m49s,2022-03-14_22h35m49s
2022-03-14_22h35m50s,2022-03-14_22h35m50s
2022-03-14_22h35m51s,2022-03-14_22h35m51s
2022-03-14_22h35m52s,2022-03-14_22h35m52s
2021-12-07_17h42m27s,2022-06-01_18h21m54s
2021-12-07_17h42m06s,2022-06-01_18h21m59s
2021-07-10_00h16m39s,2022-06-01_18h22m01s
2021-07-10_00h13m11s,2022-06-01_18h22m03s
2022-03-14_22h35m48s,2022-03-14_22h35m48s
