hmdb_primary,acceptor_count,donor_count
HMDB0000001,4,2
HMDB0000002,2,2
HMDB0000005,3,1
HMDB0000008,3,2
HMDB0000010,3,1
HMDB0000011,3,2
HMDB0000012,5,3
HMDB0000014,6,3
HMDB0000015,4,2
HMDB0000016,3,1
HMDB0000017,5,3
HMDB0000019,3,1
HMDB0000020,3,2
HMDB0000021,4,3
HMDB0000022,3,2
HMDB0000023,3,2
HMDB0000024,10,6
HMDB0000026,3,3
HMDB0000027,8,6
HMDB0000030,3,3
HMDB0000031,2,1
HMDB0000032,1,1
HMDB0000033,5,4
HMDB0000034,4,2
HMDB0000036,7,5
HMDB0000037,5,2
HMDB0000038,8,5
HMDB0000039,2,1
HMDB0000042,2,1
HMDB0000043,2,1
HMDB0000044,5,4
HMDB0000045,10,5
HMDB0000048,11,8
HMDB0000050,8,4
HMDB0000051,1,1
HMDB0000052,10,7
HMDB0000053,2,0
HMDB0000054,6,6
HMDB0000055,11,8
HMDB0000056,3,2
HMDB0000058,8,3
HMDB0000060,3,1
HMDB0000061,12,6
HMDB0000062,3,1
HMDB0000063,5,3
HMDB0000064,5,3
HMDB0000067,1,1
HMDB0000068,4,4
HMDB0000070,3,2
HMDB0000071,7,3
HMDB0000072,6,3
HMDB0000073,3,3
HMDB0000076,2,2
HMDB0000077,2,1
HMDB0000078,4,4
HMDB0000079,2,2
HMDB0000082,13,7
HMDB0000085,7,4
HMDB0000086,4,2
HMDB0000087,1,1
HMDB0000089,7,4
HMDB0000092,3,1
HMDB0000094,7,4
HMDB0000095,9,5
HMDB0000097,1,1
HMDB0000098,5,4
HMDB0000099,6,4
HMDB0000101,7,3
HMDB0000107,6,6
HMDB0000108,1,1
HMDB0000112,3,2
HMDB0000114,5,4
HMDB0000115,3,2
HMDB0000118,4,2
HMDB0000119,3,1
HMDB0000121,12,6
HMDB0000122,6,5
HMDB0000123,3,2
HMDB0000124,8,6
HMDB0000125,7,6
HMDB0000126,5,4
HMDB0000127,7,5
HMDB0000128,5,4
HMDB0000130,4,3
HMDB0000131,3,3
HMDB0000132,5,3
HMDB0000133,8,5
HMDB0000134,4,2
HMDB0000138,6,5
HMDB0000139,4,3
HMDB0000142,2,1
HMDB0000143,6,5
HMDB0000145,2,1
HMDB0000148,5,3
HMDB0000149,2,2
HMDB0000150,5,4
HMDB0000151,2,2
HMDB0000152,4,3
HMDB0000153,3,3
HMDB0000156,5,3
HMDB0000157,4,2
HMDB0000158,4,3
HMDB0000159,3,2
HMDB0000161,3,2
HMDB0000162,3,2
HMDB0000163,11,8
HMDB0000164,1,1
HMDB0000167,4,3
HMDB0000168,4,3
HMDB0000169,6,5
HMDB0000172,3,2
HMDB0000174,5,4
HMDB0000175,9,5
HMDB0000176,4,2
HMDB0000177,4,3
HMDB0000181,5,4
HMDB0000182,4,3
HMDB0000186,11,8
HMDB0000187,4,3
HMDB0000189,14,7
HMDB0000190,3,2
HMDB0000191,5,3
HMDB0000192,6,4
HMDB0000193,7,4
HMDB0000194,5,3
HMDB0000195,8,4
HMDB0000197,2,2
HMDB0000201,3,0
HMDB0000202,4,2
HMDB0000205,3,1
HMDB0000206,4,3
HMDB0000207,2,1
HMDB0000208,5,2
HMDB0000209,2,1
HMDB0000210,5,4
HMDB0000211,6,6
HMDB0000212,6,5
HMDB0000213,8,7
HMDB0000214,4,3
HMDB0000215,6,5
HMDB0000216,4,4
HMDB0000217,17,8
HMDB0000218,10,6
HMDB0000220,2,1
HMDB0000221,18,9
HMDB0000222,3,0
HMDB0000223,5,2
HMDB0000224,4,3
HMDB0000225,5,2
HMDB0000226,4,3
HMDB0000227,4,3
HMDB0000228,1,1
HMDB0000229,7,5
HMDB0000230,9,7
HMDB0000232,5,2
HMDB0000234,2,1
HMDB0000235,4,2
HMDB0000237,2,1
HMDB0000238,8,4
HMDB0000239,4,3
HMDB0000240,3,2
HMDB0000241,6,4
HMDB0000243,3,1
HMDB0000244,9,5
HMDB0000245,5,4
HMDB0000246,1,0
HMDB0000247,6,6
HMDB0000248,4,3
HMDB0000250,6,4
HMDB0000251,4,2
HMDB0000252,3,3
HMDB0000253,2,1
HMDB0000254,4,2
HMDB0000256,0,0
HMDB0000257,3,2
HMDB0000258,11,8
HMDB0000259,2,3
HMDB0000262,2,2
HMDB0000263,5,3
HMDB0000265,4,3
HMDB0000267,3,2
HMDB0000268,4,3
HMDB0000269,3,3
HMDB0000271,3,2
HMDB0000272,6,4
HMDB0000273,5,3
HMDB0000277,5,4
HMDB0000279,8,5
HMDB0000280,11,7
HMDB0000283,5,4
HMDB0000285,12,7
HMDB0000286,14,9
HMDB0000288,8,5
HMDB0000289,3,4
HMDB0000290,14,9
HMDB0000291,5,3
HMDB0000292,3,3
HMDB0000293,15,8
HMDB0000294,1,2
HMDB0000295,10,6
HMDB0000296,6,4
HMDB0000299,9,5
HMDB0000300,2,2
HMDB0000301,3,2
HMDB0000302,14,9
HMDB0000303,1,2
HMDB0000304,14,9
HMDB0000305,1,1
HMDB0000306,2,2
HMDB0000307,6,5
HMDB0000308,3,2
HMDB0000309,3,2
HMDB0000310,2,0
HMDB0000311,6,5
HMDB0000312,5,4
HMDB0000313,3,2
HMDB0000314,5,4
HMDB0000315,3,2
HMDB0000316,6,5
HMDB0000317,3,2
HMDB0000318,4,4
HMDB0000319,5,3
HMDB0000320,5,4
HMDB0000321,5,3
HMDB0000322,3,2
HMDB0000323,2,2
HMDB0000324,3,2
HMDB0000325,5,3
HMDB0000326,5,4
HMDB0000328,4,2
HMDB0000329,2,1
HMDB0000330,5,4
HMDB0000331,6,5
HMDB0000332,6,3
HMDB0000333,4,2
HMDB0000335,3,2
HMDB0000336,3,2
HMDB0000337,4,3
HMDB0000338,3,3
HMDB0000339,3,2
HMDB0000340,6,5
HMDB0000341,4,2
HMDB0000343,3,2
HMDB0000344,3,1
HMDB0000345,5,3
HMDB0000346,6,5
HMDB0000347,3,3
HMDB0000348,4,3
HMDB0000349,3,2
HMDB0000350,5,3
HMDB0000351,3,2
HMDB0000352,3,2
HMDB0000353,4,3
HMDB0000354,3,2
HMDB0000355,5,3
HMDB0000356,3,3
HMDB0000359,4,3
HMDB0000360,4,3
HMDB0000361,4,3
HMDB0000362,6,4
HMDB0000363,3,2
HMDB0000364,5,4
HMDB0000365,2,1
HMDB0000366,5,4
HMDB0000367,6,5
HMDB0000368,5,3
HMDB0000369,2,2
HMDB0000370,6,4
HMDB0000371,5,4
HMDB0000372,3,1
HMDB0000374,3,1
HMDB0000375,3,2
HMDB0000376,5,4
HMDB0000377,6,5
HMDB0000378,3,0
HMDB0000379,7,4
HMDB0000380,3,2
HMDB0000381,3,2
HMDB0000383,2,2
HMDB0000384,4,3
HMDB0000385,4,2
HMDB0000386,5,2
HMDB0000387,3,2
HMDB0000388,3,2
HMDB0000389,7,3
HMDB0000390,5,4
HMDB0000391,5,3
HMDB0000392,2,1
HMDB0000393,4,2
HMDB0000394,5,3
HMDB0000395,5,4
HMDB0000396,3,2
HMDB0000397,4,3
HMDB0000398,5,2
HMDB0000399,6,5
HMDB0000400,5,3
HMDB0000401,6,4
HMDB0000402,5,3
HMDB0000403,5,3
HMDB0000404,5,4
HMDB0000405,3,2
HMDB0000406,3,2
HMDB0000407,3,2
HMDB0000408,3,1
HMDB0000409,3,2
HMDB0000410,3,2
HMDB0000411,4,3
HMDB0000412,2,2
HMDB0000413,5,3
HMDB0000414,5,4
HMDB0000415,5,4
HMDB0000416,5,2
HMDB0000417,2,1
HMDB0000418,6,4
HMDB0000419,5,4
HMDB0000421,4,3
HMDB0000422,4,2
HMDB0000423,4,3
HMDB0000424,5,3
HMDB0000425,9,7
HMDB0000426,5,3
HMDB0000427,5,4
HMDB0000428,5,3
HMDB0000429,2,2
HMDB0000430,3,3
HMDB0000431,3,3
HMDB0000432,5,4
HMDB0000433,6,5
HMDB0000434,4,1
HMDB0000437,6,5
HMDB0000438,4,3
HMDB0000439,3,2
HMDB0000440,3,2
HMDB0000442,3,2
HMDB0000444,2,1
HMDB0000445,20,13
HMDB0000446,4,3
HMDB0000447,5,3
HMDB0000448,4,2
HMDB0000449,4,3
HMDB0000450,5,4
HMDB0000451,3,2
HMDB0000452,3,2
HMDB0000453,1,0
HMDB0000455,6,4
HMDB0000458,2,2
HMDB0000459,3,2
HMDB0000460,4,2
HMDB0000462,3,4
HMDB0000464,0,0
HMDB0000466,0,1
HMDB0000467,4,2
HMDB0000468,8,4
HMDB0000469,3,3
HMDB0000472,4,4
HMDB0000473,4,1
HMDB0000474,1,0
HMDB0000476,3,1
HMDB0000477,2,1
HMDB0000478,4,3
HMDB0000479,4,2
HMDB0000481,8,4
HMDB0000482,2,1
HMDB0000483,5,5
HMDB0000484,4,2
HMDB0000486,3,2
HMDB0000488,6,6
HMDB0000489,9,7
HMDB0000490,2,1
HMDB0000491,3,1
HMDB0000492,0,0
HMDB0000493,2,2
HMDB0000494,1,1
HMDB0000495,2,2
HMDB0000496,10,6
HMDB0000497,6,4
HMDB0000498,4,3
HMDB0000499,2,1
HMDB0000500,3,2
HMDB0000501,2,1
HMDB0000502,5,3
HMDB0000503,4,2
HMDB0000505,5,4
HMDB0000506,5,4
HMDB0000508,5,5
HMDB0000509,2,1
HMDB0000510,5,3
HMDB0000511,2,1
HMDB0000512,3,2
HMDB0000513,5,5
HMDB0000514,4,3
HMDB0000517,6,5
HMDB0000518,4,3
HMDB0000520,4,4
HMDB0000521,2,1
HMDB0000522,4,2
HMDB0000523,3,3
HMDB0000524,4,4
HMDB0000525,3,2
HMDB0000526,5,4
HMDB0000527,5,4
HMDB0000528,4,3
HMDB0000529,2,1
HMDB0000530,4,3
HMDB0000531,3,2
HMDB0000532,3,2
HMDB0000534,1,1
HMDB0000535,2,1
HMDB0000536,14,7
HMDB0000538,14,7
HMDB0000539,6,5
HMDB0000540,3,3
HMDB0000541,3,0
HMDB0000542,5,3
HMDB0000543,2,1
HMDB0000544,3,3
HMDB0000545,8,3
HMDB0000546,2,1
HMDB0000547,0,0
HMDB0000548,3,0
HMDB0000549,1,0
HMDB0000550,3,3
HMDB0000551,2,2
HMDB0000552,5,1
HMDB0000553,2,1
HMDB0000554,2,2
HMDB0000555,4,2
HMDB0000556,5,5
HMDB0000557,3,2
HMDB0000558,5,5
HMDB0000559,6,3
HMDB0000560,2,1
HMDB0000561,0,0
HMDB0000562,3,2
HMDB0000563,3,2
HMDB0000564,4,0
HMDB0000565,7,6
HMDB0000567,2,1
HMDB0000568,5,5
HMDB0000569,10,6
HMDB0000570,10,6
HMDB0000572,12,8
HMDB0000573,2,1
HMDB0000574,3,3
HMDB0000575,6,4
HMDB0000576,3,1
HMDB0000577,1,1
HMDB0000579,6,4
HMDB0000580,NA,NA
HMDB0000582,4,3
HMDB0000583,1,1
HMDB0000585,15,10
HMDB0000586,0,0
HMDB0000588,0,0
HMDB0000590,5,3
HMDB0000592,8,5
HMDB0000593,4,0
HMDB0000594,6,4
HMDB0000595,3,2
HMDB0000596,8,6
HMDB0000598,0,0
HMDB0000599,0,0
HMDB0000600,10,7
HMDB0000601,5,4
HMDB0000603,4,2
HMDB0000606,5,3
HMDB0000607,15,10
HMDB0000608,0,0
HMDB0000609,5,4
HMDB0000610,1,0
HMDB0000611,10,6
HMDB0000613,5,4
HMDB0000614,7,3
HMDB0000617,2,1
HMDB0000618,7,5
HMDB0000619,5,4
HMDB0000620,4,2
HMDB0000621,5,4
HMDB0000622,4,2
HMDB0000623,4,2
HMDB0000624,3,2
HMDB0000625,7,6
HMDB0000626,4,3
HMDB0000628,2,1
HMDB0000629,NA,NA
HMDB0000630,3,2
HMDB0000631,5,4
HMDB0000632,NA,NA
HMDB0000633,8,4
HMDB0000634,4,2
HMDB0000635,4,1
HMDB0000637,5,4
HMDB0000638,2,1
HMDB0000639,8,6
HMDB0000640,5,3
HMDB0000641,4,3
HMDB0000642,3,2
HMDB0000643,10,6
HMDB0000644,10,6
HMDB0000645,8,6
HMDB0000646,5,4
HMDB0000648,8,6
HMDB0000649,1,1
HMDB0000650,3,2
HMDB0000651,3,0
HMDB0000652,NA,NA
HMDB0000653,3,1
HMDB0000656,10,7
HMDB0000657,0,0
HMDB0000658,1,0
HMDB0000659,8,3
HMDB0000660,6,5
HMDB0000661,4,2
HMDB0000662,0,0
HMDB0000663,8,6
HMDB0000664,4,3
HMDB0000665,3,2
HMDB0000666,2,1
HMDB0000667,4,3
HMDB0000668,8,6
HMDB0000669,3,2
HMDB0000670,6,5
HMDB0000671,3,3
HMDB0000672,4,2
HMDB0000673,2,1
HMDB0000674,5,2
HMDB0000675,0,0
HMDB0000676,6,4
HMDB0000678,3,2
HMDB0000679,4,4
HMDB0000682,3,2
HMDB0000683,8,5
HMDB0000684,5,3
HMDB0000686,4,3
HMDB0000687,3,2
HMDB0000688,3,0
HMDB0000689,2,1
HMDB0000691,4,2
HMDB0000692,0,0
HMDB0000693,19,7
HMDB0000694,5,3
HMDB0000695,3,1
HMDB0000696,3,2
HMDB0000697,10,6
HMDB0000698,4,3
HMDB0000699,1,1
HMDB0000700,3,2
HMDB0000701,3,2
HMDB0000703,3,2
HMDB0000704,6,3
HMDB0000706,6,4
HMDB0000707,4,2
HMDB0000708,5,4
HMDB0000709,7,5
HMDB0000710,3,2
HMDB0000711,3,2
HMDB0000712,5,1
HMDB0000713,3,2
HMDB0000714,3,2
HMDB0000715,4,2
HMDB0000716,3,2
HMDB0000717,3,2
HMDB0000718,2,1
HMDB0000719,4,3
HMDB0000720,3,1
HMDB0000721,4,2
HMDB0000722,5,3
HMDB0000725,4,3
HMDB0000726,5,3
HMDB0000727,9,5
HMDB0000728,16,9
HMDB0000729,3,2
HMDB0000730,3,2
HMDB0000731,6,3
HMDB0000732,6,4
HMDB0000733,4,3
HMDB0000734,2,2
HMDB0000735,4,3
HMDB0000736,3,0
HMDB0000737,16,9
HMDB0000738,0,1
HMDB0000739,12,8
HMDB0000740,11,8
HMDB0000742,3,3
HMDB0000743,14,8
HMDB0000745,5,4
HMDB0000746,3,2
HMDB0000747,3,2
HMDB0000748,3,2
HMDB0000749,4,2
HMDB0000750,4,3
HMDB0000751,5,4
HMDB0000752,4,2
HMDB0000753,1,0
HMDB0000754,3,2
HMDB0000755,4,3
HMDB0000756,3,0
HMDB0000757,21,14
HMDB0000759,4,3
HMDB0000760,5,4
HMDB0000761,3,2
HMDB0000763,3,3
HMDB0000764,2,1
HMDB0000765,6,6
HMDB0000766,3,2
HMDB0000767,6,5
HMDB0000768,10,7
HMDB0000770,8,6
HMDB0000772,2,1
HMDB0000773,9,7
HMDB0000774,4,1
HMDB0000779,3,2
HMDB0000780,14,8
HMDB0000781,8,5
HMDB0000782,4,2
HMDB0000783,3,2
HMDB0000784,4,2
HMDB0000785,9,6
HMDB0000786,5,3
HMDB0000788,8,5
HMDB0000789,12,7
HMDB0000791,3,0
HMDB0000792,4,2
HMDB0000793,4,3
HMDB0000794,9,6
HMDB0000795,2,1
HMDB0000796,9,6
HMDB0000797,13,8
HMDB0000798,1,0
HMDB0000801,2,1
HMDB0000802,5,2
HMDB0000803,6,5
HMDB0000806,2,1
HMDB0000807,6,4
HMDB0000808,3,2
HMDB0000809,30,19
HMDB0000810,4,2
HMDB0000811,4,3
HMDB0000812,5,3
HMDB0000814,8,5
HMDB0000815,16,9
HMDB0000816,5,3
HMDB0000817,8,4
HMDB0000819,4,3
HMDB0000820,1,1
HMDB0000821,3,2
HMDB0000822,4,3
HMDB0000824,3,0
HMDB0000825,19,13
HMDB0000826,2,1
HMDB0000827,2,1
HMDB0000828,5,4
HMDB0000830,9,7
HMDB0000832,3,2
HMDB0000833,10,8
HMDB0000839,2,2
HMDB0000840,4,3
HMDB0000841,8,5
HMDB0000842,3,1
HMDB0000843,10,5
HMDB0000845,8,5
HMDB0000847,2,1
HMDB0000848,3,0
HMDB0000849,5,4
HMDB0000851,11,7
HMDB0000852,1,1
HMDB0000853,6,5
HMDB0000854,6,4
HMDB0000855,5,4
HMDB0000856,4,4
HMDB0000857,4,2
HMDB0000858,3,1
HMDB0000859,2,1
HMDB0000860,3,2
HMDB0000863,1,1
HMDB0000865,5,4
HMDB0000866,4,3
HMDB0000867,6,5
HMDB0000868,7,5
HMDB0000869,10,2
HMDB0000870,2,2
HMDB0000871,1,0
HMDB0000872,4,2
HMDB0000873,2,2
HMDB0000874,6,4
HMDB0000875,2,0
HMDB0000876,1,1
HMDB0000877,9,5
HMDB0000878,1,1
HMDB0000879,3,2
HMDB0000881,5,3
HMDB0000883,3,2
HMDB0000884,6,4
HMDB0000885,1,0
HMDB0000887,0,0
HMDB0000888,4,2
HMDB0000889,7,5
HMDB0000890,18,10
HMDB0000892,2,1
HMDB0000893,4,2
HMDB0000894,3,2
HMDB0000895,1,0
HMDB0000896,6,4
HMDB0000897,5,2
HMDB0000898,2,1
HMDB0000899,2,0
HMDB0000900,1,1
HMDB0000901,7,4
HMDB0000902,16,8
HMDB0000903,5,3
HMDB0000904,4,4
HMDB0000905,9,4
HMDB0000906,1,0
HMDB0000907,5,2
HMDB0000908,1,1
HMDB0000909,3,2
HMDB0000910,2,1
HMDB0000912,12,6
HMDB0000913,5,3
HMDB0000916,18,10
HMDB0000917,5,4
HMDB0000918,1,0
HMDB0000920,3,1
HMDB0000921,1,0
HMDB0000922,7,5
HMDB0000925,1,0
HMDB0000926,1,0
HMDB0000927,3,2
HMDB0000929,3,3
HMDB0000930,2,1
HMDB0000932,7,5
HMDB0000933,4,2
HMDB0000934,17,9
HMDB0000935,15,9
HMDB0000936,18,10
HMDB0000937,1,1
HMDB0000939,10,5
HMDB0000940,3,2
HMDB0000941,0,0
HMDB0000942,9,7
HMDB0000943,5,4
HMDB0000944,2,1
HMDB0000946,4,3
HMDB0000947,2,1
HMDB0000949,5,4
HMDB0000950,3,3
HMDB0000951,6,4
HMDB0000953,5,3
HMDB0000954,4,2
HMDB0000955,4,2
HMDB0000956,6,4
HMDB0000957,2,2
HMDB0000958,6,3
HMDB0000959,3,2
HMDB0000960,11,6
HMDB0000961,5,3
HMDB0000962,1,1
HMDB0000963,6,4
HMDB0000965,3,2
HMDB0000968,10,8
HMDB0000969,4,3
HMDB0000972,12,7
HMDB0000975,11,8
HMDB0000977,4,2
HMDB0000978,5,2
HMDB0000980,15,9
HMDB0000981,1,0
HMDB0000982,7,4
HMDB0000985,2,4
HMDB0000988,8,4
HMDB0000990,1,0
HMDB0000991,3,2
HMDB0000992,4,1
HMDB0000994,8,6
HMDB0000995,2,0
HMDB0000996,5,3
HMDB0000998,12,6
HMDB0000999,9,6
HMDB0001000,9,5
HMDB0001003,12,5
HMDB0001004,3,1
HMDB0001005,4,4
HMDB0001007,3,1
HMDB0001008,7,5
HMDB0001009,1,0
HMDB0001010,1,0
HMDB0001011,17,9
HMDB0001013,7,3
HMDB0001014,4,2
HMDB0001015,3,2
HMDB0001016,7,5
HMDB0001018,13,8
HMDB0001020,1,0
HMDB0001021,20,11
HMDB0001022,19,10
HMDB0001023,1,1
HMDB0001024,6,3
HMDB0001028,2,1
HMDB0001030,11,7
HMDB0001031,6,4
HMDB0001032,4,1
HMDB0001035,17,13
HMDB0001036,14,11
HMDB0001038,10,8
HMDB0001039,1,1
HMDB0001041,17,9
HMDB0001043,2,1
HMDB0001044,10,5
HMDB0001045,8,7
HMDB0001046,2,0
HMDB0001047,10,7
HMDB0001049,6,5
HMDB0001050,1,1
HMDB0001051,3,2
HMDB0001052,18,10
HMDB0001054,7,5
HMDB0001056,12,7
HMDB0001057,19,10
HMDB0001058,10,7
HMDB0001059,14,10
HMDB0001060,4,2
HMDB0001061,0,0
HMDB0001062,8,6
HMDB0001063,4,3
HMDB0001064,17,9
HMDB0001065,2,2
HMDB0001066,9,6
HMDB0001067,8,5
HMDB0001068,9,7
HMDB0001069,9,5
HMDB0001070,17,9
HMDB0001072,4,0
HMDB0001076,8,6
HMDB0001078,8,6
HMDB0001080,2,1
HMDB0001081,19,13
HMDB0001083,23,10
HMDB0001084,3,1
HMDB0001085,4,3
HMDB0001086,16,12
HMDB0001087,4,3
HMDB0001088,17,9
HMDB0001090,8,5
HMDB0001091,5,2
HMDB0001093,1,0
HMDB0001094,5,3
HMDB0001095,15,9
HMDB0001096,4,3
HMDB0001097,4,6
HMDB0001101,3,1
HMDB0001104,6,5
HMDB0001106,2,1
HMDB0001107,8,5
HMDB0001109,8,6
HMDB0001112,5,3
HMDB0001113,19,9
HMDB0001114,17,9
HMDB0001117,8,7
HMDB0001119,4,2
HMDB0001120,5,3
HMDB0001121,8,6
HMDB0001122,1,1
HMDB0001123,3,2
HMDB0001124,13,9
HMDB0001125,6,5
HMDB0001126,2,1
HMDB0001127,7,5
HMDB0001128,7,5
HMDB0001129,6,5
HMDB0001131,5,3
HMDB0001132,8,5
HMDB0001134,14,6
HMDB0001137,17,13
HMDB0001138,5,3
HMDB0001139,5,4
HMDB0001140,1,0
HMDB0001142,10,8
HMDB0001143,12,9
HMDB0001147,5,3
HMDB0001149,4,2
HMDB0001151,6,5
HMDB0001155,20,9
HMDB0001157,18,9
HMDB0001160,2,1
HMDB0001161,2,0
HMDB0001162,7,3
HMDB0001163,16,10
HMDB0001164,2,2
HMDB0001165,28,13
HMDB0001166,18,10
HMDB0001167,2,0
HMDB0001168,17,9
HMDB0001169,2,2
HMDB0001170,1,1
HMDB0001172,3,1
HMDB0001173,7,3
HMDB0001175,19,10
HMDB0001176,16,10
HMDB0001177,4,3
HMDB0001178,15,8
