hmdb_primary,pka_strongest_acidic,pka_strongest_basic
HMDB0000001,1.96,9.25
HMDB0000002,NA,10.17
HMDB0000005,3.19,-9.7
HMDB0000008,3.99,-3.8
HMDB0000010,10.29,-4.9
HMDB0000011,4.41,-2.6
HMDB0000012,9.71,-3.0
HMDB0000014,13.89,0.31
HMDB0000015,12.59,-3.3
HMDB0000016,13.86,-3.3
HMDB0000017,2.55,4.09
HMDB0000019,3.37,-9.7
HMDB0000020,4.0,-6.0
HMDB0000021,0.99,9.5
HMDB0000022,10.39,9.64
HMDB0000023,4.37,-2.7
HMDB0000024,-1.9,-0.99
HMDB0000026,4.23,-2.0
HMDB0000027,13.52,1.58
HMDB0000030,4.4,-1.9
HMDB0000031,18.3,-1.4
HMDB0000032,18.27,-1.4
HMDB0000033,3.37,9.13
HMDB0000034,10.29,3.64
HMDB0000036,-0.88,-0.053
HMDB0000037,13.82,-2.9
HMDB0000038,9.91,0.4
HMDB0000039,4.91,NA
HMDB0000042,4.54,NA
HMDB0000043,2.26,NA
HMDB0000044,4.36,-3.0
HMDB0000045,1.22,3.92
HMDB0000048,11.25,-3.0
HMDB0000050,12.45,3.92
HMDB0000051,NA,8.86
HMDB0000052,2.14,12.39
HMDB0000053,19.03,-4.8
HMDB0000054,4.03,-2.8
HMDB0000055,11.25,-3.0
HMDB0000056,4.08,10.31
HMDB0000058,1.83,3.92
HMDB0000060,4.02,-7.5
HMDB0000061,0.7,3.92
HMDB0000062,4.2,-3.6
HMDB0000063,12.58,-2.8
HMDB0000064,3.5,12.43
HMDB0000067,18.2,-1.4
HMDB0000068,9.69,8.91
HMDB0000070,2.06,10.39
HMDB0000071,11.68,-0.1
HMDB0000072,2.11,NA
HMDB0000073,10.01,9.27
HMDB0000076,11.73,-7.6
HMDB0000077,18.2,-1.4
HMDB0000078,3.6,8.08
HMDB0000079,11.7,-7.4
HMDB0000082,0.94,-0.076
HMDB0000085,10.16,0.46
HMDB0000086,1.86,-3.0
HMDB0000087,NA,10.52
HMDB0000089,12.55,-0.062
HMDB0000092,1.88,9.69
HMDB0000094,3.05,-4.2
HMDB0000095,1.25,-0.15
HMDB0000097,13.97,-3.2
HMDB0000098,11.31,-3.5
HMDB0000099,1.79,9.66
HMDB0000101,13.89,3.94
HMDB0000107,12.59,-3.0
HMDB0000108,16.47,-2.2
HMDB0000112,4.53,10.22
HMDB0000114,1.87,10.0
HMDB0000115,3.53,-3.6
HMDB0000118,3.74,-4.9
HMDB0000119,2.61,-9.2
HMDB0000121,3.37,2.09
HMDB0000122,11.3,-3.0
HMDB0000123,2.31,9.24
HMDB0000124,1.49,-3.3
HMDB0000125,1.94,9.22
HMDB0000126,1.51,-3.0
HMDB0000127,3.21,-3.7
HMDB0000128,3.37,12.24
HMDB0000130,3.57,-5.9
HMDB0000131,13.61,-3.0
HMDB0000132,8.95,2.22
HMDB0000133,10.16,0.45
HMDB0000134,3.55,NA
HMDB0000138,3.77,-0.14
HMDB0000139,3.42,-3.0
HMDB0000142,4.27,NA
HMDB0000143,11.3,-3.0
HMDB0000145,10.33,-5.4
HMDB0000148,1.88,9.54
HMDB0000149,15.61,9.55
HMDB0000150,11.62,-3.0
HMDB0000151,10.33,-0.88
HMDB0000152,2.53,-5.9
HMDB0000153,10.33,-3.2
HMDB0000156,3.2,-3.9
HMDB0000157,8.72,1.73
HMDB0000158,2.0,9.19
HMDB0000159,2.47,9.45
HMDB0000161,2.47,9.48
HMDB0000162,1.94,11.33
HMDB0000163,11.25,-3.0
HMDB0000164,NA,10.08
HMDB0000167,2.21,9.0
HMDB0000168,2.0,8.43
HMDB0000169,11.3,-3.0
HMDB0000172,2.79,9.59
HMDB0000174,11.3,-3.6
HMDB0000175,1.31,0.49
HMDB0000176,3.05,NA
HMDB0000177,1.85,9.44
HMDB0000181,1.65,9.06
HMDB0000182,2.74,10.29
HMDB0000186,11.25,-3.0
HMDB0000187,2.03,8.93
HMDB0000189,0.91,-0.5
HMDB0000190,3.78,-3.7
HMDB0000191,1.7,9.61
HMDB0000192,1.56,9.34
HMDB0000193,3.07,-4.0
HMDB0000194,3.44,9.13
HMDB0000195,6.94,2.74
HMDB0000197,4.66,NA
HMDB0000201,4.09,-7.0
HMDB0000202,2.48,NA
HMDB0000205,3.33,-9.8
HMDB0000206,2.43,9.53
HMDB0000207,4.99,NA
HMDB0000208,2.66,-9.7
HMDB0000209,4.55,NA
HMDB0000210,4.35,-2.8
HMDB0000211,12.29,-3.6
HMDB0000212,11.6,-1.6
HMDB0000213,1.16,-3.6
HMDB0000214,2.67,10.29
HMDB0000215,11.6,-0.78
HMDB0000216,9.5,8.85
HMDB0000217,0.66,4.0
HMDB0000218,1.21,-3.7
HMDB0000220,4.95,NA
HMDB0000221,0.66,4.0
HMDB0000222,4.22,-7.1
HMDB0000223,2.41,-9.9
HMDB0000224,1.54,10.02
HMDB0000225,2.84,-9.7
HMDB0000226,2.83,-6.0
HMDB0000227,4.38,-2.4
HMDB0000228,10.02,-5.5
HMDB0000229,1.21,-1.6
HMDB0000230,3.0,-1.3
HMDB0000232,0.31,5.74
HMDB0000234,19.09,-0.88
HMDB0000235,15.5,5.54
HMDB0000237,4.75,NA
HMDB0000238,9.18,-1.3
HMDB0000239,9.4,5.58
HMDB0000240,1.7,NA
HMDB0000241,3.68,4.96
HMDB0000243,2.93,-9.6
HMDB0000244,5.97,-2.6
HMDB0000245,3.66,8.78
HMDB0000246,NA,-4.1
HMDB0000247,12.59,-3.0
HMDB0000248,0.27,9.43
HMDB0000250,1.7,NA
HMDB0000251,-1.5,9.34
HMDB0000252,14.12,9.23
HMDB0000253,18.2,-1.4
HMDB0000254,3.55,NA
HMDB0000256,NA,NA
HMDB0000257,-2.3,NA
HMDB0000258,11.84,-3.0
HMDB0000259,9.31,10.0
HMDB0000262,9.06,-5.0
HMDB0000263,0.76,NA
HMDB0000265,0.3,9.48
HMDB0000267,3.61,-2.2
HMDB0000268,13.86,-0.25
HMDB0000269,14.42,9.29
HMDB0000271,2.06,10.35
HMDB0000272,1.2,9.39
HMDB0000273,9.96,-3.0
HMDB0000277,1.51,9.7
HMDB0000279,1.44,10.89
HMDB0000280,1.09,-3.7
HMDB0000283,11.31,-3.0
HMDB0000285,0.9,-3.7
HMDB0000286,1.73,-3.6
HMDB0000288,1.23,-3.7
HMDB0000289,7.25,-6.5
HMDB0000290,1.74,-3.5
HMDB0000291,3.11,-4.1
HMDB0000292,7.95,-0.7
HMDB0000293,0.96,0.016
HMDB0000294,15.73,-2.4
HMDB0000295,1.77,-3.7
HMDB0000296,9.7,-3.0
HMDB0000299,11.33,0.078
HMDB0000300,8.8,-5.5
HMDB0000301,3.85,6.13
HMDB0000302,1.73,-3.6
HMDB0000303,17.17,9.73
HMDB0000304,1.74,-3.5
HMDB0000305,16.44,-2.2
HMDB0000306,10.41,9.66
HMDB0000307,4.48,-0.19
HMDB0000308,4.83,-1.4
HMDB0000309,8.93,-1.2
HMDB0000310,10.28,-7.0
HMDB0000311,4.48,-0.4
HMDB0000312,4.48,-0.16
HMDB0000313,10.33,-3.5
HMDB0000314,12.58,-1.4
HMDB0000315,14.75,-1.4
HMDB0000316,4.48,-0.19
HMDB0000317,4.25,-3.9
HMDB0000318,9.21,-3.0
HMDB0000319,13.8,-2.8
HMDB0000320,4.6,-2.8
HMDB0000321,3.44,-3.8
HMDB0000322,12.97,-1.4
HMDB0000323,14.55,8.44
HMDB0000324,8.93,-1.2
HMDB0000325,3.94,-2.8
HMDB0000326,4.65,-0.4
HMDB0000328,4.56,-1.4
HMDB0000329,4.66,NA
HMDB0000330,4.65,-0.4
HMDB0000331,3.77,-0.04
HMDB0000332,12.42,-2.9
HMDB0000333,3.74,-4.9
HMDB0000335,10.33,-3.5
HMDB0000336,4.37,-2.7
HMDB0000337,4.09,-2.9
HMDB0000338,9.67,-0.88
HMDB0000339,4.17,-1.6
HMDB0000340,4.48,-0.093
HMDB0000341,4.15,NA
HMDB0000343,9.67,-6.3
HMDB0000344,19.38,-0.88
HMDB0000345,3.7,-2.8
HMDB0000346,3.57,-3.0
HMDB0000347,10.33,-3.2
HMDB0000348,4.65,-0.35
HMDB0000349,11.66,-3.6
HMDB0000350,4.45,-2.8
HMDB0000351,4.51,-2.8
HMDB0000352,13.38,-1.4
HMDB0000353,8.75,-2.9
HMDB0000354,4.51,-2.8
HMDB0000355,3.68,-3.0
HMDB0000356,10.33,-3.2
HMDB0000359,4.83,-0.54
HMDB0000360,3.67,-2.4
HMDB0000361,4.6,-0.54
HMDB0000362,0.81,-3.1
