mol_id,mol_name,formula,name_short
https://avantilipids.com/product/855576,1-pentadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,C23H48NO7P,15:0 Lyso PC
https://avantilipids.com/product/330716,1-pentadecanoyl-2-oleoyl-sn-glycero-3-phosphocholine,C41H80NO8P,15:0-18:1 PC
https://avantilipids.com/product/330723,"1,3-dipentadecanoyl-2-oleoyl-glycerol",C51H96O6,15:0-18:1-15:0 TG
https://avantilipids.com/product/858122,1-palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt),C22H45O9P,16:0 Lyso PG
https://avantilipids.com/product/860584,N-palmitoyl-D-erythro-sphingosylphosphorylcholine,C39H79N2O6P,16:0 SM (d18:1/16:0)
https://avantilipids.com/product/840857,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphate (sodium salt),C37H71O8P,16:0-18:1 PA
https://avantilipids.com/product/840457,1-palmitoyl-2-oleoyl-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt),C40H77O10P,16:0-18:1 PG
https://avantilipids.com/product/850142,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphoinositol (ammonium salt),C43H81O13P,16:0-18:1 PI
https://avantilipids.com/product/840034,1-palmitoyl-2-oleoyl-sn-glycero-3-phospho-L-serine (sodium salt),C40H76NO10P,16:0-18:1 PS (POPS)
https://avantilipids.com/product/850103,1-(10Z-heptadecenoyl)-2-hydroxy-sn-glycero-3-phospho-(1'-myo-inositol) (ammonium salt),C26H49O12P,17:1 Lyso PI
https://avantilipids.com/product/858141,1-(10Z-heptadecenoyl)-2-hydroxy-sn-glycero-3-[phospho-L-serine] (sodium salt),C23H44NO9P,17:1 Lyso PS
https://avantilipids.com/product/856715,1-Stearoyl-2-Hydroxy-sn-Glycero-3-Phosphoethanolamine,C23H48NO7P,18:0 Lyso PE
https://avantilipids.com/product/860843,"3-O-sulfo-D-galactosyl-beta1-1'-N-[2""(S)-hydroxystearoyl]-D-erythro-sphingosine (ammonium salt), (synthetic)",C42H81NO12S,18:0(2S-OH) Sulfo GalCer
https://avantilipids.com/product/850804,1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine,C43H78NO8P,18:0-20:4 PE
https://avantilipids.com/product/800819,1-stearoyl-2-docosahexaenoyl-sn-glycerol,C43H72O5,18:0-22:6 DG
https://avantilipids.com/product/710335,"1',3'-bis[1,2-dioleoyl-sn-glycero-3-phospho]-glycerol (sodium salt)",C81H150O17P2,18:1 Cardiolipin
https://avantilipids.com/product/857130,1-oleoyl-2-hydroxy-sn-glycero-3-phosphate (sodium salt),C21H41O7P,18:1 Lyso PA
https://avantilipids.com/product/330724,1-oleoyl-rac-glycerol,C21H40O4,18:1 MG
https://avantilipids.com/product/850152,"1,2-dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol-5'-phosphate) (ammonium salt)",C45H84O16P2,18:1 PI(5)P
HMDB0001476,3-Hydroxyanthranilic acid,C7H7NO3,3-Hydroxyanthranilic acid
HMDB0000355,3-Hydroxymethylglutaric acid,C6H10O5,3-Hydroxymethylglutaric acid
HMDB0000807,3-Phosphoglyceric acid sodium salt,C3H7O7P,3-Phosphoglyceric acid
HMDB0000528,"4,5-Dihydroorotic acid",C5H6N2O4,"4,5-Dihydroorotic acid"
HMDB0000725,4-Hydroxyproline,C5H9NO3,4-Hydroxyproline
HMDB0000763,5-Hydroxyindoleacetic acid,C10H9NO3,5-Hydroxyindoleacetic acid
HMDB0001316,6-Phosphogluconic acid trisodium salt,C6H13O10P,6-Phosphogluconic acid
HMDB0000060,Acetoacetic acid lithium salt,C4H6O3,Acetoacetic acid
HMDB0000895,Acetylcholine,C7H16NO2,Acetylcholine
HMDB0001206,Acetyl-CoA,C23H38N7O17P3S,Acetyl-CoA
HMDB0000034,Adenine,C5H5N5,Adenine
HMDB0000045,Adenosine monophosphate,C10H14N5O7P,Adenosine monophosphate
HMDB0000538,Adenosine triphosphate,C10H16N5O13P3,Adenosine triphosphate
HMDB0001341,ADP,C10H15N5O10P2,ADP
HMDB0001432,Agmatine,C5H14N4,Agmatine
HMDB0001852,all-trans-Retinoic acid,C20H28O2,all-trans-Retinoic acid
HMDB0001893,Alpha-tocopherol,C29H50O2,Alpha-tocopherol
HMDB0001043,Arachidonic acid,C20H32O2,Arachidonic acid
HMDB0000052,"Argininosuccinic acid lithium salt (1,2 or 3 Li, they don't say)",C10H18N4O6,Argininosuccinic acid
HMDB0000044,Ascorbic acid,C6H8O6,Ascorbic acid
https://avantilipids.com/product/700180,beta-D-glucosyl cholesterol,C33H56O6,beta-D-glucosyl cholesterol
HMDB0000030,Biotin,C10H16N2O3S,Biotin
HMDB0000039,Butyric acid,C4H8O2,Butyric acid
https://avantilipids.com/product/878112,1-O-hexadecyl-2-oleoyl-sn-glycero-3-phosphocholine,C42H84NO7P,C16-18:1 PC (O)
https://avantilipids.com/product/860074,"C18:0 GM3 Ganglioside (synthetic, ammonium salt)",C59H108N2O21,C18:0 GM3 Ganglioside
https://avantilipids.com/product/870851,palmitoyl L-carnitine,C23H45NO4,CAR 16:0
HMDB0001096,"Carbamoyl phosphate dibasic hydrate, lithium salt",CH4NO5P,Carbamoyl phosphate
HMDB0000033,Carnosine,C9H14N4O3,Carnosine
https://avantilipids.com/product/860501,N-behenoyl-D-erythro-sphingosine,C40H79NO3,Cer(d18:1/22:0)
HMDB0000876,Cholecalciferol,C27H44O,Cholecalciferol
HMDB0000067,Cholesterol,C27H46O,Cholesterol
HMDB0003822,Cholesteryl acetate,C29H48O2,Cholesteryl acetate
PUBCHEMCID14077841,Cholesteryl ester 17:0,C44H78O2,Cholesteryl ester 17:0
HMDB0000619,Cholic acid,C24H40O5,Cholic acid
HMDB0000097,Choline,C5H14NO,Choline
HMDB0000072,cis-Aconitic acid,C6H6O6,cis-Aconitic acid
HMDB0000094,Citric acid,C6H8O7,Citric acid
HMDB0000904,Citrulline,C6H13N3O3,Citrulline
HMDB0001423,Coenzyme A,C21H36N7O16P3S,Coenzyme A
HMDB0000064,Creatine,C4H9N3O2,Creatine
HMDB0000562,Creatinine,C4H7N3O,Creatinine
HMDB0000058,Cyclic AMP,C10H12N5O6P,Cyclic AMP
HMDB0000089,Cytidine,C9H13N3O5,Cytidine
HMDB0000095,Cytidine monophosphate,C9H14N3O8P,Cytidine monophosphate
HMDB0000630,Cytosine,C4H5N3O,Cytosine
HMDB0000122,D-Glucose,C6H12O6,D-Glucose
HMDB0001882,Dihydroxyacetone,C3H6O3,Dihydroxyacetone
HMDB0001473,Dihydroxyacetone phosphate dilithium salt,C3H7O6P,Dihydroxyacetone phosphate
HMDB0000073,Dopamine,C8H11NO2,Dopamine
HMDB0001548,D-Ribose 5-phosphate disodium salt hydrate,C5H11O8P,D-Ribose 5-phosphate
HMDB0000618,D-Ribulose 5-phosphate disodium salt,C5H11O8P,D-Ribulose 5-phosphate
HMDB0000068,Epinephrine,C9H13NO3,Epinephrine
HMDB0000151,Estradiol,C18H24O2,Estradiol
HMDB0001248,Flavin adenine dinucleotide disodium salt hydrate,C27H33N9O15P2,Flavin adenine dinucleotide
HMDB0001520,Flavin Mononucleotide sodium salt,C17H21N4O9P,Flavin Mononucleotide
HMDB0000121,Folic acid,C19H19N7O6,Folic acid
HMDB0001058,"Fructose 1,6-bisphosphate",C6H14O12P2,"Fructose 1,6-bisphosphate"
HMDB0000134,Fumaric acid,C4H4O4,Fumaric acid
HMDB0000112,gamma-Aminobutyric acid,C4H9NO2,gamma-Aminobutyric acid
https://avantilipids.com/product/860547,"D-glucosyl-beta-1,1'-N-stearoyl-D-erythro-sphingosine",C42H81NO8,GlcCer(d18:1/18:0)
HMDB0000625,Gluconic acid,C6H12O7,Gluconic acid
HMDB0001514,Glucosamine,C6H13NO5,Glucosamine
HMDB0001254,Glucosamine 6-phosphate,C6H14NO8P,Glucosamine 6-phosphate
HMDB0001401,Glucose 6-phosphate sodium salt,C6H13O9P,Glucose 6-phosphate
HMDB0000125,Glutathione,C10H17N3O6S,Glutathione
HMDB0000126,Glycerol 3-phosphate lithium salt,C3H9O6P,Glycerol 3-phosphate
HMDB0000086,Glycerophosphocholine,C8H20NO6P,Glycerophosphocholine
HMDB0000123,Glycine,C2H5NO2,Glycine
HMDB0000132,Guanine,C5H5N5O,Guanine
HMDB0000870,Histamine,C5H9N3,Histamine
HMDB0000742,Homocysteine,C4H9NO2S,Homocysteine
HMDB0000157,Hypoxanthine,C5H4N4O,Hypoxanthine
HMDB0000738,Indole,C8H7N,Indole
HMDB0000715,Kynurenic acid,C10H7NO3,Kynurenic acid
HMDB0000201,L-Acetylcarnitine HCl,C9H17NO4,L-Acetylcarnitine
HMDB0000517,L-Arginine,C6H14N4O2,L-Arginine
HMDB0000168,L-Asparagine,C4H8N2O3,L-Asparagine
HMDB0000191,L-Aspartic acid,C4H7NO4,L-Aspartic acid
HMDB0000062,L-Carnitine,C7H15NO3,L-Carnitine
HMDB0000574,L-Cysteine,C3H7NO2S,L-Cysteine
HMDB0000192,L-Cystine,C6H12N2O4S2,L-Cystine
HMDB0000181,L-Dopa,C9H11NO4,L-Dopa
HMDB0000148,L-Glutamic acid,C5H9NO4,L-Glutamic acid
HMDB0000641,L-Glutamine,C5H10N2O3,L-Glutamine
HMDB0000177,L-Histidine,C6H9N3O2,L-Histidine
HMDB0000684,L-Kynurenine,C10H12N2O3,L-Kynurenine
HMDB0000190,L-Lactic acid sodium salt,C3H6O3,L-Lactic acid
HMDB0000156,L-Malic acid,C4H6O5,L-Malic acid
HMDB0000696,L-Methionine,C5H11NO2S,L-Methionine
HMDB0000159,L-Phenylalanine,C9H11NO2,L-Phenylalanine
HMDB0000162,L-Proline,C5H9NO2,L-Proline
HMDB0003371,L-Ribulose,C5H10O5,L-Ribulose
HMDB0000187,L-Serine,C3H7NO3,L-Serine
HMDB0000929,L-Tryptophan,C11H12N2O2,L-Tryptophan
HMDB0000158,L-Tyrosine,C9H11NO3,L-Tyrosine
HMDB0000883,L-Valine,C5H11NO2,L-Valine
HMDB0000691,Malonic acid,C3H4O4,Malonic acid
HMDB0001389,Melatonin,C13H16N2O2,Melatonin
HMDB0000227,(R)-Mevalonic acid lithium salt,C6H12O4,Mevalonic acid
HMDB0000211,myo-Inositol,C6H12O6,myo-Inositol
HMDB0000213,Myo-inositol 1-phosphate dipotassium salt,C6H13O9P,Myo-inositol 1-phosphate
HMDB0001325,"N6,N6,N6-Trimethyl-L-lysine hydrochloride",C9H20N2O2,"N6,N6,N6-Trimethyl-L-lysine"
HMDB0001067,N-Acetylaspartylglutamic acid,C11H16N2O8,N-Acetylaspartylglutamic acid
HMDB0006480,N-Acetyl-D-galactosamine 1-phosphate,C8H16NO9P,N-Acetyl-D-galactosamine 1-phosphate
HMDB0000215,N-Acetyl-D-glucosamine,C8H15NO6,N-Acetyl-D-glucosamine
HMDB0000812,N-Acetyl-L-aspartic acid,C6H9NO5,N-Acetyl-L-aspartic acid
HMDB0000902,NAD nicotinamide adenine dinucleotide,C21H28N7O14P2,NAD nicotinamide adenine dinucleotide
HMDB0001487,NADH (reduced) disodium salt hydrate,C21H29N7O14P2,NADH (reduced)
HMDB0001406,Niacinamide,C6H6N2O,Niacinamide
HMDB0000855,Nicotinamide riboside chloride,C11H15N2O5,Nicotinamide riboside
HMDB0000229,Nicotinamide ribotide,C11H15N2O8P,Nicotinamide ribotide
HMDB0001488,Nicotinic acid,C6H5NO2,Nicotinic acid
HMDB0000214,Ornithine,C5H12N2O2,Ornithine
HMDB0000226,Orotic acid,C5H4N2O4,Orotic acid
HMDB0000223,Oxalacetic acid,C4H4O5,Oxalacetic acid
HMDB0003337,Oxidized glutathione,C20H32N6O12S2,Oxidized glutathione
HMDB0000208,Oxoglutaric acid,C5H6O5,Oxoglutaric acid
HMDB0000220,Palmitic acid,C16H32O2,Palmitic acid
HMDB0001338,Palmitoyl-CoA (Ammonium Salt),C37H66N7O17P3S,Palmityl-CoA
HMDB0003426,Pantetheine,C11H22N2O4S,Pantetheine
HMDB0000210,Pantothenic acid,C9H17NO5,Pantothenic acid
HMDB0001511,Phosphocreatine,C4H10N3O5P,Phosphocreatine
HMDB0000263,Phosphoenolpyruvic acid potassium salt,C3H5O6P,Phosphoenolpyruvic acid
HMDB0000272,Phosphoserine,C3H8NO6P,Phosphoserine
HMDB0003555,Phylloquinone,C31H46O2,Phylloquinone
HMDB0000824,Propionylcarnitine,C10H19NO4,Propionylcarnitine
https://avantilipids.com/product/900100,Prostaglandin E1,C20H34O5,Prostaglandin E1
HMDB0001414,Putrescine dihydrochloride,C4H12N2,Putrescine
HMDB0000239,Pyridoxine,C8H11NO3,Pyridoxine
HMDB0000243,Pyruvic acid,C3H4O3,Pyruvic acid
HMDB0000232,Quinolinic acid,C7H5NO4,Quinolinic acid
HMDB0000244,Riboflavin,C17H20N4O6,Riboflavin
HMDB0000939,S-Adenosylhomocysteine,C14H20N6O5S,S-Adenosylhomocysteine
HMDB0001185,S-Adenosylmethionine,C15H23N6O5S,S-Adenosylmethionine
HMDB0000259,Serotonin,C10H12N2O,Serotonin
HMDB0001257,Spermidine,C7H19N3,Spermidine
HMDB0001256,Spermine tetrahydrochloride,C10H26N4,Spermine
HMDB0000254,Succinic acid,C4H6O4,Succinic acid
HMDB0000251,Taurine,C2H7NO3S,Taurine
HMDB0000036,Taurocholic acid,C26H45NO7S,Taurocholic acid
HMDB0001846,5-Methyltetrahydrofolic acid disodium salt,C20H25N7O6,Tetrahydrofolic acid
HMDB0000235,Thiamine,C12H17N4OS,Thiamine
HMDB0000262,Thymine,C5H6N2O2,Thymine
HMDB0000300,Uracil,C4H4N2O2,Uracil
HMDB0000828,Ureidosuccinic acid,C5H8N2O5,Ureidosuccinic acid
HMDB0000289,Uric acid,C5H4N4O3,Uric acid
HMDB0000296,Uridine,C9H12N2O6,Uridine
HMDB0000295,Uridine 5'-diphosphate,C9H14N2O12P2,Uridine 5'-diphosphate
HMDB0000286,Uridine diphosphate glucose,C15H24N2O17P2,Uridine diphosphate glucose
HMDB0000935,Uridine diphosphoglucuronic acid trisodium salt,C15H22N2O18P2,Uridine diphosphate glucuronic acid
HMDB0000290,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,Uridine diphosphate-N-acetylglucosamine
HMDB0000301,Urocanic acid,C6H6N2O2,Urocanic acid
HMDB0000292,Xanthine,C5H4N4O2,Xanthine
