dataset_id,well,formula,adduct,neutral_loss,score,average ratio,occupancy ratio
2021-02-15_17h57m16s,10,C8H7N,+H,,0,1.1514053765692733,0.9902314105950081
2021-02-15_17h57m16s,67,C9H14N3O8P,+H,,0,3.931593418121338,1.9230769230769231
2021-02-15_17h57m16s,68,C6H8O7,+H,,0,2.9293172359466553,1.9230769230769231
2021-02-15_17h57m16s,76,C11H16N2O8,+H,,1,9.406243965725674,5.6175087240176005
2021-02-15_17h57m16s,84,C4H6O3,+H,,0,3.3322170870947425,3.1947021010397343
2021-02-15_17h57m16s,89,C6H9NO5,+H,,1,4.125851631164551,1.9230769230769231
2021-02-15_17h57m16s,92,C4H8O2,+H,,0,2.264442745792691,1.6616551476528139
2021-02-15_17h57m16s,98,C7H7NO3,+H,,0,3.1350091278889853,2.4904485161568064
2021-02-15_17h57m16s,120,C11H15N2O8P,+H,,1,4.197931491364866,1.9037947346770876
2021-02-15_17h57m16s,133,C4H4N2O2,+H,,0,7.071772522151837,2.237295304852257
2021-02-15_17h57m16s,136,C6H6N2O,+H,,0,1.5416985805821533,1.756987614482988
2021-02-15_17h57m16s,138,C6H5NO2,+H,,0,4.431234293525708,2.965202418612101
2021-02-15_17h57m16s,143,C10H16N2O3S,+H,,0,2.9601169163458994,2.1310690533872627
2021-02-15_17h57m16s,156,C11H12N2O2,+H,,1,2.415834494928154,1.1423913853970342
2021-02-15_17h57m16s,157,C10H9NO3,+H,,0,8.144692801608693,2.969840378599503
2021-02-15_17h57m16s,166,C10H12N2O,+H,,1,3.5416107482951835,0.9920222920336792
2021-02-15_17h57m16s,178,C5H5N5O,+H,,1,7.422921955732202,3.625814033197865
2021-02-15_17h57m16s,180,C3H7NO3,+H,,0,3.6796544930960735,1.8725029080058668
