row_id,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_tic_norm,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio
2021-02-15_17h57m16s_C10H26N4_+H__115,28.846153846153843,16360128.90625,0.28846153846153844,0.23076923076923078,0.00048678007788481245,0.0004091653027823241,0.0,0.0,28.846153846153843,2,16360.129,0.0050571146,16360.129,850726.7,51789.887,1.2378656,0.0,0.0,16360128.90625,13205.733809463421
2021-02-15_17h57m16s_C10H26N4_+Na__115,28.846153846153843,1543650.146484375,0.28846153846153844,0.2692307692307692,0.00048678007788481245,0.0004091653027823241,0.0,0.0,28.846153846153843,4,1543.6501,0.0004870466,1543.6501,80269.805,4397.128,0.14514226,0.0,0.0,1543650.146484375,10562.654333635144
2021-02-15_17h57m16s_C10H26N4_+K__115,5.74954324954325,9915.555867852961,0.057692307692307696,0.057692307692307696,0.00010248001639680262,0.0,3.424188467333242e-05,3.424188467333242e-05,5.749219562955255,1,43.455296,1.5595799e-05,43.45186,2259.6753,224.62177,0.0,0.0033825375,0.003438344,9790.880480782645,43455.29556274414
2021-02-17_18h14m40s_C10H26N4_+H__115,83.55563533983677,12201.408231984782,0.8648648648648649,0.8108108108108109,0.0016342631727247112,0.002304147465437788,0.00035076642463783365,0.00035076642463783365,85.8753393537692,2,28936.889,0.023742277,28936.834,1070664.9,33244.863,2.1221561,2.3706024,0.05424474,523794.441432472,13629.185382672169
2021-02-17_18h14m40s_C10H26N4_+Na__115,77.54505486734008,12402.8385933676,0.8108108108108109,0.8108108108108109,0.0014652014652014652,0.0012960829493087558,0.00045599635202918376,0.00045599635202918376,79.38618338228135,4,1471.8083,0.0012072372,1471.7916,54456.91,1879.7529,0.18059406,0.11766706,0.016733693,82995.02833483348,8104.936775920922
2021-02-17_18h14m40s_C10H26N4_+K__115,10.135335111493484,234.79116084120002,0.10810810810810811,0.10810810810810811,0.0008453085376162299,0.0010080645161290322,0.000666456206811884,0.000666456206811884,10.1600580616064,5,14.427558,1.1941658e-05,14.36895,533.81964,43.098568,0.09851622,0.06044847,0.05860817,242.03993849049849,144.9769513190829
2021-02-28_07h58m29s_C10H26N4_+H__115,61.72149559320961,8916.076719679168,0.6346153846153846,0.5576923076923077,0.0013349038084020416,0.0010229132569558102,0.0002819184550868661,0.0002819184550868661,63.46153846153846,2,12614.11,0.0030397612,12614.11,655933.75,21895.889,2.5306468,1.4137602,0.0,12614110.3515625,4982.571165379576
2021-02-28_07h58m29s_C10H26N4_+Na__115,18.897791961129567,6161.607310823877,0.19230769230769232,0.19230769230769232,0.00041879335165554245,0.00010229132569558102,0.00017619903442929133,0.00017619903442929133,19.230769230769234,2,419.7195,0.00010651087,419.7195,21825.414,1126.5308,0.1848862,0.06711851,0.0,419719.5129394531,2257.9379638484597
2021-03-07_11h36m10s_C10H26N4_+H__115,42.76899344388739,10124.550666160147,0.5,0.38461538461538464,0.002388010540184453,0.0016386726751331422,0.001690712353471596,0.001690712353471596,42.66001174398121,1,3140.074,0.0007210811,3139.7593,163283.84,9132.562,0.29962912,0.30914453,0.31460544,9949.365664129833,10445.009297578501
2021-03-07_11h36m10s_C10H26N4_+Na__115,9.615384615384617,213832.21435546875,0.09615384615384616,0.09615384615384616,0.00013724198506807203,0.0,0.0,0.0,9.615384615384617,1,213.83221,5.3962227e-05,213.83221,11119.275,1138.6304,0.0,0.0,0.0,213832.21435546875,213832.21435546875
2021-03-24_23h18m35s_C10H26N4_+H__115,54.68653775095456,2906.069484586213,0.5797101449275363,0.5072463768115942,0.0018451248342270658,0.0008479802651865557,0.0006006006006006006,0.0006006006006006006,57.971014492753625,2,87363.73,0.033151507,87363.73,6028097.0,140531.11,5.553478,30.061504,0.0,87363726.5625,15728.522153187429
2021-03-24_23h18m35s_C10H26N4_+Na__115,45.714093714900116,2931.466452270718,0.4782608695652174,0.43478260869565216,0.0014126737012050972,0.00046253469010175765,0.000462000462000462,0.000462000462000462,47.60090645387791,2,2933.827,0.0011281065,2933.821,202434.06,6385.854,0.1334615,0.9998052,0.0058499277,428300.4213022602,21819.084209167962
2021-03-24_23h18m35s_C10H26N4_+K__115,18.583018811851765,5327.823710699566,0.18840579710144928,0.18840579710144928,0.0005189413596263622,0.0001541782300339192,0.0001386001386001386,0.0001386001386001386,18.751872239406453,3,255.22566,0.000101945596,255.22104,17610.57,818.5433,0.024081301,0.0469043,0.0046179844,45430.112253307794,10175.933967714947
2021-04-11_21h47m45s_C10H26N4_+H__115,11.451940381154538,21743.45642615125,0.11538461538461539,0.019230769230769232,0.0002754820936639118,0.00020458265139116204,7.555152614082804e-05,7.555152614082804e-05,11.538461538461538,2,994.06323,0.0030452593,994.06323,51691.29,6906.1875,0.28254193,0.04471781,0.0,994063.232421875,3505.8773496167983
2021-04-11_21h47m45s_C10H26N4_+K__115,1.901527428197083,2581.4257102853776,0.019230769230769232,0.019230769230769232,0.0001377410468319559,0.00010229132569558102,0.00011332728921124207,0.00011332728921124207,1.9011365132300673,2,20.644978,6.309951e-05,20.637852,1073.5388,147.43463,0.008182199,0.00699751,0.0071259122,2540.6350665126633,2248.369715461158
2021-04-11_21h47m45s_C10H26N4_+Na__115,3.774854835213726,7157.151301488113,0.038461538461538464,0.038461538461538464,0.0001928374655647383,0.0,0.0001888788153520701,0.0001888788153520701,3.787867748845207,1,97.208565,0.00029786307,97.199524,5054.845,686.025,0.0,0.012582019,0.009044397,9677.889847298302,97208.56475830078
