dataset_id,well,formula,adduct,neutral_loss,score,average ratio,occupancy ratio
2021-02-17_18h14m40s,14,C20H28O2,+H,,1,201.700451708621,38.533914214495
2021-02-17_18h14m40s,23,C18H24O2,+H,,1,19.3364168894737,15.212770171246
2021-02-17_18h14m40s,26,C13H16N2O2,+H,,1,2152.27066320571,63.2443410446848
2021-02-17_18h14m40s,38,C4H4O4,+H,,1,11.8911220883535,12.0494275423853
2021-02-17_18h14m40s,57,C6H13O9P,+H,,0,1.49687966822132,1.43889384255339
2021-02-17_18h14m40s,58,C5H11O8P,+H,,0,1.43385466438339,1.24782122925056
2021-02-17_18h14m40s,60,C9H13N3O5,+H,,1,2734.14622642955,83.0276035075235
2021-02-17_18h14m40s,61,C6H12O4,+H,,1,67.6294080404826,25.5748202776229
2021-02-17_18h14m40s,66,C8H15NO6,+H,,1,1132.32009565274,91.1151077511218
2021-02-17_18h14m40s,67,C9H14N3O8P,+H,,1,31.9227763547403,2.35693958788219
2021-02-17_18h14m40s,68,C6H8O7,+H,,1,5.66865173937026,5.36813317368394
2021-02-17_18h14m40s,69,C5H4N4O3,+H,,1,140.999727508261,41.2389214243212
2021-02-17_18h14m40s,70,C9H13NO3,+H,,1,2500.77508112566,79.9004102596223
2021-02-17_18h14m40s,72,C10H7NO3,+H,,1,548.228120002106,44.1084143633719
2021-02-17_18h14m40s,73,C5H6N2O4,+H,,1,49.3206903781568,19.8315813026846
2021-02-17_18h14m40s,74,C8H16NO9P,+H,,1,132.524104602431,33.7299639249314
2021-02-17_18h14m40s,75,C3H7O6P,+H,,0,2.10839763383531,1.97298067859097
2021-02-17_18h14m40s,76,C11H16N2O8,+H,,1,1083.13963416306,81.1347742466453
2021-02-17_18h14m40s,82,C10H18N4O6,+H,,1,3883.63135707529,85.0108596909484
2021-02-17_18h14m40s,83,C9H20N2O2,+H,,1,6532.0695016833,96.6448582452609
2021-02-17_18h14m40s,85,C6H13O10P,+H,,1,13.5884153584515,13.230650279227
2021-02-17_18h14m40s,88,C10H12N5O6P,+H,,1,1255.53554705243,71.1682114910225
2021-02-17_18h14m40s,89,C6H9NO5,+H,,1,1097.71085735568,79.5797234704757
2021-02-17_18h14m40s,90,C5H5N5,+H,,1,118.927142945834,42.348876528387
2021-02-17_18h14m40s,95,C8H20NO6P,+H,,1,8850.32403716728,95.0503217290876
2021-02-17_18h14m40s,96,C3H5O6P,+H,,1,28.5911728423526,25.7743258902007
2021-02-17_18h14m40s,100,C6H13O9P,+H,,1,13.9708779984323,11.5111507404271
2021-02-17_18h14m40s,101,C5H11O8P,+H,,0,2.26744392159166,1.41993450225064
2021-02-17_18h14m40s,103,C3H7O7P,+H,,1,29.5908180457931,24.6046506210276
2021-02-17_18h14m40s,106,C6H14NO8P,+H,,1,465.795193763336,65.2689485013658
2021-02-17_18h14m40s,107,C4H12N2,+H,,1,2136.19817863293,58.4925627838502
2021-02-17_18h14m40s,109,C9H17NO4,+H,,1,3570.29075799393,96.3216853369002
2021-02-17_18h14m40s,110,C7H15NO3,+H,,1,2313.66807980152,79.2808083503964
2021-02-17_18h14m40s,111,C2H7NO3S,+H,,1,313.507710950095,63.54131720566
2021-02-17_18h14m40s,112,C10H17N3O6S,+H,,1,1594.81307954984,89.0311157424374
2021-02-17_18h14m40s,113,C4H6O4,+H,,0,3.23438687740166,2.52723101286646
2021-02-17_18h14m40s,115,C10H26N4,+H,,1,8647.57811769246,83.5847422661715
2021-02-17_18h14m40s,119,C11H22N2O4S,+H,,1,3207.05742589738,85.6222161171337
2021-02-17_18h14m40s,120,C11H15N2O8P,+H,,1,2521.22260070244,78.0761159275063
2021-02-17_18h14m40s,123,C3H7NO2S,+H,,1,689.084971500672,62.8995937529855
2021-02-17_18h14m40s,126,C4H5N3O,+H,,1,532.619817423231,49.8967161361009
