name_short,adduct,9AA,CHCA,CMBT,ClCCA,DAN,DHAP,DHB,MAPS,NEDC,NOR,PNDI,pNA
2-Oxoglutaric acid,+H,-,-,-,-,-,-,-,-,-,-,-,X
2-Oxoglutaric acid,+Na,-,72.43064,-,54.59107,79.31094,76.893745,210.54546,-,-,-,-,-
2-Oxoglutaric acid,+K,-,-,-,-,11.875473,-,-,-,-,-,-,-
2-Oxoglutaric acid,[M]+,-,-,-,-,-,-,-,-,-,-,-,X
2-Oxoglutaric acid,-H,65207.863,1489.3842,879.0179,88.82836,6752.459,1492.5983,930.48126,388.89798,-,36786.184,47.11761,6166.8667
2-Oxoglutaric acid,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
2-Oxoglutaric acid,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxyanthranilic acid,+H,-,854.46674,-,129.4211,-,23.555162,X,-,-,-,439.20483,-
3-Hydroxyanthranilic acid,+Na,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxyanthranilic acid,+K,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxyanthranilic acid,[M]+,-,-,-,-,X,-,109.91902,-,-,-,-,-
3-Hydroxyanthranilic acid,-H,5635.4595,-,-,-,X,-,-,950.47253,-,-,-,-
3-Hydroxyanthranilic acid,+Cl,41.60611,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxyanthranilic acid,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxymethylglutaric acid,+H,-,-,44.459694,838.8174,-,11.582249,-,-,-,-,-,-
3-Hydroxymethylglutaric acid,+Na,-,-,809.79553,4843.0303,-,711.8208,-,58.14813,41.70935,-,-,-
3-Hydroxymethylglutaric acid,+K,-,-,487.1448,1020.52924,-,175.44559,X,-,-,-,-,-
3-Hydroxymethylglutaric acid,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxymethylglutaric acid,-H,-,-,2040.8381,579.8331,-,2897.0745,-,4850.6377,352.04083,-,-,-
3-Hydroxymethylglutaric acid,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxymethylglutaric acid,[M]-,-,-,-,-,X,-,-,-,-,-,-,-
3-Phosphoglyceric acid,+H,-,296.45044,-,52.880165,-,-,18.55582,-,-,-,-,-
3-Phosphoglyceric acid,+Na,-,984.12195,-,370.68826,-,-,520.5492,-,-,-,-,-
3-Phosphoglyceric acid,+K,-,89.04404,-,68.402954,-,-,17.043736,-,-,-,-,-
