name_short,adduct,9AA,CHCA,CMBT,ClCCA,DAN,DHAP,DHB,MAPS,NEDC,NOR,PNDI,pNA
2-Oxoglutaric acid,+H,-,-,-,-,-,-,-,-,-,-,-,X
2-Oxoglutaric acid,+Na,-,V,-,V,V,V,V,-,-,-,-,-
2-Oxoglutaric acid,+K,-,-,-,-,V,-,-,-,-,-,-,-
2-Oxoglutaric acid,[M]+,-,-,-,-,-,-,-,-,-,-,-,X
2-Oxoglutaric acid,-H,V,V,V,V,V,V,V,V,-,V,V,V
2-Oxoglutaric acid,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
2-Oxoglutaric acid,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxyanthranilic acid,+H,-,V,-,V,-,V,X,-,-,-,V,-
3-Hydroxyanthranilic acid,+Na,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxyanthranilic acid,+K,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxyanthranilic acid,[M]+,-,-,-,-,X,-,V,-,-,-,-,-
3-Hydroxyanthranilic acid,-H,V,-,-,-,X,-,-,V,-,-,-,-
3-Hydroxyanthranilic acid,+Cl,V,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxyanthranilic acid,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxymethylglutaric acid,+H,-,-,V,V,-,V,-,-,-,-,-,-
3-Hydroxymethylglutaric acid,+Na,-,-,V,V,-,V,-,V,V,-,-,-
3-Hydroxymethylglutaric acid,+K,-,-,V,V,-,V,X,-,-,-,-,-
3-Hydroxymethylglutaric acid,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxymethylglutaric acid,-H,-,-,V,V,-,V,-,V,V,-,-,-
3-Hydroxymethylglutaric acid,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
3-Hydroxymethylglutaric acid,[M]-,-,-,-,-,X,-,-,-,-,-,-,-
3-Phosphoglyceric acid,+H,-,V,-,V,-,-,V,-,-,-,-,-
3-Phosphoglyceric acid,+Na,-,V,-,V,-,-,V,-,-,-,-,-
3-Phosphoglyceric acid,+K,-,V,-,V,-,-,V,-,-,-,-,-
3-Phosphoglyceric acid,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
3-Phosphoglyceric acid,-H,V,V,-,V,V,V,V,-,V,V,-,V
3-Phosphoglyceric acid,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
3-Phosphoglyceric acid,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
"4,5-Dihydroorotic acid",+H,-,V,-,V,-,-,V,-,-,-,-,-
"4,5-Dihydroorotic acid",+Na,-,V,V,V,V,V,V,-,-,-,-,V
"4,5-Dihydroorotic acid",+K,-,V,-,-,-,-,-,-,-,-,-,-
"4,5-Dihydroorotic acid",[M]+,-,-,-,-,-,-,-,-,-,-,-,-
"4,5-Dihydroorotic acid",-H,V,V,V,V,V,V,V,-,-,V,-,V
"4,5-Dihydroorotic acid",+Cl,V,-,V,-,-,-,-,-,-,-,-,-
"4,5-Dihydroorotic acid",[M]-,-,-,-,-,-,-,-,-,-,-,-,-
4-Hydroxyproline,+H,-,V,V,V,V,V,V,-,-,-,-,V
4-Hydroxyproline,+Na,V,V,V,V,V,V,V,-,-,V,-,V
4-Hydroxyproline,+K,-,X,V,V,-,V,X,-,-,-,-,V
4-Hydroxyproline,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
4-Hydroxyproline,-H,V,-,-,-,V,V,-,-,-,V,-,V
4-Hydroxyproline,+Cl,V,X,-,-,V,-,-,-,-,-,-,-
4-Hydroxyproline,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
5-Hydroxyindoleacetic acid,+H,-,X,V,V,-,V,V,-,-,-,-,-
5-Hydroxyindoleacetic acid,+Na,-,X,V,V,V,V,V,-,-,V,-,V
5-Hydroxyindoleacetic acid,+K,-,X,V,V,V,V,V,-,-,-,-,V
5-Hydroxyindoleacetic acid,[M]+,-,X,V,V,X,V,V,-,-,X,-,X
5-Hydroxyindoleacetic acid,-H,V,X,-,-,V,V,-,-,-,-,-,-
5-Hydroxyindoleacetic acid,+Cl,-,-,-,-,-,-,X,-,-,-,-,-
5-Hydroxyindoleacetic acid,[M]-,X,-,-,-,-,-,-,-,-,-,-,-
6-Phosphogluconic acid,+H,-,V,-,-,-,-,-,-,-,-,-,-
6-Phosphogluconic acid,+Na,-,V,-,V,-,-,V,-,-,-,-,-
6-Phosphogluconic acid,+K,-,V,-,V,-,-,V,-,-,-,-,-
6-Phosphogluconic acid,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
6-Phosphogluconic acid,-H,V,V,-,V,-,-,V,-,-,V,-,V
6-Phosphogluconic acid,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
6-Phosphogluconic acid,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
Acetoacetic acid,+H,-,-,-,-,-,-,-,-,-,X,-,-
Acetoacetic acid,+Na,-,X,X,-,X,X,X,-,-,X,-,-
Acetoacetic acid,+K,-,-,-,-,-,-,-,-,-,-,-,-
Acetoacetic acid,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
Acetoacetic acid,-H,X,-,X,-,X,X,X,X,X,X,X,X
Acetoacetic acid,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
Acetoacetic acid,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
Acetyl-CoA,+H,-,V,-,V,-,-,V,-,-,V,-,V
Acetyl-CoA,+Na,-,V,-,V,-,-,V,-,-,V,-,V
Acetyl-CoA,+K,-,-,-,-,-,-,-,-,-,-,-,-
Acetyl-CoA,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
Acetyl-CoA,-H,V,V,-,V,V,-,V,-,-,V,-,V
Acetyl-CoA,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
Acetyl-CoA,[M]-,-,V,-,-,-,-,-,-,-,V,-,V
Acetylcarnitine,+H,V,V,V,V,V,V,V,-,V,V,-,V
Acetylcarnitine,+Na,V,V,V,V,V,V,V,X,V,V,-,V
Acetylcarnitine,+K,V,V,-,V,V,V,V,-,-,X,-,V
Acetylcarnitine,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
Acetylcarnitine,-H,-,-,-,-,-,-,-,-,-,-,-,-
Acetylcarnitine,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
Acetylcarnitine,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
Acetylcholine,+H,-,V,-,-,-,-,-,-,-,-,-,-
Acetylcholine,+Na,-,-,-,-,-,-,-,-,-,-,-,-
Acetylcholine,+K,-,-,-,-,-,-,-,-,-,-,-,-
Acetylcholine,[M]+,V,V,V,V,V,V,V,V,V,V,V,V
Acetylcholine,-H,-,-,-,-,-,-,-,-,-,-,-,-
Acetylcholine,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
Acetylcholine,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
Adenine,+H,-,V,V,V,-,V,V,-,-,-,-,V
Adenine,+Na,-,-,V,-,-,-,V,-,-,-,-,V
Adenine,+K,-,-,-,-,-,-,-,-,-,-,-,V
Adenine,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
Adenine,-H,V,-,-,-,V,-,-,V,-,V,-,V
Adenine,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
Adenine,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
Adenosine diphosphate,+H,-,V,-,V,-,-,V,-,-,-,-,-
Adenosine diphosphate,+Na,-,V,-,V,-,-,V,-,-,-,-,-
Adenosine diphosphate,+K,-,V,-,V,-,-,V,-,-,V,-,-
Adenosine diphosphate,[M]+,-,-,-,-,-,-,-,-,-,-,-,-
Adenosine diphosphate,-H,V,V,-,V,-,-,V,-,-,V,-,-
Adenosine diphosphate,+Cl,-,-,-,-,-,-,-,-,-,-,-,-
Adenosine diphosphate,[M]-,-,-,-,-,-,-,-,-,-,-,-,-
