mouse_model,name,bigg_accessions,hmdb_secondary,kegg_id,lipidmaps_id,inchi_key,hmdb_primary
10fthf,['10-Formyltetrahydrofolate'],"['10fthf_m', '10fthf[e]', '10fthf_h', '_10fthf_c', '10fthf[c]', '10fthf_x', '10fthf_e', '10fthf_l', '10fthf', '10fthf_c', '10fthf[m]', '10fthf[l]']",['HMDB00972'],['C00234'],,['AUFGTPPARQZWDO-YPMHNXCESA-L'],HMDB0000972
12ppd__R,"['(R)-Propane-1,2-diol']","['12ppd__R_c', '12ppd_R[e]', '12ppd_R[c]', '12ppd__R_p', '12ppd_DASH_R_e', '12ppd_DASH_R_p', '12ppd_R_p', '12ppd_DASH_R_c', '12ppd_R_e', '12ppd_R_c', '12ppd__R_e', '12ppd__R']",,['C02912'],,['DNIAPMSPPWPWGF-GSVOUGTGSA-N'],HMDB0001881
12ppd__S,"['(S)-Propane-1,2-diol']","['12ppd_S_e', '12ppd_DASH_S_p', '12ppd_S[c]', '12ppd_S_p', '12ppd_DASH_S_e', '12ppd__S', '12ppd__S_p', '12ppd-S[c]', '12ppd__S_c', '12ppd_S_c', '12ppd_DASH_S_c', '12ppd__S_e']",['HMDB06213'],['C02917'],,['DNIAPMSPPWPWGF-VKHMYHEASA-N'],HMDB0006213
13dpg,['3-Phospho-D-glyceroyl phosphate'],"['13dpg_h', '_13dpg_c', '13dpg_x', '13dpg_c', '13dpg', '13dpg_f', '13dpg[c]', '13dpg_m']",['HMDB62758'],['C00236'],,['LJQLQCAXBUHEAZ-UWTATZPHSA-J'],HMDB0001270
1mncam,['1 Methylnicotinamide C7H9N2O'],"['1mncam_c', '1mncam', '1mncam[c]', '1mncam[e]', '1mncam_e']",['HMDB00699'],['C02918'],,['LDHMAVIPBRSVRG-UHFFFAOYSA-O'],HMDB0000699
1mpyr,['1-Methylpyrrolinium'],"['1mpyr[c]', '1mpyr', '1mpyr_c']",['HMDB60253'],['C06178'],,['FDWZAOGDOVQOLD-UHFFFAOYSA-N'],HMDB0060253
1p3h5c,['L 1 Pyrroline 3 hydroxy 5 carboxylate C5H6NO3'],"['1p3h5c[c]', '1p3h5c_m', '_1p3h5c_c', '1p3h5c_c', '1p3h5c[m]', '1p3h5c']",['HMDB62585'],['C04281'],,['WFOFKRKDDKGRIK-DMTCNVIQSA-M'],HMDB0062585
1pipdn2c,['Delta1-Piperideine-2-carboxylate'],"['1pipdn2c_c', '1pipdn2c[x]', '1pipdn2c', '1pipdn2c_x']","['HMDB01084', 'HMDB62778']",['C04092'],,['GEJXSVNGWOSZPC-UHFFFAOYSA-N'],HMDB0001084
1pyr5c,['1-Pyrroline-5-carboxylate'],"['1pyr5c_c', '_1pyr5c_c', '1pyr5c', '1pyr5c_m', '1pyr5c[m]', '1pyr5c[c]']","['HMDB02240', 'HMDB01301']","['C03912', 'C04322']",,['DWAKNKKXGALPNW-UHFFFAOYSA-M'],HMDB0001301
23doguln,"['2,3-Dioxo-L-gulonate']","['23doguln', '23doguln_p', '23doguln_c', '23doguln[c]']","['HMDB06511', 'HMDB62803', 'HMDB05971']",['C04575'],['LMFA01060195'],['GJQWCDSAOUMKSE-STHAYSLISA-M'],HMDB0005971
23dpg,['2 3 Disphospho D glycerate C3H3O10P2'],"['23dpg_c', '23dpg[c]', '23dpg']",['HMDB01294'],"['C01159', 'C03339']",,['XOHUEYCVLUUEJJ-UWTATZPHSA-I'],HMDB0001294
25aics,['(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate'],"['_25aics_c', '25aics_c', '25aics[c]', '25aics', '25aics_h']","['HMDB06274', 'HMDB00797']",['C04823'],,['NAQGHJTUZRHGAC-ZZZDFHIKSA-J'],HMDB0000797
2amac,['2-Aminoacrylate'],"['2amac[c]', '2amac', '2amac_c']","['HMDB03609', 'HMDB06356']",['C02218'],,['UQBOJOOOTLPNST-UHFFFAOYSA-N'],HMDB0003609
2ameph,['2-Aminoethylphosphonate'],"['AEP', '2ameph[c]', 'AEP_e', '2ameph_p', '2ameph_c', 'AEP_c', '2ameph_e', 'AEP_p', '2ameph']",['HMDB11747'],['C03557'],,['QQVDJLLNRSOCEL-UHFFFAOYSA-N'],HMDB0011747
2aobut,['L-2-Amino-3-oxobutanoate'],"['2aobut_x', '2aobut', '2aobut_c', '2aobut_m', '2aobut[c]', '2aobut[m]']",['HMDB06454'],['C03508'],['LMFA01060172'],['SAUCHDKDCUROAO-VKHMYHEASA-N'],HMDB0006454
2dr1p,['2-Deoxy-D-ribose 1-phosphate'],"['2dr1p[c]', '2dr1p', '2dr1p_c']",['HMDB01351'],['C00672'],,['KBDKAJNTYKVSEK-VPENINKCSA-L'],HMDB0001351
2dr5p,['2-Deoxy-D-ribose 5-phosphate'],"['2dr5p_x', '2dr5p', '2dr5p[c]', '2dr5p_c']",['HMDB01031'],['C00673'],,['ALQNUOMIEBHXQG-CRCLSJGQSA-L'],HMDB0001031
2hb,['2 Hydroxybutyrate C4H7O3'],"['2hb', '2hb_e', '2hb[c]', '2hb[e]', '2hb_c']",['HMDB00008'],['C05984'],"['LMFA01050004', 'LMFA01050342']",['AFENDNXGAFYKQO-VKHMYHEASA-M'],HMDB0000008
2hyoxplac,['2-Hydroxyphenylacetate'],"['2hyoxplac[c]', '2hyoxplac[e]', '2hyoxplac_c', '2hyoxplac']",['HMDB00669'],['C05852'],,['CCVYRRGZDBSHFU-UHFFFAOYSA-M'],HMDB0000669
2kmb,['2-keto-4-methylthiobutyrate'],"['2kmb_c', '2kmb', '2kmb[c]']","['HMDB13210', 'HMDB01553']",['C01180'],['LMFA01060170'],['SXFSQZDSUWACKX-UHFFFAOYSA-M'],HMDB0001553
2maacoa,['2-Methyl-3-acetoacetyl-CoA'],"['2maacoa[m]', '2maacoa', '2maacoa_m', '2maacoa_c']",['HMDB01157'],['C03344'],['LMFA07050189'],['NHNODHRSCRALBF-NQNBQJKNSA-J'],HMDB0001157
2mb2coa,['Trans-2-Methylbut-2-enoyl-CoA'],"['2mb2coa', '2mb2coa[c]', '2mb2coa_c', '2mb2coa_m', '2mb2coa[m]']","['HMDB02371', 'HMDB06871', 'HMDB02054', 'HMDB62753', 'HMDB00993']",['C03345'],"['LMFA07050191', 'LMFA07050374']",['PMWATMXOQQZNBX-DKBZLLMOSA-J'],HMDB0002054
2mbcoa,['2-Methylbutanoyl-CoA'],"['2mbcoa', '2mbcoa_m', '2mbcoa_c', '_2mbcoa_c', '2mbcoa[m]']","['HMDB02253', 'HMDB01041', 'HMDB02191', 'HMDB02021']",['C01033'],['LMFA07050190'],['LYNVNYDEQMMNMZ-XGXNYEOVSA-J'],HMDB0001041
2mcacn,['Cis-2-Methylaconitate'],"['_2mcacn_c', '2mcacn_c', '2mcacn[c]', '2mcacn']",['HMDB06357'],['C04225'],,['NUZLRKBHOBPTQV-ARJAWSKDSA-K'],HMDB0006357
2mcit,['2-Methylcitrate'],"['2mcit[c]', '2mcit', '2mcit_m', '2mcit[e]', '2mcit_e', '2mcit_c', '_2mcit_c']","['HMDB00379', 'HMDB03610']",['C02225'],['LMFA01050442'],['YNOXCRMFGMSKIJ-NFNCENRGSA-K'],HMDB0000379
2mop,['2-Methyl-3-oxopropanoate'],"['2mop_c', '2mop[c]', 'mmalsa__R', 'mmalsa_R_c', '2mop', '2mop_m', '2mop[m]']",['HMDB01172'],['C00349'],['LMFA01060193'],['VOKUMXABRRXHAR-UHFFFAOYSA-M'],HMDB0001172
2mp2coa,['2-Methylprop-2-enoyl-CoA'],"['2mp2coa_c', '2mp2coa', '2mp2coa_m', '2mp2coa[m]']",['HMDB01011'],['C03460'],['LMFA07050350'],['NPALUEYCDZWBOV-NDZSKPAWSA-J'],HMDB0001011
2obut,['2-Oxobutanoate'],"['2obut_e', '2obut_c', '_2obut_p', '2obut[e]', '2obut_m', '2obut[c]', '_2obut_c', '2obut_h', '2obut[m]', '2obut', '_2obut_e']","['HMDB06544', 'HMDB00005']",['C00109'],['LMFA01060002'],['TYEYBOSBBBHJIV-UHFFFAOYSA-M'],HMDB0000005
2oxoadp,['2 Oxoadipate C6H6O5'],"['2oxoadp[c]', '2oxoadp_c', '2oxoadp[e]', '2oxoadp', '2oxoadp_m', '2oxoadp[m]']",['HMDB00225'],['C00322'],['LMFA01170121'],['FGSBNBBHOZHUBO-UHFFFAOYSA-L'],HMDB0000225
2pg,['D-Glycerate 2-phosphate'],"['2pg_c', '2pg_e', '2pg_p', '2pg_h', '2pg_m', '2pg[c]', '2pg[e]', '2pg_f', '_2pg_c', '2pg']","['HMDB62707', 'HMDB03391', 'HMDB00362']",['C00631'],,['GXIURPTVHJPJLF-UWTATZPHSA-K'],HMDB0003391
2pglyc,['2-Phosphoglycolate'],"['2pglyc_x', '2pglyc_c', '2pglyc', '2pglyc_e', '2pglyc[c]', '2pglyc_h', '2pglyc_cx']","['HMDB60148', 'HMDB00816']",['C00988'],,['ASCFNMCAHFUBCO-UHFFFAOYSA-K'],HMDB0000816
34dhcinm,"['3,4-Dihydroxy-trans-cinnamate']","['34dhcinm_e', '34dhcinm_c', '34dhcinm_p', '34dhcinm', '34dhcinm[c]']","['HMDB03501', 'HMDB06494']","['C01197', 'C01481']",,['QAIPRVGONGVQAS-DUXPYHPUSA-M'],HMDB0003501
34dhmald,"['3,4-Dihydroxymandelaldehyde']","['34dhmald[m]', '34dhmald_c', '34dhmald_m', '34dhmald', '34dhmald[c]']","['HMDB04057', 'HMDB06242']",['C05577'],,['YUGMCLJIWGEKCK-UHFFFAOYSA-N'],HMDB0006242
34dhoxpeg,"['3,4-Dihydroxyphenylethyleneglycol']","['34dhoxpeg[e]', '34dhoxpeg_e', '34dhoxpeg_c', '34dhoxpeg[c]', '34dhoxpeg']","['HMDB00318', 'HMDB05870']",['C05576'],,['MTVWFVDWRVYDOR-UHFFFAOYSA-N'],HMDB0000318
34dhpac,"['3,4-Dihydroxyphenylacetaldehyde']","['34dhpac_p', '34dhpac', '34dhpac_e', '34dhpac_c', '34dhpac[c]']","['HMDB06256', 'HMDB06778', 'HMDB03791']",['C04043'],,['IADQVXRMSNIUEL-UHFFFAOYSA-N'],HMDB0003791
34dhpha,['3-4-Dihydroxyphenylacetate'],"['34dhpha[c]', '34dhpha[e]', '34dhpha_c', '34dhpha']",['HMDB01336'],['C01161'],,['CFFZDZCDUFSOFZ-UHFFFAOYSA-M'],HMDB0001336
34hpl,['3  4 Hydroxyphenyl lactate C9H9O4'],"['34hpl[c]', '34hpl_m', '34hpl[m]', '34hpl', '34hpl[e]']",['HMDB00755'],['C03672'],,['JVGVDSSUAVXRDY-UHFFFAOYSA-M'],HMDB0000755
34hpp,['3-(4-Hydroxyphenyl)pyruvate'],"['34hpp[c]', '34hpp_x', '_34hpp_c', '34hpp_m', '34hpp_h', '34hpp[e]', '34hpp_c', '34hpp[m]', '34hpp', '34hpp_e']",['HMDB00707'],['C01179'],,['KKADPXVIOXHVKN-UHFFFAOYSA-M'],HMDB0000707
35cgmp,"[""3',5'-Cyclic GMP""]","['35cgmp', '35cgmp_c', '35cgmp_g', '35cgmp[n]', '35cgmp[e]', '35cgmp_e', '35cgmp[g]', '35cgmp[c]', '35cgmp_n']",['HMDB01314'],['C00942'],,['ZOOGRGPOEVQQDX-UUOKFMHZSA-M'],HMDB0001314
3aib,['L-3-Amino-isobutanoate'],"['3aib[e]', '3aib[c]', '3aib_c', '3aib_m', '3aib[m]', '3aib', '3aib_e']",['HMDB02299'],['C01205'],['LMFA01100049'],['QCHPKSFMDHPSNR-GSVOUGTGSA-N'],HMDB0002299
3amp,['3  AMP C10H12N5O7P'],"['3amp_l', '3amp_e', '3amp[l]', '3amp_c', '3amp_p', '3amp']","['HMDB03540', 'HMDB06550']",['C01367'],,['LNQVTSROQXJCDD-KQYNXXCUSA-L'],HMDB0003540
3dhguln,['3-Dehydro-L-gulonate'],"['3dhguln_c', '3dhguln', '3dhguln[c]']",['HMDB06334'],['C00618'],,['WTAHRPBPWHCMHW-LWKDLAHASA-M'],HMDB0006334
3dsphgn,['3 Dehydrosphinganine C18H38NO2'],"['3dsphgn', '3dsphgn_r', '3dsphgn_c', '3dsphgn[c]']","['HMDB62571', 'HMDB01480']",['C02934'],['LMSP01020002'],['KBUNOSOGGAARKZ-KRWDZBQOSA-O'],HMDB0001480
