iter	Passed	Remaining
0	8	8962
1	17	8810
2	26	8707
3	34	8649
4	43	8602
5	51	8580
6	59	8392
7	67	8364
8	72	8022
9	78	7746
10	83	7524
11	89	7328
12	94	7170
13	99	7021
14	104	6885
15	110	6770
16	115	6673
17	120	6577
18	125	6486
19	130	6414
20	136	6347
21	141	6282
22	146	6234
23	152	6184
24	157	6131
25	162	6080
26	167	6036
27	172	5993
28	177	5955
29	182	5914
30	188	5882
31	193	5842
32	198	5808
33	203	5774
34	208	5748
35	213	5715
36	218	5686
37	223	5662
38	228	5638
39	234	5616
40	239	5593
41	244	5572
42	249	5548
43	254	5529
44	259	5506
45	264	5488
46	272	5518
47	280	5563
48	288	5602
49	296	5640
50	305	5679
51	313	5713
52	321	5745
53	329	5773
54	334	5752
55	339	5728
56	344	5706
57	349	5682
58	354	5660
59	360	5640
60	365	5620
61	370	5598
62	375	5578
63	380	5559
64	385	5540
65	390	5521
66	395	5503
67	400	5484
68	405	5466
69	410	5451
70	415	5431
71	420	5414
72	425	5399
73	430	5384
74	435	5369
75	440	5354
76	445	5337
77	450	5322
78	455	5306
79	460	5290
80	465	5276
81	470	5261
82	474	5247
83	479	5232
84	484	5217
85	489	5202
86	494	5189
87	499	5177
88	505	5169
89	510	5159
90	516	5155
91	520	5134
92	524	5113
93	528	5093
94	533	5083
95	539	5075
96	544	5066
97	549	5057
98	554	5048
99	560	5040
100	564	5025
101	568	5008
102	573	4991
103	577	4975
104	581	4960
105	586	4943
106	590	4927
107	594	4911
108	599	4896
109	603	4880
110	607	4866
111	611	4851
112	616	4838
113	620	4823
114	624	4808
115	628	4792
116	632	4777
117	637	4761
118	641	4746
119	645	4732
120	649	4717
121	653	4703
122	657	4689
123	661	4675
124	665	4661
125	669	4647
126	674	4633
127	678	4619
128	682	4605
129	686	4592
130	690	4578
131	694	4565
132	698	4552
133	702	4539
134	706	4527
135	710	4515
136	714	4503
137	719	4492
138	723	4479
139	727	4467
140	731	4455
141	735	4443
142	739	4431
143	743	4420
144	747	4409
145	751	4397
146	755	4385
147	759	4374
148	764	4363
149	768	4352
150	772	4341
151	776	4330
