,dataset_id,formula,adduct,neutral_loss,detectability
0,2022-01-03_12h04m13s,C10H12N2O,+Na,,True
1,2022-01-03_12h04m13s,C10H14N5O7P,+H,,True
2,2022-01-03_12h04m13s,C10H14N5O7P,+K,,True
3,2022-01-03_12h04m13s,C10H14N5O7P,+Na,,True
4,2022-01-03_12h04m13s,C10H17N3O6S,+H,,True
5,2022-01-03_12h04m13s,C10H17N3O6S,+K,,True
6,2022-01-03_12h04m13s,C10H17N3O6S,+Na,,True
7,2022-01-03_12h04m13s,C10H26N4,+H,,True
8,2022-01-03_12h04m13s,C10H26N4,+K,,True
9,2022-01-03_12h04m13s,C10H26N4,+Na,,True
10,2022-01-03_12h04m13s,C20H32N6O12S2,+K,,True
11,2022-01-03_12h04m13s,C20H32O2,+K,,True
12,2022-01-03_12h04m13s,C20H32O2,+Na,,True
13,2022-01-03_12h04m13s,C21H40O4,+H,,True
14,2022-01-03_12h04m13s,C21H40O4,+K,,True
15,2022-01-03_12h04m13s,C21H40O4,+Na,,True
16,2022-01-03_12h04m13s,C21H41O7P,+K,,True
17,2022-01-03_12h04m13s,C23H45NO4,+H,,True
18,2022-01-03_12h04m13s,C23H45NO4,+K,,True
19,2022-01-03_12h04m13s,C23H48NO7P,+H,,True
20,2022-01-03_12h04m13s,C27H44O,+H,,True
21,2022-01-03_12h04m13s,C2H7NO3S,+H,,True
22,2022-01-03_12h04m13s,C2H7NO3S,+K,,True
23,2022-01-03_12h04m13s,C2H7NO3S,+Na,,True
24,2022-01-03_12h04m13s,C37H71O8P,+K,,True
25,2022-01-03_12h04m13s,C37H71O8P,+Na,,True
26,2022-01-03_12h04m13s,C39H79N2O6P,+H,,True
27,2022-01-03_12h04m13s,C39H79N2O6P,+K,,True
28,2022-01-03_12h04m13s,C39H79N2O6P,+Na,,True
29,2022-01-03_12h04m13s,C3H7NO3,+H,,True
30,2022-01-03_12h04m13s,C3H8NO6P,+H,,True
31,2022-01-03_12h04m13s,C3H8NO6P,+K,,True
