,name_short,hmdb_primary,kegg_id
0,Glucose,HMDB0000122,C00221
1,Glucose 6-phosphate,HMDB0001401,C00092
2,"Fructose 1,6-bisphosphate",HMDB0001058,C05378
3,Dihydroxyacetone phosphate,HMDB0001473,C00111
4,3-Phosphoglyceric acid,HMDB0000807,C00597
5,Phosphoenolpyruvic acid,HMDB0000263,C00074
6,Pyruvic acid,HMDB0000243,C00022
7,Acetyl-CoA,HMDB0001206,C00024
8,Lactic acid,HMDB0000190,C00186
9,6-Phosphogluconic acid,HMDB0001316,C00345
10,Ribulose 5-phosphate,HMDB0000618,C00199
11,Ribose 5-phosphate,HMDB0001548,C03736
12,Dihydroxyacetone,HMDB0001882,C00184
13,Gluconic acid,HMDB0000625,C00257
14,Ribulose,HMDB0003371,C00508
15,Citric acid,HMDB0000094,C00158
16,cis-Aconitic acid,HMDB0000072,C00417
17,2-Oxoglutaric acid,HMDB0000208,C00026
18,Succinic acid,HMDB0000254,C00042
19,Fumaric acid,HMDB0000134,C00122
20,Malic acid,HMDB0000156,C00149
21,Oxalacetic acid,HMDB0000223,C00036
22,Uridine diphosphate glucose,HMDB0000286,C00029
23,Uridine diphosphate glucuronic acid,HMDB0000935,C00167
24,Glucosamine 6-phosphate,HMDB0001254,C00352
25,N-Acetylgalactosamine 6-phosphate,HMDB0006480,C06376
26,Uridine diphosphate-N-acetylglucosamine,HMDB0000290,C00043
27,N-Acetylglucosamine,HMDB0000215,C00140
28,myo-Inositol,HMDB0000211,C00137
29,Ascorbic acid,HMDB0000044,C01041
30,Myo-inositol 1-phosphate,HMDB0000213,C01177
31,Palmitic acid,HMDB0000220,C00249
32,Mevalonic acid,HMDB0000227,C00418
33,Cholesterol,HMDB0000067,C00187
34,Malonic acid,HMDB0000691,C04025
35,3-Hydroxymethylglutaric acid,HMDB0000355,C03761
36,Palmitoyl-CoA,HMDB0001338,C00154
37,Carnitine,HMDB0000062,C00318
38,Cholic acid,HMDB0000619,C00695
39,Glycine,HMDB0000123,C00037
40,Taurocholic acid,HMDB0000036,C05122
41,Estradiol,HMDB0000151,C00951
42,Asparagine,HMDB0000168,C00152
43,Aspartic acid,HMDB0000191,C00049
44,N-Acetylaspartic acid,HMDB0000812,C01042
45,Glutamine,HMDB0000641,C00064
46,Glutamic acid,HMDB0000148,C00025
47,N-Acetylaspartylglutamic acid,HMDB0001067,C12270
48,gamma-Aminobutyric acid,HMDB0000112,C00334
49,Phenylalanine,HMDB0000159,C00079
50,Tyrosine,HMDB0000158,C00082
51,L-Dopa,HMDB0000181,C00355
52,Dopamine,HMDB0000073,C03758
53,Epinephrine,HMDB0000068,C00788
54,Acetoacetic acid,HMDB0000060,C00164
55,Histidine,HMDB0000177,C00135
56,Carnosine,HMDB0000033,C00386
57,Urocanic acid,HMDB0000301,C00785
58,Histamine,HMDB0000870,C00388
59,Arginine,HMDB0000517,C00062
60,Citrulline,HMDB0000904,C00327
61,Argininosuccinic acid,HMDB0000052,C03406
62,Ornithine,HMDB0000214,C00077
63,Carbamoyl phosphate,HMDB0001096,C00169
64,Proline,HMDB0000162,C00148
65,4-Hydroxyproline,HMDB0000725,C01157
66,Putrescine,HMDB0001414,C00134
67,Spermidine,HMDB0001257,C00315
68,Spermine,HMDB0001256,C00750
69,Creatine,HMDB0000064,C00300
70,Creatinine,HMDB0000562,C00791
71,Agmatine,HMDB0001432,C00179
72,Folic acid,HMDB0000121,C00504
73,Tetrahydrofolic acid,HMDB0001846,C00101
74,Methionine,HMDB0000696,C00073
75,Cystine,HMDB0000192,C00491
76,Oxidized glutathione,HMDB0003337,C00127
77,Glutathione,HMDB0000125,C00051
78,Taurine,HMDB0000251,C00245
79,S-Adenosylmethionine,HMDB0001185,C00019
80,S-Adenosylhomocysteine,HMDB0000939,C00021
81,Homocysteine,HMDB0000742,C00155
82,Cysteine,HMDB0000574,C00097
83,"N6,N6,N6-Trimethyllysine",HMDB0001325,C03793
84,Valine,HMDB0000883,C00183
85,Pantothenic acid,HMDB0000210,C00864
86,Pantetheine,HMDB0003426,C00831
87,Coenzyme A,HMDB0001423,C00010
88,Serine,HMDB0000187,C00065
89,Tryptophan,HMDB0000929,C00078
90,Kynurenine,HMDB0000684,C00328
91,Kynurenic acid,HMDB0000715,C01717
92,3-Hydroxyanthranilic acid,HMDB0001476,C00632
93,Quinolinic acid,HMDB0000232,C03722
94,Nicotinamide adenine dinucleotide (NAD),HMDB0000902,C00003
95,"Nicotinamide adenine dinucleotide, reduced (NADH)",HMDB0001487,C00004
96,Niacinamide,HMDB0001406,C00153
97,Nicotinic acid,HMDB0001488,C00253
98,Serotonin,HMDB0000259,C00780
99,5-Hydroxyindoleacetic acid,HMDB0000763,C05635
100,Melatonin,HMDB0001389,C01598
101,Nicotinamide riboside,HMDB0000855,C03150
102,Nicotinamide ribotide,HMDB0000229,C00455
103,Hypoxanthine,HMDB0000157,C00262
104,Adenosine monophosphate,HMDB0000045,C00020
105,Adenine,HMDB0000034,C00147
106,Xanthine,HMDB0000292,C00385
107,Guanine,HMDB0000132,C00242
108,Adenosine diphosphate,HMDB0001341,C00008
109,Adenosine triphosphate,HMDB0000538,C00002
110,Cyclic adenosine monophosphate,HMDB0000058,C00575
111,Ureidosuccinic acid,HMDB0000828,C00438
112,"4,5-Dihydroorotic acid",HMDB0000528,C00337
113,Orotic acid,HMDB0000226,C00295
114,Uridine,HMDB0000296,C00299
115,Uracil,HMDB0000300,C00106
116,Thymine,HMDB0000262,C00178
117,Cytidine monophosphate,HMDB0000095,C00055
118,Cytidine,HMDB0000089,C00475
119,Cytosine,HMDB0000630,C00380
120,Uridine diphosphate,HMDB0000295,C00015
121,Choline,HMDB0000097,C00114
122,Acetylcholine,HMDB0000895,C01996
123,Thiamine,HMDB0000235,C00378
124,Riboflavin,HMDB0000244,C00255
125,Pyridoxine,HMDB0000239,C00314
126,Biotin,HMDB0000030,C00120
127,Cholecalciferol,HMDB0000876,C05443
128,alpha-tocopherol,HMDB0001893,C02477
129,Phylloquinone,HMDB0003555,C05850
130,Flavin mononucleotide,HMDB0001520,C00061
131,Flavin adenine dinucleotide,HMDB0001248,C00016
132,Phosphocreatine,HMDB0001511,C02305
133,Glycerophosphocholine,HMDB0000086,C00670
134,Propionylcarnitine,HMDB0000824,C03017
135,Acetylcarnitine,HMDB0000201,C02571
136,Phosphoserine,HMDB0000272,C01005
137,Uric acid,HMDB0000289,C00366
138,Cholesteryl acetate,HMDB0003822,C02530
139,Indole,HMDB0000738,C00463
140,Glucosamine,HMDB0001514,C00329
141,Butyric acid,HMDB0000039,C00246
142,Glycerol 3-phosphate,HMDB0000126,C00093
143,Retinoic acid,HMDB0001852,C00777
144,Arachidonic acid,HMDB0001043,C00219
145,PC 15:0-18:1,HMDB0007939,C00157
146,TG 15:0-18:1-15:0,HMDB0043250,C00422
147,MG 18:1,HMDB0011567,C01885
148,Glucosyl cholesterol,HMDB0010330,C03033
