dataset_name,dataset_id,matrix,polarity
02112020_VS_NH1_11-2A_treatment_att29_px45_109x168_DAN_neg Cloned ,2022-01-03_12h12m50s,DAN,neg
02112020_VS_NH1_18-1_control_att29_px45_96x91_DAN_neg Cloned ,2022-01-03_12h12m54s,DAN,neg
071119_Opt_CBO_Brain_maldi5_168x164p50_DAN_neg Cloned ,2022-01-21_11h29m55s,DAN,neg
20191022_Opt_Sanger_Brain_150sx75p_DHB_pos Cloned ,2022-01-21_11h29m53s,DHB,pos
2020-07-18_ME_Liver_Naive_DHB_Pos_120-1200_300x300_25umss Cloned ,2022-01-21_11h29m51s,DHB,pos
2020-07-19_ME_Liver_UV_DHB_Pos_120-1200_300x275_25umss_32at Cloned ,2022-01-21_11h29m50s,DHB,pos
2020-08-27_ME_X130L2_29at_25umss_420x240 Cloned ,2022-01-21_11h29m49s,DHB,pos
2020-08-28_ME_X190L4_29at_25umss_240x200 Cloned ,2022-01-21_11h29m48s,DHB,pos
2020-08-28_ME_X190L6_10um_29at_25umss_350x300 Cloned ,2022-01-21_11h29m45s,DHB,pos
2020-09-17_ME_X190_L1_15um_20umss_DHB_Pos_475x220_31at Cloned ,2022-01-21_11h29m42s,DHB,pos
2020-10-26_ME_L11_Slide9_210x360_20um_ss_31at Cloned ,2022-01-21_11h29m41s,DHB,pos
2020-10-26_ME_L5_Slide9_330x170_20um_ss_31at Cloned ,2022-01-21_11h29m40s,DHB,pos
2020-10-28_ME_L2_Slide9_230x300_20um_ss_31at Cloned ,2022-01-21_11h29m39s,DHB,pos
2020-10-28_ME_VS_NHI-11-2B_DHB_Pos_40um_ss_116x182_31AT_pos Cloned ,2022-01-03_12h04m13s,DHB,pos
2020-10-28_ME_VS_NHI-18-2_DHB_Pos_40um_ss_87x107_pos Cloned ,2022-01-03_12h12m47s,DHB,pos
2021-04-26_ME_X190L1-9_29at_25umss_310x190 Cloned ,2022-01-21_11h29m37s,DHB,pos
2021-04-27_ME_X190L3-9_29at_25umss_152x142 Cloned ,2022-01-21_11h29m36s,DHB,pos
2021-04-28_ME_X190L6-9_29at_25umss_240x217 Cloned ,2022-01-21_11h29m35s,DHB,pos
2021-04-29_ME_X190L8-8_29at_25umss_134x320_concat Cloned ,2022-01-21_11h29m34s,DHB,pos
2021-06-30_ME_X190L5-7_29at_20umss_250x200 Cloned ,2022-01-21_11h29m33s,DHB,pos
2021-07-03_ME_X190L6-8_29at_20umss_280x230 Cloned ,2022-01-21_11h29m31s,DHB,pos
26102018_CBO_SHA_brainDAN_p100_s80 Cloned ,2022-01-03_12h12m45s,DAN,neg
ZM6_long_B6female_epsilon_LI_DAN27repeat_s150 Cloned ,2022-01-03_12h13m12s,DAN,neg
ZM6_long_B6female_epsilon_LI_DHB26repeat_s160 Cloned ,2022-01-03_12h13m00s,DHB,pos
ZM6_long_B6female_epsilon_SI4_DHB26repeat_s150 Cloned ,2022-01-03_12h13m24s,DHB,pos
ZM6_long_B6female_epsilon_SI5_DAN27_s150 Cloned ,2022-01-03_12h13m33s,DAN,neg
ZM6_long_B6female_omega_LI_DAN27repeat_s150 Cloned ,2022-01-03_12h13m15s,DAN,neg
ZM6_long_B6female_omega_LI-repeat_DHB26repeat_s150 Cloned ,2022-01-03_12h13m03s,DHB,pos
ZM6_long_B6female_omega_SI4_DAN27_s150 Cloned ,2022-01-03_12h13m36s,DAN,neg
ZM6_long_B6female_omega_SI5_DHB26_s150 Cloned ,2022-01-03_12h13m27s,DHB,pos
ZM6_long_B6male_beta_LI3_DHB26_s150 Cloned ,2022-01-03_12h12m57s,DHB,pos
ZM6_long_B6male_beta_LI5_DAN27_s150 Cloned ,2022-01-03_12h13m09s,DAN,neg
ZM6_long_B6male_beta_SI6_DAN27_s150 Cloned ,2022-01-03_12h13m42s,DAN,neg
ZM6_long_B6male_beta_SI7_DHB26_s85 Cloned ,2022-01-03_12h13m21s,DHB,pos
ZM6_long_B6male_delta_LI_DAN27 Cloned ,2022-01-03_12h13m18s,DAN,neg
ZM6_long_B6male_delta_LI_DHB26 Cloned ,2022-01-03_12h13m06s,DHB,pos
ZM6_long_B6male_delta_SI4_DHB26_s85 Cloned ,2022-01-03_12h13m30s,DHB,pos
ZM6_long_B6male_delta_SI6_DAN27_s85 Cloned ,2022-01-03_12h13m38s,DAN,neg
