name_short,hmdb_primary,Sample,Concentration / uM
2-Oxoglutaric acid,HMDB0000208,Human serum,7.95
3-Hydroxyanthranilic acid,HMDB0001476,Human serum,0.079
3-Phosphoglyceric acid,HMDB0000807,Human serum,47.2
4-Hydroxyproline,HMDB0000725,Human serum,15.2
5-Hydroxyindoleacetic acid,HMDB0000763,Human serum,0.0516
Acetoacetic acid,HMDB0000060,Human serum,33.11666666666667
Acetylcarnitine,HMDB0000201,Human serum,6.398000000000001
Adenine,HMDB0000034,Human serum,0.47
Adenosine diphosphate,HMDB0001341,Human serum,160.0
Adenosine monophosphate,HMDB0000045,Human serum,19.075
Adenosine triphosphate,HMDB0000538,Human serum,2031.3333333333333
Arachidonic acid,HMDB0001043,Human serum,171.0598896551724
Arginine,HMDB0000517,Human serum,102.54714285714286
Ascorbic acid,HMDB0000044,Human serum,36.21988888888889
Asparagine,HMDB0000168,Human serum,49.675
Aspartic acid,HMDB0000191,Human serum,17.04
Biotin,HMDB0000030,Human serum,0.0018349999999999
Butyric acid,HMDB0000039,Human serum,1.0
CAR 16:0,HMDB0000222,Human serum,0.1143333333333333
Carnitine,HMDB0000062,Human serum,39.262857142857136
Carnosine,HMDB0000033,Human serum,6.54
Cer d8:1/22:0 Cer,HMDB0004952,Human serum,0.4682142857142857
Cholecalciferol,HMDB0000876,Human serum,0.03705
Cholesterol,HMDB0000067,Human serum,3942.181444444445
Cholesteryl ester 17:0,HMDB0060059,Human serum,32.0
Cholic acid,HMDB0000619,Human serum,0.72
Choline,HMDB0000097,Human serum,9.475
Citric acid,HMDB0000094,Human serum,128.625
Citrulline,HMDB0000904,Human serum,36.6
Creatine,HMDB0000064,Human serum,52.23368571428572
Creatinine,HMDB0000562,Human serum,78.90523076923077
Cyclic adenosine monophosphate,HMDB0000058,Human serum,0.0085
Cysteine,HMDB0000574,Human serum,74.465
Cystine,HMDB0000192,Human serum,101.18
Cytidine,HMDB0000089,Human serum,0.175
Cytosine,HMDB0000630,Human serum,6.4
DG 18:0-22:6,HMDB0007179,Human serum,0.254
Dihydroxyacetone phosphate,HMDB0001473,Human serum,15.6
Dihydroxyacetone phosphate,HMDB0001473,Human serum,15.6
Dopamine,HMDB0000073,Human serum,0.00013
Epinephrine,HMDB0000068,Human serum,0.0007375
Estradiol,HMDB0000151,Human serum,0.00011
Flavin adenine dinucleotide,HMDB0001248,Human serum,0.068
Flavin mononucleotide,HMDB0001520,Human serum,0.0079499999999999
Folic acid,HMDB0000121,Human serum,0.015
"Fructose 1,6-bisphosphate",HMDB0001058,Human serum,1.2
Fumaric acid,HMDB0000134,Human serum,1.5
Fumaric acid,HMDB0000134,Human serum,1.5
Fumaric acid,HMDB0000134,Human serum,1.5
Gluconic acid,HMDB0000625,Human serum,4.1475
Glucosamine,HMDB0001514,Human serum,0.29
Glucose,HMDB0000122,Human serum,4922.7532
Glucose 6-phosphate,HMDB0001401,Human serum,29.1
Glutamic acid,HMDB0000148,Human serum,61.14333333333333
Glutamine,HMDB0000641,Human serum,581.55
Glutathione,HMDB0000125,Human serum,213.5
Glycerol 3-phosphate,HMDB0000126,Human serum,30.0
Glycerophosphocholine,HMDB0000086,Human serum,33.0
Glycine,HMDB0000123,Human serum,265.4555555555555
Histamine,HMDB0000870,Human serum,0.00067
Histidine,HMDB0000177,Human serum,94.46454545454544
Homocysteine,HMDB0000742,Human serum,11.15775
Hypoxanthine,HMDB0000157,Human serum,7.199945454545454
Kynurenic acid,HMDB0000715,Human serum,1.7813333333333334
Kynurenine,HMDB0000684,Human serum,1.87
L-Dopa,HMDB0000181,Human serum,0.00723
Lactic acid,HMDB0000190,Human serum,1703.08
Lyso PC 15:0,HMDB0010381,Human serum,1.764
MG 18:1,HMDB0011567,Human serum,170.0
Malic acid,HMDB0000156,Human serum,7.6
Malonic acid,HMDB0000691,Human serum,8.592500000000001
Melatonin,HMDB0001389,Human serum,0.000111
Methionine,HMDB0000696,Human serum,27.860000000000003
Mevalonic acid,HMDB0000227,Human serum,0.0355
N-Acetylaspartylglutamic acid,HMDB0001067,Human serum,4.89
Niacinamide,HMDB0001406,Human serum,0.235
Nicotinamide adenine dinucleotide (NAD),HMDB0000902,Human serum,24.3
"Nicotinamide adenine dinucleotide, reduced (NADH)",HMDB0001487,Human serum,22.0
Nicotinic acid,HMDB0001488,Human serum,51.150000000000006
Ornithine,HMDB0000214,Human serum,70.6
Orotic acid,HMDB0000226,Human serum,2.921333333333333
Oxidized glutathione,HMDB0003337,Human serum,10.825
PA 16:0-18:1,HMDB0007859,Human serum,0.147
PG 16:0-18:1,HMDB0010574,Human serum,0.604
PI 16:0-18:1,HMDB0009783,Human serum,1.78
PS (POPS) 16:0-18:1,HMDB0012357,Human serum,0.186
Palmitic acid,HMDB0000220,Human serum,560.80556
Pantothenic acid,HMDB0000210,Human serum,3.885
Phenylalanine,HMDB0000159,Human serum,70.63846153846154
Phosphoenolpyruvic acid,HMDB0000263,Human serum,17.4
Phosphoserine,HMDB0000272,Human serum,17.0
Phylloquinone,HMDB0003555,Human serum,0.001535
Proline,HMDB0000162,Human serum,189.85
Propionylcarnitine,HMDB0000824,Human serum,0.3725
Prostaglandin E1,HMDB0001442,Human serum,6.790000000000001e-05
Putrescine,HMDB0001414,Human serum,0.168
Pyridoxine,HMDB0000239,Human serum,0.025
Pyruvic acid,HMDB0000243,Human serum,60.07142857142857
Quinolinic acid,HMDB0000232,Human serum,0.5345
Retinoic acid,HMDB0001852,Human serum,0.10725
Riboflavin,HMDB0000244,Human serum,0.2725
Ribose 5-phosphate,HMDB0001548,Human serum,13.2
Ribulose 5-phosphate,HMDB0000618,Human serum,1.58
SM d18:1-16:0,HMDB0010169,Human serum,97.7
Serine,HMDB0000187,Human serum,138.84
Serotonin,HMDB0000259,Human serum,0.7424999999999999
Spermidine,HMDB0001257,Human serum,6.28
Spermine,HMDB0001256,Human serum,5.0
Succinic acid,HMDB0000254,Human serum,16.099999999999998
Taurine,HMDB0000251,Human serum,88.8
Taurocholic acid,HMDB0000036,Human serum,0.38
Tetrahydrofolic acid,HMDB0001846,Human serum,0.0025
Thiamine,HMDB0000235,Human serum,0.108
Tryptophan,HMDB0000929,Human serum,60.57625
Tyrosine,HMDB0000158,Human serum,79.25
Uracil,HMDB0000300,Human serum,1.135
Uric acid,HMDB0000289,Human serum,321.8279166666667
Uridine,HMDB0000296,Human serum,8.367
Uridine diphosphate,HMDB0000295,Human serum,41.0
Uridine diphosphate glucose,HMDB0000286,Human serum,155.0
Urocanic acid,HMDB0000301,Human serum,0.43
Urocanic acid,HMDB0000301,Human serum,0.43
Valine,HMDB0000883,Human serum,234.42
Xanthine,HMDB0000292,Human serum,24.141
alpha-tocopherol,HMDB0001893,Human serum,29.002569512195123
gamma-Aminobutyric acid,HMDB0000112,Human serum,0.11
myo-Inositol,HMDB0000211,Human serum,29.9312
2-Oxoglutaric acid,HMDB0000208,Human cell line (HeLa),1250.4074353333333
3-Phosphoglyceric acid,HMDB0000807,Human cell line (HeLa),242.44940613333333
"4,5-Dihydroorotic acid",HMDB0000528,Human cell line (HeLa),2.0742494563333334
Acetyl-CoA,HMDB0001206,Human cell line (HeLa),18.28106108333333
Acetylcarnitine,HMDB0000201,Human cell line (HeLa),25.293332726666662
Adenine,HMDB0000034,Human cell line (HeLa),62.251440773333336
Adenosine diphosphate,HMDB0001341,Human cell line (HeLa),140.18070016666664
Adenosine monophosphate,HMDB0000045,Human cell line (HeLa),23.202793966666665
Adenosine triphosphate,HMDB0000538,Human cell line (HeLa),4641.093283333334
Arginine,HMDB0000517,Human cell line (HeLa),185.81792946666667
Argininosuccinic acid,HMDB0000052,Human cell line (HeLa),20.80929469333333
Asparagine,HMDB0000168,Human cell line (HeLa),144.5275129
Aspartic acid,HMDB0000191,Human cell line (HeLa),6218.973246999999
Carnitine,HMDB0000062,Human cell line (HeLa),192.0589298333333
Carnosine,HMDB0000033,Human cell line (HeLa),1.906738717
Choline,HMDB0000097,Human cell line (HeLa),41.95994152333333
Citric acid,HMDB0000094,Human cell line (HeLa),1329.1000636666668
