internal_id,name,name_short,name_shortest,hmdb_primary,kegg_id
0,D-Glucose,Glucose,glucose,HMDB0000122,C00221
1,D-Glucose 6-phosphate sodium salt,Glucose 6-phosphate,G6P,HMDB0001401,C00092
3,"D-Fructose 1,6-bisphosphate trisodium salt octahydrate","Fructose 1,6-bisphosphate","F1,6BP",HMDB0001058,C05378
4,Dihydroxyacetone phosphate dilithium salt,Dihydroxyacetone phosphate,DHAP,HMDB0001473,C00111
7,D-3-Phosphoglyceric acid disodium salt,3-Phosphoglyceric acid,3-PG,HMDB0000807,C00597
9,Phosphoenolpyruvic acid potassium salt,Phosphoenolpyruvic acid,PEP,HMDB0000263,C00074
10,Pyruvic acid,Pyruvic acid,pyruvate,HMDB0000243,C00022
11,Acetyl-CoA trisodium salt,Acetyl-CoA,acetyl-CoA,HMDB0001206,C00024
12,L-Lactic acid sodium salt,Lactic acid,lactate,HMDB0000190,C00186
14,6-Phosphogluconic acid trisodium salt,6-Phosphogluconic acid,6-phosphogluconate,HMDB0001316,C00345
15,D-Ribulose 5-phosphate disodium salt,Ribulose 5-phosphate,ribulose-5-phosphate,HMDB0000618,C00199
16,D-Ribose 5-phosphate disodium salt hydrate,Ribose 5-phosphate,ribose-5-phosphate,HMDB0001548,C03736
17,Dihydroxyacetone,Dihydroxyacetone,dihydroxyacetone,HMDB0001882,C00184
20,Gluconic acid sodium salt,Gluconic acid,gluconate,HMDB0000625,C00257
21,L-Ribulose,Ribulose,ribulose,HMDB0003371,C00508
22,Citric acid,Citric acid,citrate,HMDB0000094,C00158
24,cis-Aconitic acid,cis-Aconitic acid,cis-aconitate,HMDB0000072,C00417
26,2-Oxoglutaric acid,2-Oxoglutaric acid,alpha-Ketoglutarate,HMDB0000208,C00026
28,Succinic acid,Succinic acid,succinate,HMDB0000254,C00042
29,Fumaric acid,Fumaric acid,fumarate,HMDB0000134,C00122
30,L-Malic acid,Malic acid,malate,HMDB0000156,C00149
31,Oxalacetic acid,Oxalacetic acid,OAA,HMDB0000223,C00036
33,Uridine diphosphate alpha-D-glucose disodium salt,Uridine diphosphate glucose,UDP-glucose,HMDB0000286,C00029
34,Uridine 5'-diphosphoglucuronic acid trisodium salt,Uridine diphosphate glucuronic acid,UDP-glucuronate,HMDB0000935,C00167
35,D-Glucosamine 6-phosphate,Glucosamine 6-phosphate,glucosamine-6-phosphate,HMDB0001254,C00352
36,N-Acetyl-D-galactosamine 6-phosphate,N-Acetylgalactosamine 6-phosphate,GalNAc-phosphate,HMDB0006480,C06376
38,Uridine 5'-diphospho-N-acetylglucosamine disodium salt,Uridine diphosphate-N-acetylglucosamine,UDP-GlcNAc,HMDB0000290,C00043
39,N-Acetyl-D-glucosamine,N-Acetylglucosamine,GlcNAc,HMDB0000215,C00140
40,myo-Inositol,myo-Inositol,myo-inositol,HMDB0000211,C00137
41,Ascorbic acid,Ascorbic acid,vitamin C,HMDB0000044,C01041
42,Myo-inositol 1-phosphate dipotassium salt,Myo-inositol 1-phosphate,myo-inositol phosphate,HMDB0000213,C01177
46,Palmitic acid,Palmitic acid,palmitate,HMDB0000220,C00249
50,(R)-Mevalonic acid lithium salt,Mevalonic acid,mevalonate,HMDB0000227,C00418
51,Cholesterol,Cholesterol,cholesterol,HMDB0000067,C00187
53,Malonic acid disodium salt,Malonic acid,malonate,HMDB0000691,C04025
54,3-Hydroxy-3-methylglutaric acid,3-Hydroxymethylglutaric acid,3-hydroxymethylglutarate,HMDB0000355,C03761
55,Palmitoyl-CoA triammonium salt,Palmitoyl-CoA,palmitoyl-CoA,HMDB0001338,C00154
56,L-Carnitine,Carnitine,carnitine,HMDB0000062,C00318
58,Cholic acid,Cholic acid,cholate,HMDB0000619,C00695
59,Glycine,Glycine,glycine,HMDB0000123,C00037
60,Taurocholic acid sodium salt,Taurocholic acid,taurocholate,HMDB0000036,C05122
61,Estradiol,Estradiol,estradiol,HMDB0000151,C00951
67,L-Asparagine,Asparagine,Asn,HMDB0000168,C00152
68,L-Aspartic acid,Aspartic acid,Asp,HMDB0000191,C00049
69,N-Acetyl-L-aspartic acid,N-Acetylaspartic acid,NAA,HMDB0000812,C01042
70,L-Glutamine,Glutamine,Gln,HMDB0000641,C00064
71,L-Glutamic acid,Glutamic acid,Glu,HMDB0000148,C00025
72,N-Acetylaspartylglutamic acid,N-Acetylaspartylglutamic acid,NAAG,HMDB0001067,C12270
73,gamma-Aminobutyric acid,gamma-Aminobutyric acid,GABA,HMDB0000112,C00334
74,L-Phenylalanine,Phenylalanine,Phe,HMDB0000159,C00079
75,L-Tyrosine,Tyrosine,Tyr,HMDB0000158,C00082
76,L-Dihydroxyphenylalanine,L-Dopa,DOPA,HMDB0000181,C00355
77,Dopamine hydrochloride,Dopamine,dopamine,HMDB0000073,C03758
79,Epinephrine,Epinephrine,adrenaline,HMDB0000068,C00788
83,Acetoacetic acid lithium salt,Acetoacetic acid,acetoacetate,HMDB0000060,C00164
84,L-Histidine,Histidine,His,HMDB0000177,C00135
85,L-Carnosine,Carnosine,carnosine,HMDB0000033,C00386
86,trans-Urocanic acid,Urocanic acid,urocanate,HMDB0000301,C00785
89,Histamine dihydrochloride,Histamine,histamine,HMDB0000870,C00388
90,L-Arginine,Arginine,Arg,HMDB0000517,C00062
91,L-Citrulline,Citrulline,citrulline,HMDB0000904,C00327
92,Argininosuccinic acid lithium salt,Argininosuccinic acid,argininosuccinate,HMDB0000052,C03406
93,Ornithine hydrochloride,Ornithine,ornithine,HMDB0000214,C00077
95,Carbamoyl phosphate dilithium salt hydrate,Carbamoyl phosphate,carbamoyl phosphate,HMDB0001096,C00169
97,L-Proline,Proline,Pro,HMDB0000162,C00148
98,L-4-Hydroxyproline,4-Hydroxyproline,hydroxyproline,HMDB0000725,C01157
99,Putrescine dihydrochloride,Putrescine,putrescine,HMDB0001414,C00134
100,Spermidine,Spermidine,spermidine,HMDB0001257,C00315
101,Spermine tetrahydrochloride,Spermine,spermine,HMDB0001256,C00750
103,Creatine anhydrous,Creatine,creatine,HMDB0000064,C00300
105,Creatinine,Creatinine,creatinine,HMDB0000562,C00791
106,Agmatine sulfate,Agmatine,agmatine,HMDB0001432,C00179
107,Folic acid,Folic acid,"folic acid, vitamin B9",HMDB0000121,C00504
108,5-Methyltetrahydrofolic acid disodium salt,Tetrahydrofolic acid,tetrahydrofolate,HMDB0001846,C00101
110,L-Methionine,Methionine,Met,HMDB0000696,C00073
111,L-Cystine,Cystine,Cys-Cys,HMDB0000192,C00491
113,L-glutathione oxidised,Oxidized glutathione,GSSG,HMDB0003337,C00127
114,L-Glutathione reduced,Glutathione,GSH,HMDB0000125,C00051
117,Taurine,Taurine,taurine,HMDB0000251,C00245
119,S-(5'-Adenosyl)-L-methionine p-toluenesulfonate salt,S-Adenosylmethionine,SAM,HMDB0001185,C00019
120,S-(5'-Adenosyl)-L-homocysteine,S-Adenosylhomocysteine,SAH,HMDB0000939,C00021
121,Homocysteine,Homocysteine,homocysteine,HMDB0000742,C00155
123,L-Cysteine,Cysteine,Cys,HMDB0000574,C00097
125,"N6,N6,N6-Trimethyl-L-lysine hydrochloride","N6,N6,N6-Trimethyllysine",trimethyllysine,HMDB0001325,C03793
129,L-Valine,Valine,Val,HMDB0000883,C00183
132,Pantothenic acid sodium salt,Pantothenic acid,"panthothenic acid, vitamin B5",HMDB0000210,C00864
136,(R)-Pantetheine,Pantetheine,pantetheine,HMDB0003426,C00831
138,Coenzyme A,Coenzyme A,CoA,HMDB0001423,C00010
141,L-Serine,Serine,Ser,HMDB0000187,C00065
148,L-Tryptophan,Tryptophan,Trp,HMDB0000929,C00078
150,Kynurenine,Kynurenine,kynurenine,HMDB0000684,C00328
151,Kynurenic acid,Kynurenic acid,kynurenic acid,HMDB0000715,C01717
154,3-Hydroxyanthranilic acid,3-Hydroxyanthranilic acid,hydroxyanthralinic acid,HMDB0001476,C00632
