name_short,hmdb_primary,concentration_value,concentration_units,pubmed_id,measured_value,normal_range_min,normal_range_max
Glucose,HMDB0000122,4860 (4670-5190),uM,28754454,4860.0,4670.0,5190.0
Glucose,HMDB0000122,5000 +/- 600,uM,8603770,5000.0,,
Glucose,HMDB0000122,5350.0 +/- 120.0,uM,16384844,5350.0,,
Glucose,HMDB0000122,5400.0 (4700.0 - 6100.0),uM,11463495,5400.0,4700.0,6100.0
Glucose,HMDB0000122,<5994.808,uM,7477119,5994.808,,
Glucose,HMDB0000122,5181.0 +/- 394.0,uM,15272912,5181.0,,
Glucose,HMDB0000122,4500 +/- 1000,uM,8603770,4500.0,,
Glucose,HMDB0000122,4894.19(1723.06),uM,26010610,4894.19,,
Glucose,HMDB0000122,4000.0-6000.0,uM,,,4000.0,6000.0
Glucose,HMDB0000122,5300.0 (4900.0 - 5700.0),uM,10218738,5300.0,4900.0,5700.0
Glucose,HMDB0000122,4440.0 +/- 370.0,uM,,4440.0,,
Glucose,HMDB0000122,4570.0 +/- 411.0,uM,,4570.0,,
Glucose,HMDB0000122,4470.0 +/- 346.0,uM,,4470.0,,
Glucose,HMDB0000122,4971.3 +/- 372.8,uM,21359215,4971.3,,
Glucose,HMDB0000122,4440.0 +/- 100.0,uM,16540841,4440.0,,
Glucose,HMDB0000122,4470.0 +/- 110.0,uM,16540841,4470.0,,
Glucose 6-phosphate,HMDB0001401,29.1 +/- 6.8,uM,,29.1,,
"Fructose 1,6-bisphosphate",HMDB0001058,1.2 +/- 0.4,uM,,1.2,,
Dihydroxyacetone phosphate,HMDB0001473,15.6 +/- 4.56,uM,12881455,15.6,,
3-Phosphoglyceric acid,HMDB0000807,47.2 +/- 7.4,uM,,47.2,,
Phosphoenolpyruvic acid,HMDB0000263,17.4 +/- 3.8,uM,,17.4,,
Pyruvic acid,HMDB0000243,34.5 +/- 25.2,uM,21359215,34.5,,
Pyruvic acid,HMDB0000243,64 (22-258),uM,688619,64.0,22.0,258.0
Pyruvic acid,HMDB0000243,63.0 +/- 25.0,uM,,63.0,,
Pyruvic acid,HMDB0000243,22.00-258.0,uM,688619,,22.0,258.0
Pyruvic acid,HMDB0000243,64 (28-145),uM,688619,64.0,28.0,145.0
Pyruvic acid,HMDB0000243,64 (29-144),uM,688619,64.0,29.0,144.0
Pyruvic acid,HMDB0000243,67 (27-164),uM,688619,67.0,27.0,164.0
Pyruvic acid,HMDB0000243,64 (29-144),uM,688619,64.0,29.0,144.0
Lactic acid,HMDB0000190,740.0 +/- 2400.0,uM,,740.0,,
Lactic acid,HMDB0000190,1510.0 (740.0-2400.0),uM,,1510.0,740.0,2400.0
Lactic acid,HMDB0000190,<1800,uM,17562939,1800.0,,
Lactic acid,HMDB0000190,2976.0 +/- 1555.0,uM,2709665,2976.0,,
Lactic acid,HMDB0000190,740.00-2400.0,uM,,,740.0,2400.0
Lactic acid,HMDB0000190,1489.4 +/- 371.2,uM,21359215,1489.4,,
Ribulose 5-phosphate,HMDB0000618,1.58 +/- 1.31,uM,12881455,1.58,,
Ribose 5-phosphate,HMDB0001548,13.2 +/- 4.8,uM,,13.2,,
Gluconic acid,HMDB0000625,<5,uM,21359215,5.0,,
Gluconic acid,HMDB0000625,3.295 +/- 0.534,uM,24713860,3.295,,
Citric acid,HMDB0000094,190.0 (30.0-400.0),uM,8412012,190.0,30.0,400.0
