name_short,hmdb_primary,Human serum
2-Oxoglutaric acid,HMDB0000208,7.95
3-Hydroxyanthranilic acid,HMDB0001476,0.079
3-Phosphoglyceric acid,HMDB0000807,47.2
4-Hydroxyproline,HMDB0000725,15.2
5-Hydroxyindoleacetic acid,HMDB0000763,0.0516
Acetoacetic acid,HMDB0000060,33.11666666666667
Acetylcarnitine,HMDB0000201,6.398000000000001
Adenine,HMDB0000034,0.47
Adenosine diphosphate,HMDB0001341,160.0
Adenosine monophosphate,HMDB0000045,19.075
Adenosine triphosphate,HMDB0000538,2031.3333333333333
Arachidonic acid,HMDB0001043,171.0598896551724
Arginine,HMDB0000517,102.54714285714286
Ascorbic acid,HMDB0000044,36.21988888888889
Asparagine,HMDB0000168,49.675
Aspartic acid,HMDB0000191,17.04
Biotin,HMDB0000030,0.0018349999999999998
Butyric acid,HMDB0000039,1.0
CAR 16:0,HMDB0000222,0.11433333333333333
Carnitine,HMDB0000062,39.262857142857136
Carnosine,HMDB0000033,6.54
Cer d8:1/22:0 Cer,HMDB0004952,0.4682142857142857
Cholecalciferol,HMDB0000876,0.03705
Cholesterol,HMDB0000067,3942.1814444444444
Cholesteryl ester 17:0,HMDB0060059,32.0
Cholic acid,HMDB0000619,0.72
Choline,HMDB0000097,9.475
Citric acid,HMDB0000094,128.625
Citrulline,HMDB0000904,36.6
Creatine,HMDB0000064,52.23368571428572
Creatinine,HMDB0000562,78.90523076923077
Cyclic adenosine monophosphate,HMDB0000058,0.0085
Cysteine,HMDB0000574,74.465
Cystine,HMDB0000192,101.17999999999999
Cytidine,HMDB0000089,0.175
Cytosine,HMDB0000630,6.4
DG 18:0-22:6,HMDB0007179,0.254
Dihydroxyacetone phosphate,HMDB0001473,15.6
Dopamine,HMDB0000073,0.00013
Epinephrine,HMDB0000068,0.0007375
Estradiol,HMDB0000151,0.00011
Flavin adenine dinucleotide,HMDB0001248,0.068
Flavin mononucleotide,HMDB0001520,0.007949999999999999
Folic acid,HMDB0000121,0.015
"Fructose 1,6-bisphosphate",HMDB0001058,1.2
Fumaric acid,HMDB0000134,1.5
Gluconic acid,HMDB0000625,4.1475
Glucosamine,HMDB0001514,0.29
Glucose,HMDB0000122,4922.7532
Glucose 6-phosphate,HMDB0001401,29.1
Glutamic acid,HMDB0000148,61.14333333333333
Glutamine,HMDB0000641,581.55
Glutathione,HMDB0000125,213.5
Glycerol 3-phosphate,HMDB0000126,30.0
Glycerophosphocholine,HMDB0000086,33.0
Glycine,HMDB0000123,265.4555555555555
Histamine,HMDB0000870,0.00067
Histidine,HMDB0000177,94.46454545454544
Homocysteine,HMDB0000742,11.15775
Hypoxanthine,HMDB0000157,7.199945454545454
Kynurenic acid,HMDB0000715,1.7813333333333334
Kynurenine,HMDB0000684,1.8699999999999999
L-Dopa,HMDB0000181,0.00723
Lactic acid,HMDB0000190,1703.08
Lyso PC 15:0,HMDB0010381,1.764
MG 18:1,HMDB0011567,170.0
Malic acid,HMDB0000156,7.6
Malonic acid,HMDB0000691,8.592500000000001
Melatonin,HMDB0001389,0.000111
Methionine,HMDB0000696,27.860000000000003
Mevalonic acid,HMDB0000227,0.0355
N-Acetylaspartylglutamic acid,HMDB0001067,4.89
Niacinamide,HMDB0001406,0.235
Nicotinamide adenine dinucleotide (NAD),HMDB0000902,24.3
"Nicotinamide adenine dinucleotide, reduced (NADH)",HMDB0001487,22.0
Nicotinic acid,HMDB0001488,51.150000000000006
Ornithine,HMDB0000214,70.6
Orotic acid,HMDB0000226,2.921333333333333
Oxidized glutathione,HMDB0003337,10.825000000000001
PA 16:0-18:1,HMDB0007859,0.147
PG 16:0-18:1,HMDB0010574,0.604
PI 16:0-18:1,HMDB0009783,1.78
PS (POPS) 16:0-18:1,HMDB0012357,0.186
Palmitic acid,HMDB0000220,560.80556
Pantothenic acid,HMDB0000210,3.885
Phenylalanine,HMDB0000159,70.63846153846154
Phosphoenolpyruvic acid,HMDB0000263,17.4
Phosphoserine,HMDB0000272,17.0
Phylloquinone,HMDB0003555,0.001535
Proline,HMDB0000162,189.85
Propionylcarnitine,HMDB0000824,0.3725
Prostaglandin E1,HMDB0001442,6.790000000000001e-05
Putrescine,HMDB0001414,0.168
Pyridoxine,HMDB0000239,0.025
Pyruvic acid,HMDB0000243,60.07142857142857
Quinolinic acid,HMDB0000232,0.5345
Retinoic acid,HMDB0001852,0.10725000000000001
Riboflavin,HMDB0000244,0.2725
Ribose 5-phosphate,HMDB0001548,13.2
Ribulose 5-phosphate,HMDB0000618,1.58
SM d18:1-16:0,HMDB0010169,97.7
Serine,HMDB0000187,138.84
Serotonin,HMDB0000259,0.7424999999999999
Spermidine,HMDB0001257,6.28
Spermine,HMDB0001256,5.0
Succinic acid,HMDB0000254,16.099999999999998
Taurine,HMDB0000251,88.8
Taurocholic acid,HMDB0000036,0.38
Tetrahydrofolic acid,HMDB0001846,0.0025
Thiamine,HMDB0000235,0.108
Tryptophan,HMDB0000929,60.57625
Tyrosine,HMDB0000158,79.25
Uracil,HMDB0000300,1.135
Uric acid,HMDB0000289,321.8279166666667
Uridine,HMDB0000296,8.367
Uridine diphosphate,HMDB0000295,41.0
Uridine diphosphate glucose,HMDB0000286,155.0
Urocanic acid,HMDB0000301,0.43
Valine,HMDB0000883,234.42
Xanthine,HMDB0000292,24.141000000000002
alpha-tocopherol,HMDB0001893,29.002569512195123
gamma-Aminobutyric acid,HMDB0000112,0.11
myo-Inositol,HMDB0000211,29.9312
