accession,name,concentration_value,concentration_units,pubmed_id,measured_value,normal_range_min,normal_range_max
HMDB0000001,1-Methylhistidine,7.7 +/- 1.9,uM,7061274,7.7,,
HMDB0000001,1-Methylhistidine,14.4 +/- 2.3,uM,7061274,14.4,,
HMDB0000001,1-Methylhistidine,19.6 +/- 2.6,uM,7061274,19.6,,
HMDB0000001,1-Methylhistidine,12.7 +/- 2.9,uM,7061274,12.7,,
HMDB0000001,1-Methylhistidine,20.2 +/- 4.0,uM,7061274,20.2,,
HMDB0000001,1-Methylhistidine,4.0 +/- 8.0,uM,,4.0,,
HMDB0000002,"1,3-Diaminopropane",0.04 +/- 0.03,uM,17668437,0.04,,
HMDB0000005,2-Ketobutyric acid,3.33 +/- 5.00,uM,3918815,3.33,,
HMDB0000005,2-Ketobutyric acid,9.4 (3.4-15.4),uM,9869358,9.4,3.4,15.4
HMDB0000008,2-Hydroxybutyric acid,8.00-80.0,uM,,,8.0,80.0
HMDB0000008,2-Hydroxybutyric acid,26.9(32.92),uM,26010610,26.9,,
HMDB0000008,2-Hydroxybutyric acid,8.00-80.0,uM,8412012,,8.0,80.0
HMDB0000008,2-Hydroxybutyric acid,54.0 (8.0-80.0),uM,8412012,54.0,8.0,80.0
HMDB0000011,3-Hydroxybutyric acid,60.0 +/- 20.0,uM,16540841,60.0,,
HMDB0000011,3-Hydroxybutyric acid,40.0 +/- 10.0,uM,16540841,40.0,,
HMDB0000011,3-Hydroxybutyric acid,323.0 +/- 29.0,uM,16253646,323.0,,
HMDB0000011,3-Hydroxybutyric acid,36 +/- 20,uM,415828,36.0,,
HMDB0000011,3-Hydroxybutyric acid,86 +/- 53,uM,1220702,86.0,,
HMDB0000011,3-Hydroxybutyric acid,38 +/- 31,uM,5032673,38.0,,
HMDB0000011,3-Hydroxybutyric acid,50.0 (0.0-100.0),uM,16384844,50.0,0.0,100.0
HMDB0000011,3-Hydroxybutyric acid,46.5 +/- 10.1,uM,25004141,46.5,,
HMDB0000011,3-Hydroxybutyric acid,100.0 +/- 90.0,uM,9802754,100.0,,
HMDB0000011,3-Hydroxybutyric acid,36.0 (13.0-95.0),uM,,36.0,13.0,95.0
HMDB0000011,3-Hydroxybutyric acid,64.88(60.4),uM,26010610,64.88,,
HMDB0000011,3-Hydroxybutyric acid,10.60-143.2,uM,21359215,,10.6,143.2
HMDB0000011,3-Hydroxybutyric acid,76.9 +/- 66.3,uM,21359215,76.9,,
HMDB0000011,3-Hydroxybutyric acid,180.0 (22.0-700.0),uM,8412012,180.0,22.0,700.0
HMDB0000012,Deoxyuridine,<0.1,uM,20151198,0.1,,
HMDB0000012,Deoxyuridine,0.052 (0.049-0.056),uM,15866500,0.052,0.049,0.056
HMDB0000012,Deoxyuridine,0.200 (0.100-0.300),uM,6656991,0.2,0.1,0.3
HMDB0000012,Deoxyuridine,0.6 +/- 0.6,uM,7877593,0.6,,
HMDB0000014,Deoxycytidine,0.2 (0.0-0.5),uM,3243806,0.2,0.0,0.5
HMDB0000015,Cortexolone,0.0039 +/- 0.0004,uM,8890720,0.0039,,
HMDB0000016,Deoxycorticosterone,0.073 (0.034-0.11),uM,12119960,0.073,0.034,0.11
HMDB0000016,Deoxycorticosterone,0.00009-0.000999,uM,26161337,,9e-05,0.000999
HMDB0000017,4-Pyridoxic acid,0.027 (0.0062-3.14),uM,15450810,0.027,0.0062,3.14
HMDB0000017,4-Pyridoxic acid,0.040 +/- 0.007,uM,,0.04,,
HMDB0000017,4-Pyridoxic acid,0.0071 +/- 0.005,uM,11068702,0.0071,,
HMDB0000017,4-Pyridoxic acid,0.0097 +/- 0.00665,uM,11068702,0.0097,,
HMDB0000019,alpha-Ketoisovaleric acid,11.0 +/- 1.7,uM,,11.0,,
HMDB0000020,p-Hydroxyphenylacetic acid,6.346 +/- 0.518,uM,19812218,6.346,,
HMDB0000020,p-Hydroxyphenylacetic acid,6.695 +/- 0.555,uM,19812218,6.695,,
HMDB0000020,p-Hydroxyphenylacetic acid,6.387 +/- 0.586,uM,19812218,6.387,,
HMDB0000020,p-Hydroxyphenylacetic acid,7.911 +/- 1,uM,19812218,7.911,,
HMDB0000020,p-Hydroxyphenylacetic acid,6.5 +/- 0.432,uM,19812218,6.5,,
HMDB0000020,p-Hydroxyphenylacetic acid,6.661 +/- 0.692,uM,19812218,6.661,,
HMDB0000020,p-Hydroxyphenylacetic acid,5.791 +/- 0.609,uM,19812218,5.791,,
HMDB0000020,p-Hydroxyphenylacetic acid,42.412 +/- 35.919,uM,19812218,42.412,,
HMDB0000020,p-Hydroxyphenylacetic acid,0.230 (0.070-0.390),uM,,0.23,0.07,0.39
HMDB0000021,Iodotyrosine,0.00069 +/- 0.00020,uM,2225717,0.00069,,
HMDB0000022,3-Methoxytyramine,0.0025 (0.0016-0.0029),uM,,0.0025,0.0016,0.0029
HMDB0000023,(S)-3-Hydroxyisobutyric acid,21.0 +/- 2.0,uM,2614280,21.0,,
HMDB0000027,Tetrahydrobiopterin,0.0110 +/- 0.0008,uM,10636262,0.011,,
HMDB0000027,Tetrahydrobiopterin,0.0093 +/- 0.0005,uM,17726257,0.0093,,
HMDB0000030,Biotin,0.0024 (0.0008 - 0.0041),uM,,0.0024,0.0008,0.0041
HMDB0000030,Biotin,0.11-0.13,uM,,,0.11,0.13
HMDB0000030,Biotin,0.00127 +/- 0.00067,uM,1814646,0.00127,,
HMDB0000031,Androsterone,0.00065 (0.00053-0.00088),uM,17716701,0.00065,0.00053,0.00088
HMDB0000031,Androsterone,0.12 +/- 0.014,uM,10625505,0.12,,
HMDB0000032,7-Dehydrocholesterol,5.0 +/- 2.2,uM,11590227,5.0,,
HMDB0000033,Carnosine,0.00-0.10,uM,,,0.0,0.1
HMDB0000033,Carnosine,6.54 +/- 1.0,uM,17031479,6.54,,
HMDB0000034,Adenine,0.3 +/-  0.1,uM,6656991,0.3,,
HMDB0000034,Adenine,0.64 +/- 0.15,uM,,0.64,,
HMDB0000036,Taurocholic acid,0.38 +/- 0.20,uM,,0.38,,
HMDB0000037,Aldosterone,0.000026 (0.000008 - 0.000044),uM,,2.6e-05,8e-06,4.4e-05
HMDB0000037,Aldosterone,0.00011 (0.000055 -  0.002),uM,15901525,0.00011,5.5e-05,0.002
HMDB0000037,Aldosterone,0.000263 +/- 0.000014,uM,11532681,0.000263,,
HMDB0000037,Aldosterone,0.000055 - 0.000500,uM,,,5.5e-05,0.0005
HMDB0000038,Dihydrobiopterin,0.006 +/- 0.0003,uM,12032193,0.006,,
HMDB0000039,Butyric acid,1.0 (0.3- 1.5),uM,,1.0,0.3,1.5
HMDB0000042,Acetic acid,30.4 (22.0-40.0),uM,,30.4,22.0,40.0
HMDB0000042,Acetic acid,69.14(30.49),uM,26010610,69.14,,
HMDB0000042,Acetic acid,26.8-64.2,uM,21359215,,26.8,64.2
HMDB0000042,Acetic acid,41.9 +/- 15.1,uM,21359215,41.9,,
HMDB0000043,Betaine,26-67,uM,15024124,,26.0,67.0
HMDB0000043,Betaine,20-285,uM,10102904,,20.0,285.0
HMDB0000043,Betaine,33.6 (23.9-42.1),uM,11380830,33.6,23.9,42.1
HMDB0000043,Betaine,82.0 (20.0-144.0),uM,9732980,82.0,20.0,144.0
