Dataset ID,Total annotations,Reference metabolites
2024-06-06_19h26m13s,65,18
2024-06-06_19h22m09s,55,15
2024-06-06_19h16m21s,64,17
2024-06-06_19h08m24s,83,18
2024-06-06_19h03m38s,64,18
2024-06-06_19h01m37s,99,21
2024-06-06_18h57m58s,46,12
2024-06-06_18h45m39s,51,15
2024-06-06_18h40m58s,77,19
2024-06-06_18h32m13s,77,19
2024-05-31_22h42m36s,64,17
2024-05-31_22h41m24s,68,18
2024-05-31_22h41m08s,102,28
2024-05-31_22h40m44s,79,20
2024-05-31_22h39m50s,73,18
2024-05-31_22h40m24s,87,21
2024-05-31_22h29m10s,83,22
2024-05-31_22h27m41s,74,17
2024-05-31_22h27m37s,133,31
2024-05-31_22h23m22s,84,19
2024-05-31_22h19m54s,72,18
2024-05-31_22h18m55s,94,22
2024-05-31_22h16m12s,35,11
2024-05-31_22h10m03s,127,33
2024-05-31_22h12m50s,42,13
2024-05-31_22h09m08s,87,27
2024-05-29_16h40m54s,13,2
2024-05-29_14h58m42s,42,7
2024-05-27_15h13m55s,63,3
2024-05-27_15h13m40s,93,9
2024-05-27_14h43m20s,80,6
2024-05-27_14h12m27s,92,16
2024-05-27_11h57m01s,116,4
2024-05-27_13h59m50s,92,4
2024-05-21_09h58m18s,22,1
2024-05-21_09h58m12s,5,0
2024-05-20_21h16m28s,40,13
2024-05-20_20h55m15s,90,18
2024-05-20_20h59m54s,56,14
2024-05-20_20h53m05s,53,16
2024-05-20_20h52m07s,78,19
2024-05-20_20h48m12s,75,18
2024-05-20_20h47m22s,95,21
2024-05-20_20h45m00s,102,22
2024-05-20_20h43m57s,75,17
2024-05-20_20h42m15s,67,15
2024-05-20_20h41m13s,81,18
2024-05-20_20h36m32s,75,17
2024-05-20_20h32m20s,95,20
2024-05-20_20h33m35s,83,17
2024-05-16_12h19m30s,6,0
2020-07-10_23h06m21s,138,7
2024-05-07_16h05m23s,249,6
2024-05-02_17h21m34s,11,1
2024-04-30_10h38m37s,9,0
2024-04-29_22h55m50s,143,5
2024-04-29_22h55m03s,106,4
2024-04-29_22h51m54s,88,4
2024-04-29_22h51m32s,93,4
2024-04-29_22h52m48s,57,2
2024-04-29_22h50m59s,100,5
2024-04-29_22h48m23s,116,3
2024-04-29_22h47m13s,130,4
2024-04-29_22h46m33s,116,4
2024-04-29_22h43m26s,125,5
2024-04-29_22h42m13s,166,13
2024-04-29_22h42m28s,145,12
2024-04-29_22h41m14s,200,15
2024-04-29_22h40m50s,152,11
2024-04-29_22h34m10s,167,14
2024-04-29_22h39m17s,160,14
2024-04-29_22h33m20s,143,11
2024-04-29_22h32m19s,174,13
2024-04-29_22h32m58s,174,13
2024-04-29_22h29m52s,87,3
2024-04-29_22h30m37s,157,12
2024-04-29_22h29m21s,70,4
2024-04-29_22h29m04s,78,3
2024-04-29_22h29m35s,70,3
2024-04-29_22h27m33s,88,5
2024-04-29_22h26m52s,112,5
2024-04-29_22h27m12s,94,5
2024-04-29_22h28m12s,97,5
2024-04-29_22h26m36s,77,4
2024-04-26_14h59m58s,6,0
2024-04-25_08h47m13s,16,1
2024-04-25_07h49m19s,8,0
2024-04-25_08h36m27s,6,0
2024-04-25_01h40m47s,120,11
2024-04-25_01h40m41s,133,12
2024-04-25_01h40m07s,139,13
2024-04-25_01h39m15s,118,11
2024-04-25_01h39m44s,152,14
2024-04-25_01h38m16s,135,12
2024-04-25_01h37m08s,145,14
2024-04-25_01h35m41s,162,14
2024-04-25_01h36m24s,157,13
2024-04-25_01h35m02s,153,14
2024-04-25_01h34m16s,126,11
2024-04-25_01h34m32s,104,9
2024-04-25_01h20m03s,113,9
2024-04-25_01h19m34s,117,11
2024-04-25_01h19m02s,54,2
2024-04-25_01h15m52s,55,2
2024-04-25_01h15m29s,44,2
2024-04-25_01h14m47s,45,2
2024-04-25_01h13m53s,96,4
2024-04-25_01h11m55s,65,3
2024-04-25_01h11m25s,113,4
2024-04-25_01h10m59s,116,4
2024-04-25_01h10m15s,51,2
2024-04-25_01h10m33s,44,2
2024-04-25_01h09m25s,51,2
2024-04-25_01h09m56s,45,2
2024-04-25_01h06m41s,127,5
2024-04-25_01h06m17s,105,4
2024-04-25_01h07m07s,85,4
2024-04-25_01h08m17s,50,2
2024-04-25_01h04m51s,47,3
2024-04-25_01h05m55s,52,3
2024-04-25_01h05m18s,60,3
2024-04-25_01h03m19s,55,3
2024-04-25_01h02m39s,83,4
2024-04-25_01h03m03s,52,3
2024-04-25_01h01m59s,66,3
2024-04-25_00h56m23s,45,3
2024-04-25_00h55m32s,143,9
2024-04-25_00h55m22s,149,9
2024-04-25_00h55m09s,146,9
2024-04-25_00h54m36s,127,9
2024-04-25_00h53m43s,143,9
2024-04-25_00h53m16s,123,9
2024-04-25_00h54m03s,146,9
2024-04-25_00h54m19s,152,13
2024-04-25_00h52m15s,129,9
2024-04-25_00h51m41s,133,10
2024-04-25_00h52m45s,151,9
2024-04-25_00h51m26s,159,10
2024-04-25_00h48m53s,141,9
2024-04-25_00h49m57s,162,10
2024-04-25_00h49m24s,151,10
2024-04-25_00h50m21s,145,10
2024-04-25_00h46m31s,162,10
2024-04-25_00h46m01s,136,9
2024-04-25_00h45m33s,138,9
2024-04-25_00h46m13s,134,9
2024-04-25_00h42m32s,81,3
2024-04-25_00h41m02s,78,5
2024-04-25_00h45m18s,135,9
2024-04-25_00h43m17s,136,9
2024-04-25_00h39m40s,49,2
2024-04-25_00h40m15s,51,2
2024-04-25_00h39m00s,59,2
2024-04-25_00h37m39s,51,2
2024-04-17_15h30m27s,22,1
2024-04-12_13h07m30s,328,13
2024-04-12_12h00m00s,489,21
2024-04-12_11h54m39s,384,19
2024-04-12_11h48m00s,280,14
2024-04-12_10h06m04s,10,0
2024-04-12_10h02m39s,28,2
2024-04-12_10h02m46s,17,0
2024-04-12_09h58m46s,10,0
2024-04-12_09h03m46s,23,0
2024-04-12_08h55m06s,45,1
2024-04-12_08h49m30s,418,20
2024-04-12_08h55m13s,23,0
2024-04-12_08h53m57s,77,2
2024-04-12_08h36m18s,235,12
2024-04-12_08h32m53s,258,16
2024-04-12_08h23m52s,446,22
2024-04-12_07h58m55s,400,22
2024-04-10_18h49m34s,111,16
2024-04-10_18h37m47s,319,33
2024-04-10_18h36m11s,274,32
2024-04-10_18h35m23s,238,29
2024-04-10_18h33m02s,243,30
2024-04-10_18h32m21s,127,18
2024-04-10_18h31m51s,194,23
2024-04-10_18h29m55s,205,28
2024-04-10_18h26m43s,170,21
2024-04-10_18h24m30s,247,35
2024-04-10_18h20m52s,158,29
2024-04-10_18h10m55s,212,27
2024-04-10_18h09m46s,218,28
2024-04-10_18h04m26s,99,18
2024-04-10_18h04m12s,141,24
2024-04-10_17h56m17s,14,4
2024-04-10_17h56m06s,19,6
2024-04-10_17h47m22s,43,12
2024-04-10_17h06m19s,116,17
2024-04-04_23h53m54s,10,2
2024-04-03_10h09m53s,117,16
2024-04-03_09h59m47s,78,13
2024-04-03_10h07m28s,106,18
2024-04-03_09h50m50s,135,19
2024-04-03_01h17m03s,29,7
2024-04-02_18h48m50s,114,10
2024-04-02_18h45m20s,124,10
2024-04-02_06h20m48s,172,12
2024-02-27_17h29m40s,15,1
2024-03-21_17h15m07s,5,0
2024-03-21_17h13m08s,8,0
2024-03-19_17h08m03s,9,0
2024-03-15_18h17m52s,75,19
2024-03-15_18h17m07s,98,23
2024-03-01_17h53m59s,15,0
2024-03-13_22h48m05s,38,11
2024-03-13_22h43m49s,27,8
2024-03-13_22h41m10s,11,2
2024-03-13_22h36m52s,72,20
2024-03-13_22h31m24s,25,8
2024-03-13_22h21m21s,9,2
2024-03-12_17h57m30s,75,20
2024-03-12_17h49m11s,41,10
2024-03-11_16h53m05s,14,0
2024-03-11_10h53m57s,14,0
2024-03-07_09h25m45s,17,3
2024-02-20_01h54m01s,7,0
2024-03-01_01h50m28s,102,4
2024-02-29_15h19m51s,6,0
2024-02-29_13h56m24s,13,0
2024-02-29_14h05m31s,7,0
2024-02-29_14h35m49s,9,0
2024-02-29_14h11m21s,12,0
2024-02-28_03h45m28s,86,4
2024-02-21_07h54m20s,58,2
2024-02-21_07h52m31s,59,2
2024-02-21_07h50m59s,58,6
2024-02-21_07h51m52s,38,2
2024-02-21_07h50m30s,102,7
2024-02-21_07h47m06s,24,2
2024-02-20_01h54m41s,6,0
2024-02-20_01h49m35s,7,0
2024-02-19_05h43m55s,5,0
2024-02-19_04h23m32s,5,0
2024-02-15_23h57m39s,75,23
2024-02-15_23h49m27s,114,27
2024-02-15_23h44m05s,77,22
2024-02-15_23h42m14s,85,23
2024-02-15_23h39m51s,155,32
2024-02-15_23h34m11s,84,24
2024-02-15_23h30m14s,105,26
2024-02-15_23h21m47s,70,20
2024-02-15_23h19m17s,100,25
2024-02-15_23h14m31s,92,23
2024-02-15_23h08m26s,124,26
2024-02-15_23h06m43s,79,21
2024-02-15_23h05m29s,68,19
2024-02-15_23h04m36s,83,21
2024-02-15_22h43m28s,105,23
2024-02-15_22h35m32s,90,21
2024-02-15_22h39m22s,117,25
2024-02-15_22h33m01s,113,25
2024-02-15_22h32m22s,84,22
2024-02-15_22h30m57s,68,20
2024-02-15_22h06m56s,104,26
2024-02-15_22h02m12s,82,23
2024-02-15_21h59m00s,108,25
2024-02-15_22h00m15s,86,22
2023-08-11_01h46m25s,27,2
2023-08-11_01h56m50s,27,2
2023-06-06_03h30m21s,178,29
2023-06-06_03h19m16s,100,25
2023-06-06_03h30m59s,119,25
2023-11-22_10h40m34s,164,9
2024-02-05_18h47m45s,191,12
2024-02-05_18h46m05s,201,12
2024-01-29_19h29m15s,127,5
2024-01-29_19h26m21s,118,4
2024-01-26_21h50m38s,8,5
2024-01-26_23h52m33s,17,2
2024-01-26_21h13m34s,5,3
2024-01-25_07h24m55s,156,15
2024-01-25_07h23m51s,144,11
2024-01-25_07h23m29s,150,11
2024-01-25_07h22m42s,159,15
2024-01-25_07h22m17s,165,15
2024-01-25_07h22m02s,154,15
2024-01-25_07h21m27s,156,13
2024-01-25_07h21m00s,141,12
2024-01-25_07h20m37s,124,13
2024-01-25_07h20m16s,124,11
2024-01-25_07h19m55s,121,13
2024-01-25_07h19m03s,150,6
2024-01-25_07h18m35s,142,6
2024-01-25_07h17m49s,110,4
2024-01-25_07h17m16s,135,4
2024-01-25_07h16m49s,110,3
2024-01-25_07h16m26s,123,4
2024-01-25_07h15m49s,150,5
2024-01-25_07h15m11s,98,5
2024-01-19_23h35m04s,17,0
2024-01-16_21h50m01s,32,7
2024-01-16_21h28m13s,46,9
2023-12-31_02h30m46s,149,31
2023-12-19_16h58m52s,7,3
2023-12-19_19h05m40s,108,24
2023-12-19_19h06m09s,89,20
2023-12-19_19h04m45s,84,20
2023-12-19_19h06m50s,49,13
2023-12-14_20h13m46s,64,2
2023-12-14_20h13m39s,68,3
2023-12-14_20h12m42s,72,3
2023-12-14_20h13m29s,69,2
2023-12-14_03h07m05s,48,2
2023-12-14_03h06m22s,136,5
2023-12-14_03h05m48s,103,4
2023-12-14_03h04m20s,86,3
2023-12-13_20h35m06s,179,14
2023-12-13_00h10m28s,183,16
2023-12-12_23h14m36s,138,11
2023-12-12_23h13m40s,152,13
2023-12-12_23h14m18s,141,12
2023-12-12_23h14m03s,143,12
2023-12-12_22h46m52s,28,1
2023-12-12_23h12m49s,157,13
2023-12-12_23h13m05s,162,13
2023-12-12_23h12m12s,141,12
2023-12-12_22h44m56s,73,4
