Category,Unique Value,Keep
Organism,Mus musculus (mouse),
Organism_Part,Brain,
Condition,unknown,
Sample_Growth_Conditions,undefined,
Sample_Stabilisation,Fresh frozen,
Tissue_Modification,None,
MALDI_Matrix,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),
MALDI_Matrix_Application,HTX M5 Sprayer,
Analyzer,timsTOF fleX,
Additional_Information,,
Organism,Homo sapiens (human),
Organism_Part,Kidney Cortex,
Condition,N/A,
Sample_Growth_Conditions,,
Sample_Stabilisation,Flash Frozen,
Tissue_Modification,N/A,
MALDI_Matrix,"1,5-diaminonaphthalene (DAN)+HCl",
MALDI_Matrix_Application,HTX M3+ Sprayer,
Analyzer,Orbitrap,
Tissue_Modification,chemical modification,FALSE
MALDI_Matrix,none,
MALDI_Matrix_Application,none,
Organism,Glycine max (soybean),FALSE
Organism_Part,Lateral root,FALSE
Condition,Wildtype,
MALDI_Matrix,DHNBA,FALSE
MALDI_Matrix_Application,HIT MatrixPrep,
Organism_Part,Root nodule,FALSE
Organism,Mouse,
Condition,Diseased,
Sample_Growth_Conditions,Caged,
Tissue_Modification,Frozen,
MALDI_Matrix,alpha-cyano-4-hydroxycinnamic acid (CHCA),
MALDI_Matrix_Application,TM sprayer,
Analyzer,TOF reflector,
Organism_Part,Seed,FALSE
Organism_Part,Primary root,FALSE
Organism,Wood_4APEBA,FALSE
Organism_Part,Wood_fungal,FALSE
Sample_Stabilisation,Dry,
Tissue_Modification,none,
MALDI_Matrix,4-APEBA,FALSE
MALDI_Matrix_Application,HTX,
Analyzer,12 T FTICR,
Organism,Wood_low mass,FALSE
MALDI_Matrix,"2,5-dihydroxybenzoic acid (DHB)",
Organism,Wood_high mass,FALSE
Organism_Part,Lung,
Condition,CODEX was performed,
Sample_Stabilisation,FFPE,FALSE
Tissue_Modification,CODEX,
MALDI_Matrix,CHCA,
Analyzer,FTICR,
Additional_Information,"biopsy_18-162-2

",
Organism,Drosophila melanogaster,FALSE
Organism_Part,Head,
Sample_Stabilisation,N/A,
MALDI_Matrix,"1,5-diaminonaphthalene (DAN)",
MALDI_Matrix_Application,TM Sprayer,
Sample_Stabilisation,None,
Analyzer,TOF,
Organism_Part,Testis,
Analyzer,7 T FTICR,
Organism_Part,Liver,
MALDI_Matrix,Ice,
Organism_Part,Whole embryo,
Sample_Growth_Conditions,N/A,
Sample_Stabilisation,fresh frozen,
MALDI_Matrix_Application,HTX TM sprayer,
Organism_Part,Sciatic nerve,
Organism_Part,Major part of liver tissue,
Sample_Stabilisation,Freshly harvested livers were knifed in 1.7cm×1.7cm square and completely immersed into Leica cryo-gel embedding medium.,
Tissue_Modification,Samples were hold by the frozen (-80°C) section O.C.T embedding mould.,FALSE
Organism,Rat,
Sample_Stabilisation,Frozen,
Condition,Alzheimer disease model,
Sample_Growth_Conditions,Treatment,
Organism_Part,Kidney,
Organism,pennycress,FALSE
Organism_Part,root,FALSE
Condition,drought,
Sample_Stabilisation,HPMC/PVP,
Condition,control,
Condition,Control,
MALDI_Matrix,"2,5-dihydroxyacetophenone (DHAP)",
Organism,Wood,FALSE
Organism,Poplar,FALSE
Organism_Part,Wood,FALSE
Condition,Wood,FALSE
Sample_Stabilisation,Wood,FALSE
Organism,poplar,FALSE
Organism_Part,rhizosphere,FALSE
Condition,etted_AAO_Pt_24hrs,FALSE
Tissue_Modification,4-APEBA,FALSE
Condition,unwetted_AAO_Pt_3hr,FALSE
Condition,5th GTTP membrane,FALSE
Condition,3rd GTTP membrane,FALSE
Analyzer,7T FTICR,
Condition,4th GTTP membrane,FALSE
Condition,2nd GTTP membrane,FALSE
Condition,1st GTTP membrane,FALSE
Condition,prewetted,
Organism,Tomato,FALSE
Organism_Part,Root,FALSE
Organism,Rattus norvegicus (rat),
Condition,unwetted,
Organism,Baboon,FALSE
Condition,FFPE,
Tissue_Modification,PNGase F,FALSE
Analyzer,FTICR scimaX 7T,
Condition,biopsy,
Condition,wetted,
Condition,blank AAO,FALSE
Condition,Healthy,
Sample_Growth_Conditions,decellularized,
