Category,Unique Value,Keep
Organism,Mus musculus (mouse),
Organism_Part,Brain,
Condition,unknown,
Sample_Growth_Conditions,undefined,
Sample_Stabilisation,Fresh frozen,
Tissue_Modification,None,
MALDI_Matrix,n-(1-naphthyl)ethylenediamine dihydrochloride (NEDC),
MALDI_Matrix_Application,HTX M5 Sprayer,
Analyzer,timsTOF fleX,
Additional_Information,,
Organism,Homo sapiens (human),
Organism_Part,Kidney Cortex,
Condition,N/A,
Sample_Growth_Conditions,,
Sample_Stabilisation,Flash Frozen,
Tissue_Modification,N/A,
MALDI_Matrix,"1,5-diaminonaphthalene (DAN)+HCl",
MALDI_Matrix_Application,HTX M3+ Sprayer,
Analyzer,Orbitrap,
Tissue_Modification,chemical modification,
MALDI_Matrix,none,
MALDI_Matrix_Application,none,
Organism,Glycine max (soybean),
Organism_Part,Lateral root,
Condition,Wildtype,
MALDI_Matrix,DHNBA,
MALDI_Matrix_Application,HIT MatrixPrep,
Organism_Part,Root nodule,
Organism,Mouse,
Condition,Diseased,
Sample_Growth_Conditions,Caged,
Tissue_Modification,Frozen,
MALDI_Matrix,alpha-cyano-4-hydroxycinnamic acid (CHCA),
MALDI_Matrix_Application,TM sprayer,
Analyzer,TOF reflector,
Organism_Part,Seed,
Organism_Part,Primary root,
Organism,Wood_4APEBA,
Organism_Part,Wood_fungal,
Sample_Stabilisation,Dry,
Tissue_Modification,none,
MALDI_Matrix,4-APEBA,
MALDI_Matrix_Application,HTX,
Analyzer,12 T FTICR,
Organism,Wood_low mass,
MALDI_Matrix,"2,5-dihydroxybenzoic acid (DHB)",
Organism,Wood_high mass,
Organism_Part,Lung,
Condition,CODEX was performed,
Sample_Stabilisation,FFPE,
Tissue_Modification,CODEX,
MALDI_Matrix,CHCA,
Analyzer,FTICR,
Additional_Information,"biopsy_18-162-2

",
Organism,Drosophila melanogaster,
Organism_Part,Head,
Sample_Stabilisation,N/A,
MALDI_Matrix,"1,5-diaminonaphthalene (DAN)",
MALDI_Matrix_Application,TM Sprayer,
Sample_Stabilisation,None,
Analyzer,TOF,
Organism_Part,Testis,
Analyzer,7 T FTICR,
Organism_Part,Liver,
MALDI_Matrix,Ice,
Organism_Part,Whole embryo,
Sample_Growth_Conditions,N/A,
Sample_Stabilisation,fresh frozen,
MALDI_Matrix_Application,HTX TM sprayer,
Organism_Part,Sciatic nerve,
Organism_Part,Major part of liver tissue,
Sample_Stabilisation,Freshly harvested livers were knifed in 1.7cm×1.7cm square and completely immersed into Leica cryo-gel embedding medium.,
Tissue_Modification,Samples were hold by the frozen (-80°C) section O.C.T embedding mould.,
Organism,Rat,
Sample_Stabilisation,Frozen,
Condition,Alzheimer disease model,
Sample_Growth_Conditions,Treatment,
Organism_Part,Kidney,
Organism,pennycress,
Organism_Part,root,
Condition,drought,
Sample_Stabilisation,HPMC/PVP,
Condition,control,
Condition,Control,
MALDI_Matrix,"2,5-dihydroxyacetophenone (DHAP)",
Organism,Wood,
Organism,Poplar,
Organism_Part,Wood,
Condition,Wood,
Sample_Stabilisation,Wood,
Organism,poplar,
Organism_Part,rhizosphere,
Condition,etted_AAO_Pt_24hrs,
Tissue_Modification,4-APEBA,
Condition,unwetted_AAO_Pt_3hr,
Condition,5th GTTP membrane,
Condition,3rd GTTP membrane,
Analyzer,7T FTICR,
Condition,4th GTTP membrane,
Condition,2nd GTTP membrane,
Condition,1st GTTP membrane,
Condition,prewetted,
Organism,Tomato,
Organism_Part,Root,
Organism,Rattus norvegicus (rat),
Condition,unwetted,
Organism,Baboon,
Condition,FFPE,
Tissue_Modification,PNGase F,
Analyzer,FTICR scimaX 7T,
Condition,biopsy,
Condition,wetted,
Condition,blank AAO,
Condition,Healthy,
Sample_Growth_Conditions,decellularized,
Sample_Growth_Conditions,d075-rll-10b2-4,
Organism,Homo sapiens (human) | Mus musculus (mouse),
Organism_Part,Gut,
MALDI_Matrix_Application,prototype sprayer,
Condition,rhizobx,
Sample_Stabilisation,PETE membrane,
Analyzer,12 t fticr,
Organism_Part,spleen,
