ds_id,range_min,range_max
2024-06-06_19h26m13s,70.00103759765625,699.7496948242188
2024-06-06_19h22m09s,70.00099182128906,699.6680908203125
2024-06-06_19h16m21s,70.0009765625,699.5008544921875
2024-06-06_19h08m24s,70.00102996826172,699.7117919921875
2024-06-06_19h03m38s,70.00099182128906,699.9598999023438
2024-06-06_19h01m37s,70.0009994506836,699.5003662109375
2024-06-06_18h57m58s,70.00104522705078,699.5004272460938
2024-06-06_18h45m39s,70.00103759765625,699.4998779296875
2024-06-06_18h40m58s,70.00098419189453,699.5004272460938
2024-06-06_18h32m13s,70.00098419189453,699.5004272460938
2024-06-04_17h00m06s,100.0,2000.0
2024-06-04_16h57m22s,100.0,2000.0
2024-05-31_22h42m36s,70.00086975097656,699.4990844726562
2024-05-31_22h41m24s,70.00100708007812,699.5479736328125
2024-05-31_22h41m08s,70.00150299072266,699.4982299804688
2024-05-31_22h40m44s,70.00091552734375,699.4983520507812
2024-05-31_22h39m50s,70.00089263916016,699.513916015625
2024-05-31_22h40m24s,70.0008773803711,699.657470703125
2024-05-31_22h29m10s,70.00081634521484,699.5018920898438
2024-05-31_22h27m41s,70.00116729736328,699.6629638671875
2024-05-31_22h27m37s,70.00086975097656,699.5156860351562
2024-05-31_22h23m22s,70.00102996826172,699.4987182617188
2024-05-31_22h19m54s,70.00094604492188,699.5167236328125
2024-05-31_22h18m55s,70.00098419189453,699.2341918945312
2024-05-31_22h16m12s,70.00100708007812,699.4994506835938
2024-05-31_22h10m03s,70.00386047363281,699.4978637695312
2024-05-31_22h12m50s,70.00111389160156,699.5003051757812
2024-05-31_22h09m08s,70.00123596191406,699.4996948242188
2024-05-29_16h40m54s,402.458351,1999.984046
2024-05-29_14h58m42s,300.0075,2500.0
2024-05-29_05h20m32s,104.348453,1199.953394
2024-05-27_15h13m55s,300.0015,2499.9875
2024-05-27_15h13m40s,300.0,2499.9875
2024-05-27_14h32m02s,300.0135,2499.9875
2024-05-27_14h43m20s,300.0,2499.950001
2024-05-27_14h12m27s,300.0,2499.9875
2024-05-27_11h57m01s,300.0,2499.9875
2024-05-27_13h59m50s,300.0,2499.9875
2024-05-23_03h48m49s,103.511776,1199.966655
2024-05-22_12h09m54s,300.0045,2499.9625
2024-05-21_09h58m18s,300.0,2500.0
2024-05-21_09h58m12s,300.0,2500.0
2024-05-20_21h16m28s,100.0013427734375,999.53369140625
2024-05-20_20h55m15s,100.00125885009766,999.54296875
2024-05-20_20h59m54s,100.00132751464844,999.3489990234375
2024-05-20_20h53m05s,100.00157165527344,999.565185546875
2024-05-20_20h52m07s,100.00196075439453,999.5603637695312
2024-05-20_20h48m12s,100.0013427734375,999.6774291992188
2024-05-20_20h47m22s,100.00176239013672,999.7044067382812
2024-05-20_20h45m00s,100.00153350830078,999.4947509765625
2024-05-20_20h43m57s,100.00142669677734,999.6982421875
2024-05-20_20h42m15s,100.00133514404297,999.6951293945312
2024-05-20_20h41m13s,100.0013198852539,999.7022705078125
2024-05-20_20h36m32s,100.0015869140625,999.7147216796875
2024-05-20_20h32m20s,100.00162506103516,999.7127685546875
2024-05-20_20h33m35s,100.00202941894531,999.5471801757812
2024-05-16_12h19m30s,300.0075,2500.0
2024-05-16_12h26m42s,402.467503,1999.992809
2020-07-10_23h06m21s,253.373143,1399.968981
2024-05-08_10h53m34s,299.9988708496094,1199.973876953125
2024-05-08_10h57m24s,300.000732421875,1199.97900390625
2024-05-07_16h05m23s,300.0030212402344,1199.9580078125
2024-05-01_17h50m07s,61.0809,987.4962
2024-05-02_17h21m34s,52.162,2365.3872
2024-04-30_10h38m37s,300.0075,2500.0
2024-04-19_10h20m28s,300.0075,2500.0
2024-04-30_09h42m06s,50.002373,999.980014
2024-04-29_22h55m50s,246.340693,1199.444458
2024-04-29_22h55m03s,246.340693,1199.436955
2024-04-29_22h51m54s,246.19044,1199.444458
2024-04-29_22h51m32s,246.528847,1199.857312
2024-04-29_22h52m48s,246.34101,1199.436955
2024-04-29_22h50m59s,246.190756,1199.444458
2024-04-29_22h48m23s,246.52853,1199.444458
2024-04-29_22h47m13s,246.52853,1199.444458
2024-04-29_22h46m33s,246.528847,1199.444458
2024-04-29_22h43m26s,246.34101,1199.857312
2024-04-29_22h42m13s,239.785763,1099.771155
2024-04-29_22h42m28s,239.815406,1099.765435
2024-04-29_22h41m14s,239.582,1099.771155
2024-04-29_22h40m50s,239.582271,1099.771155
2024-04-29_22h34m10s,239.581729,1099.765435
2024-04-29_22h39m17s,239.582,1099.765435
2024-04-29_22h33m20s,239.785763,1099.765435
2024-04-29_22h32m19s,239.815406,1099.771155
2024-04-29_22h32m58s,239.785763,1099.771155
2024-04-29_22h29m52s,246.190614,1199.443699
2024-04-29_22h30m37s,239.785763,1099.765435
2024-04-29_22h29m21s,246.52846,1199.443699
2024-04-29_22h29m04s,246.52873,1199.45009
2024-04-29_22h29m35s,246.52846,1199.456481
2024-04-29_22h27m33s,246.190345,1199.462873
2024-04-29_22h26m52s,246.190614,1199.443699
2024-04-29_22h27m12s,246.190614,1199.443699
2024-04-29_22h28m12s,246.190883,1199.808114
2024-04-29_22h26m36s,245.722454,1199.443699
2024-04-29_22h24m24s,245.719235,1199.443699
2024-04-29_22h23m10s,245.719235,1199.462873
2024-04-29_22h23m34s,246.52819,1199.456481
2024-04-26_14h59m58s,50.002375,999.98
2024-04-25_08h46m45s,300.0075,2500.0
2024-04-24_13h13m45s,4.995169,1500.040771
2024-04-25_08h47m13s,300.006,2500.0
2024-04-25_07h49m19s,300.009,2500.0
2024-04-25_08h36m27s,300.006,2500.0
2024-04-25_01h40m47s,239.921004,1099.298501
2024-04-25_01h40m41s,239.920713,1099.957274
2024-04-25_01h40m07s,240.25802,1099.957274
2024-04-25_01h39m15s,240.258311,1099.298501
2024-04-25_01h39m44s,240.258311,1099.938965
2024-04-25_01h38m16s,240.258311,1099.292405
2024-04-25_01h37m08s,240.25802,1099.945068
2024-04-25_01h35m41s,240.25802,1099.298501
2024-04-25_01h36m24s,240.25802,1099.957274
2024-04-25_01h35m02s,240.25802,1099.957274
2024-04-25_01h34m16s,239.920713,1099.957274
2024-04-25_01h34m32s,240.258311,1099.951171
2024-04-25_01h20m03s,240.258311,1099.951171
2024-04-25_01h19m34s,239.920713,1099.304597
2024-04-25_01h19m02s,245.694171,1198.968165
2024-04-25_01h15m52s,246.340572,1198.982097
2024-04-25_01h15m29s,246.190694,1198.989063
2024-04-25_01h14m47s,246.1904,1198.961199
2024-04-25_01h13m53s,245.721963,1198.975131
2024-04-25_01h11m55s,245.71933,1198.961199
2024-04-25_01h11m25s,245.873907,1198.996029
2024-04-25_01h10m59s,246.340572,1198.975131
2024-04-25_01h10m15s,246.340572,1199.651208
2024-04-25_01h10m33s,246.340278,1199.651208
2024-04-25_01h09m25s,246.340866,1199.651208
2024-04-25_01h09m56s,246.340572,1199.651208
2024-04-25_01h06m41s,245.722316,1198.940968
2024-04-25_01h06m17s,246.52835,1198.940968
2024-04-25_01h07m07s,245.719622,1198.982097
2024-04-25_01h08m17s,246.340572,1198.975131
