ds_id,range_min,range_max
2024-03-21_17h15m07s,1.86E+02,497
2021-06-08_00h55m20s,772,1.29E+03
2024-03-21_17h13m08s,112,452
2024-03-21_17h29m41s,1.12E+02,452
2023-11-01_11h33m19s,651,899.99475
2018-05-07_22h32m23s,350,1919
2016-12-15_12h22m49s,0,1499.589233
2018-02-12_14h15m39s,1.44E+02,1099.45166
2018-04-16_22h30m01s,183,1890
2017-03-16_20h43m09s,8.70E+01,997.5727539
2024-04-24_13h13m45s,4.995169,1500.040771
2024-01-19_23h35m04s,10,1172.503171
2024-01-23_00h26m38s,10,1172.152906
2020-06-11_16h28m02s,21.598557,999.818753
2021-10-28_00h20m29s,37.472864,1499.949065
2023-10-05_15h23m33s,39.99899673,599.984314
2024-01-26_21h50m38s,40.0016,999.98
2024-01-26_22h07m33s,40.0024,999.98
2024-01-26_21h51m05s,40.0024,999.98
2017-06-30_06h56m21s,49.948986,2000.1577
2017-07-05_09h48m47s,49.94898605,2000.157715
2017-07-17_08h15m59s,49.95143127,2000.165649
2017-07-17_08h38m46s,49.95143127,2000.165649
2018-07-11_00h39m52s,49.964115,1200.3145
2017-06-02_00h21m47s,49.964115,1200.3145
2018-01-19_06h40m16s,49.983326,990.0047
2018-12-18_04h07m33s,49.99499893,475.2624207
2018-12-18_23h26m38s,49.99501419,628.3091431
2018-12-18_04h14m47s,49.99602509,554.5079956
2018-12-19_00h37m04s,49.99687576,476.2721863
2018-12-18_04h17m13s,49.99758148,554.5090942
2019-10-29_22h01m09s,49.99889374,468.2083435
2019-10-29_23h23m27s,49.99889374,468.2083435
2019-10-29_22h04m19s,49.99890518,468.206665
2019-07-19_20h47m37s,49.9989624,664.6248779
2019-10-29_21h32m37s,49.99914169,468.20755
2018-12-18_23h29m45s,49.99917603,630.3270874
2018-12-18_04h37m14s,49.99917603,629.3165283
2019-07-19_20h42m10s,49.99921036,551.019043
2019-07-19_20h03m05s,49.99925995,592.1237183
2018-12-18_04h20m35s,49.99929428,639.4035645
2021-06-22_20h23m29s,50,1100
2021-06-22_20h18m11s,50,1100
2021-05-07_21h10m00s,50,1000
2021-04-27_20h27m04s,50,1100
2020-12-23_10h14m19s,50.00009918,499.9983826
2020-12-23_10h15m17s,50.00016403,299.9933167
2020-12-23_10h13m10s,50.0002327,499.9914246
2018-10-29_11h02m58s,50.00037384,599.9946899
2018-10-30_11h52m30s,50.00043488,599.9924927
2022-08-02_11h16m24s,50.00057602,1005.014771
2018-12-19_01h26m52s,50.00062943,554.5089111
2018-12-19_01h25m21s,50.00067139,554.508728
2019-08-08_00h15m10s,50.00068283,487.3061523
2018-12-18_04h11m24s,50.00069427,514.645752
2019-04-26_01h16m02s,50.00070953,539.1380615
2019-04-22_20h23m01s,50.00075531,514.645752
2019-04-22_21h13m07s,50.00075912,476.5874634
2022-08-16_16h18m30s,50.00078201,750.0125122
2019-04-23_22h26m21s,50.00078201,536.5429077
2018-11-28_14h47m01s,50.00078583,749.9984131
2019-08-20_17h16m04s,50.00078964,528.2739258
2019-07-29_23h28m17s,50.00080872,497.1716919
2019-08-07_19h44m29s,50.00081253,497.1737366
2019-04-25_21h04m50s,50.00081253,529.2773438
2019-08-14_21h39m26s,50.00082016,487.1578674
2019-08-07_19h58m31s,50.00082016,491.2075195
2019-04-25_21h12m15s,50.00082779,528.2745361
2019-05-10_00h32m36s,50.00083923,714.5095215
2019-04-25_21h09m57s,50.00085068,529.2775879
2019-08-20_16h59m21s,50.00085449,528.2741089
2019-08-20_16h53m44s,50.00086212,480.309967
2019-08-07_20h04m17s,50.0008812,466.191803
2019-08-20_17h06m58s,50.00088882,529.2769775
2019-05-07_21h07m06s,50.00088882,659.2445679
2019-08-14_21h36m47s,50.00090027,487.157959
2019-05-07_20h58m07s,50.00090408,581.3649902
2019-05-10_19h06m41s,50.0009079,887.5681763
2019-05-07_20h30m33s,50.0009079,540.1605835
2021-11-22_19h41m06s,50.00091982,499.9789573
2019-05-07_20h47m43s,50.00092316,528.2741699
2019-05-07_21h14m40s,50.00102997,885.552002
2018-12-19_01h22m38s,50.00113297,514.6466675
2019-05-07_20h53m36s,50.00114441,549.145752
2019-05-07_21h02m16s,50.00114822,583.3615112
2019-05-07_20h38m34s,50.00134659,528.274231
2021-12-02_15h44m19s,50.00152857,549.9926611
2024-01-26_21h07m45s,50.002,499.995
2024-01-23_21h00m14s,50.002,499.995
2024-01-16_21h09m39s,50.002,499.995
2024-01-26_21h13m34s,50.00225,499.9875
2024-01-26_21h20m10s,50.00225,500
2024-01-16_21h17m48s,50.00225,499.9875
2024-01-16_21h28m13s,50.00225,500
2019-04-23_21h23m36s,50.00227737,536.5429077
2024-04-30_09h42m06s,50.002373,999.980014
2024-04-26_14h59m58s,50.002375,999.98
2024-04-03_10h09m53s,50.0025,999.98
2024-04-03_09h59m47s,50.0025,999.98
2024-04-03_10h07m28s,50.0025,999.98
2024-04-03_09h50m50s,50.0025,999.98
2024-04-03_01h17m03s,50.0025,650
2024-01-26_21h33m10s,50.0025,500
2024-01-16_21h50m01s,50.0025,500
2021-07-30_02h22m33s,50.00250006,1499.962501
2022-02-08_14h59m34s,50.0035,650
2022-02-08_12h18m07s,50.0035,650
2022-02-07_18h22m25s,50.0035,650
2021-07-30_02h32m16s,50.00500024,1499.962501
2022-11-30_17h27m25s,50.00600591,947.6040059
2021-07-30_03h21m10s,50.00625034,1499.962501
2023-09-05_16h59m16s,50.007,1499.947501
2023-07-04_09h18m44s,50.007251,1299.9805
2023-09-20_01h43m27s,50.011127,2000.3257
2023-09-20_00h42m34s,50.011127,2000.3257
2023-09-19_21h50m50s,50.011127,2000.3257
2023-09-19_21h30m32s,50.011127,2000.3257
2021-07-30_02h53m49s,50.01250147,1499.962501
2022-11-30_17h25m27s,50.01600591,947.6040059
2022-11-30_17h28m47s,50.02099193,946.6009919
2022-11-30_17h28m20s,50.03898241,947.6039824
2022-11-30_17h32m44s,50.04300591,947.6040059
2023-09-05_16h36m15s,50.106112,1499.9625
2023-09-05_16h12m30s,50.175557,1499.9775
2023-09-20_03h15m06s,51.700011,1199.976
2024-05-02_17h21m34s,52.162,2365.3872
2018-04-25_09h27m43s,53.74682999,999.9870605
2018-04-25_11h19m29s,53.7469368,999.987854
2018-02-22_10h25m27s,54.27968838,1097.030273
2018-02-12_16h51m32s,55.47043228,1097.034058
2017-10-04_12h53m56s,57.00282569,987.5008545
2023-12-31_02h30m14s,59.00060654,699.5032959
2023-12-30_21h54m45s,59.00062943,699.5028687
2022-09-16_13h42m31s,59.903076,1000.001282
2022-09-16_10h44m35s,59.903076,1000.002625
2022-09-16_09h16m57s,59.903076,1000.001282
2022-09-16_07h51m33s,59.903076,1000.001282
2019-01-25_11h22m48s,59.99954987,899.991394
2019-01-25_11h26m55s,59.99956512,899.9957886
2019-06-11_12h05m38s,59.99975204,899.9968262
2019-01-25_11h24m31s,59.99981689,899.9973755
2019-06-25_16h15m15s,59.99990463,899.9932861
2019-01-25_11h20m38s,60.00027084,899.9954834
2019-01-25_11h15m36s,60.00027466,899.9838257
2019-01-29_15h37m04s,60.00033569,899.994812
2019-07-04_11h36m32s,60.00052643,899.9919434
2019-10-29_21h29m01s,60.00076675,888.5734253
2019-09-12_19h43m40s,60.00076675,897.5908203
2019-09-12_00h25m56s,60.0007782,897.5930786
2019-09-12_19h53m18s,60.00078201,896.586731
2019-09-06_21h31m18s,60.00078583,899.5876465
2019-10-29_21h57m51s,60.00079346,887.5675659
2019-09-12_00h13m11s,60.00080872,896.5891113
2019-09-06_21h51m25s,60.00082016,898.5883789
2019-09-05_23h36m56s,60.00082397,898.5863647
2019-10-26_00h00m03s,60.00082779,888.5716553
2019-10-25_22h58m22s,60.00083923,894.5738525
2019-09-06_22h27m11s,60.00083923,898.5896606
2019-09-12_00h42m06s,60.00084686,896.5895386
2019-10-04_18h30m42s,60.00085449,897.5879517
2019-09-05_23h29m31s,60.00085449,898.588562
2019-10-26_00h11m01s,60.00086975,887.5609131
2019-08-31_22h37m39s,60.00086975,896.5875244
2019-08-31_21h46m14s,60.00086975,896.5912476
2019-10-29_21h23m43s,60.00087357,888.5728149
2019-09-05_22h29m31s,60.00087357,898.5905151
2019-10-29_21h53m09s,60.0008812,888.5722046
2019-09-05_21h34m25s,60.00090027,885.5525513
2019-10-29_21h47m59s,60.00091934,888.5724487
2019-09-06_22h35m27s,60.00092316,897.592041
2019-09-05_21h58m55s,60.00092316,898.5852661
2019-10-29_21h37m26s,60.0009346,896.5905151
2019-09-11_23h54m26s,60.00093842,897.5905151
