formula,name_short
C6H12O6,Glucose
C6H13O9P,Glucose 6-phosphate
C6H14O12P2,"Fructose 1,6-bisphosphate"
C3H7O6P,Dihydroxyacetone phosphate
C3H7O7P,3-Phosphoglyceric acid
C3H5O6P,Phosphoenolpyruvic acid
C3H4O3,Pyruvic acid
C23H38N7O17P3S,Acetyl-CoA
C3H6O3,Lactic acid
C6H13O10P,6-Phosphogluconic acid
C5H11O8P,Ribulose 5-phosphate
C5H11O8P,Ribose 5-phosphate
C3H6O3,Dihydroxyacetone
C6H12O7,Gluconic acid
C5H10O5,Ribulose
C6H8O7,Citric acid
C6H6O6,cis-Aconitic acid
C5H6O5,2-Oxoglutaric acid
C4H6O4,Succinic acid
C4H4O4,Fumaric acid
C4H6O5,Malic acid
C4H4O5,Oxalacetic acid
C15H24N2O17P2,Uridine diphosphate glucose
C15H22N2O18P2,Uridine diphosphate glucuronic acid
C6H14NO8P,Glucosamine 6-phosphate
C8H16NO9P,N-Acetylgalactosamine 6-phosphate
C17H27N3O17P2,Uridine diphosphate-N-acetylglucosamine
C8H15NO6,N-Acetylglucosamine
C6H12O6,myo-Inositol
C6H8O6,Ascorbic acid
C6H13O9P,Myo-inositol 1-phosphate
C16H32O2,Palmitic acid
C6H12O4,Mevalonic acid
C27H46O,Cholesterol
C3H4O4,Malonic acid
C6H10O5,3-Hydroxymethylglutaric acid
C37H66N7O17P3S,Palmitoyl-CoA
C7H15NO3,Carnitine
C24H40O5,Cholic acid
C2H5NO2,Glycine
C26H45NO7S,Taurocholic acid
C18H24O2,Estradiol
C4H8N2O3,Asparagine
C4H7NO4,Aspartic acid
C6H9NO5,N-Acetylaspartic acid
C5H10N2O3,Glutamine
C5H9NO4,Glutamic acid
C11H16N2O8,N-Acetylaspartylglutamic acid
C4H9NO2,gamma-Aminobutyric acid
C9H11NO2,Phenylalanine
C9H11NO3,Tyrosine
C9H11NO4,L-Dopa
C8H11NO2,Dopamine
C9H13NO3,Epinephrine
C4H6O3,Acetoacetic acid
C6H9N3O2,Histidine
C9H14N4O3,Carnosine
C6H6N2O2,Urocanic acid
C5H9N3,Histamine
C6H14N4O2,Arginine
C6H13N3O3,Citrulline
C10H18N4O6,Argininosuccinic acid
C5H12N2O2,Ornithine
CH4NO5P,Carbamoyl phosphate
C5H9NO2,Proline
C5H9NO3,4-Hydroxyproline
C4H12N2,Putrescine
C7H19N3,Spermidine
C10H26N4,Spermine
C4H9N3O2,Creatine
C4H7N3O,Creatinine
C5H14N4,Agmatine
C19H19N7O6,Folic acid
C20H25N7O6,Tetrahydrofolic acid
C5H11NO2S,Methionine
C6H12N2O4S2,Cystine
C20H32N6O12S2,Oxidized glutathione
C10H17N3O6S,Glutathione
C2H7NO3S,Taurine
C15H23N6O5S,S-Adenosylmethionine
C14H20N6O5S,S-Adenosylhomocysteine
C4H9NO2S,Homocysteine
C3H7NO2S,Cysteine
C9H20N2O2,"N6,N6,N6-Trimethyllysine"
C5H11NO2,Valine
C9H17NO5,Pantothenic acid
C11H22N2O4S,Pantetheine
C21H36N7O16P3S,Coenzyme A
C3H7NO3,Serine
C11H12N2O2,Tryptophan
C10H12N2O3,Kynurenine
C10H7NO3,Kynurenic acid
C7H7NO3,3-Hydroxyanthranilic acid
C7H5NO4,Quinolinic acid
C21H28N7O14P2,Nicotinamide adenine dinucleotide (NAD)
C21H29N7O14P2,"Nicotinamide adenine dinucleotide, reduced (NADH)"
C6H6N2O,Niacinamide
C6H5NO2,Nicotinic acid
C10H12N2O,Serotonin
C10H9NO3,5-Hydroxyindoleacetic acid
C13H16N2O2,Melatonin
C11H15N2O5,Nicotinamide riboside
C11H15N2O8P,Nicotinamide ribotide
C5H4N4O,Hypoxanthine
C10H14N5O7P,Adenosine monophosphate
C5H5N5,Adenine
C5H4N4O2,Xanthine
C5H5N5O,Guanine
C10H15N5O10P2,Adenosine diphosphate
C10H16N5O13P3,Adenosine triphosphate
C10H12N5O6P,Cyclic adenosine monophosphate
C5H8N2O5,Ureidosuccinic acid
C5H6N2O4,"4,5-Dihydroorotic acid"
C5H4N2O4,Orotic acid
C9H12N2O6,Uridine
C4H4N2O2,Uracil
C5H6N2O2,Thymine
C9H14N3O8P,Cytidine monophosphate
C9H13N3O5,Cytidine
C4H5N3O,Cytosine
C9H14N2O12P2,Uridine diphosphate
C5H14NO,Choline
C7H16NO2,Acetylcholine
C12H17N4OS,Thiamine
C17H20N4O6,Riboflavin
C8H11NO3,Pyridoxine
C10H16N2O3S,Biotin
C27H44O,Cholecalciferol
C29H50O2,alpha-tocopherol
C31H46O2,Phylloquinone
C17H21N4O9P,Flavin mononucleotide
C27H33N9O15P2,Flavin adenine dinucleotide
C4H10N3O5P,Phosphocreatine
C8H20NO6P,Glycerophosphocholine
C10H19NO4,Propionylcarnitine
C9H17NO4,Acetylcarnitine
C3H8NO6P,Phosphoserine
C5H4N4O3,Uric acid
C29H48O2,Cholesteryl acetate
C8H7N,Indole
C6H13NO5,Glucosamine
C4H8O2,Butyric acid
C3H9O6P,Glycerol 3-phosphate
C20H28O2,Retinoic acid
C20H32O2,Arachidonic acid
C41H80NO8P,PC 15:0-18:1
C51H96O6,TG 15:0-18:1-15:0
C21H40O4,MG 18:1
C33H56O6,Glucosyl cholesterol
C81H150O17P2,Cardiolipin 18:1
C43H72O5,DG 18:0-22:6
C40H76NO10P,PS (POPS) 16:0-18:1
C40H77O10P,PG 16:0-18:1
C37H71O8P,PA 16:0-18:1
C26H49O12P,Lyso PI 17:1
C43H81O13P,PI 16:0-18:1
C45H84O16P2,PI(5)P 18:1
C43H78NO8P,PE 18:0-20:4
C23H48NO7P,Lyso PC 15:0
C23H48NO7P,Lyso PE 18:0
C21H41O7P,Lyso PA 18:1
C22H45O9P,Lyso PG 16:0
C23H44NO9P,Lyso PS 17:1
C59H108N2O21,GM3 Ganglioside 18:0
C40H79NO3,Cer d8:1/22:0 Cer
C42H81NO8,GlcCer d18:1/18:0
C39H79N2O6P,SM d18:1-16:0
C42H81NO12S,Sulfo GalCer 18:0(2S-OH)
C23H45NO4,CAR 16:0
C42H84NO7P,PC (O) C16-18:1
C20H34O5,Prostaglandin E1
C44H78O2,Cholesteryl ester 17:0
