well,name,formula,mass,no,short,hmdb_primary,is_hmdbid_matching compound,other_id_info
0,Off-sample region,,,,,,,
2,1-palmitoyl-2-oleoyl-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt),C40H77O10P,748.525437,510,16:0-18:1 PG,HMDB0010574,True,https://avantilipids.com/product/840457
10,Indole,C8H7N,117.057849,310,Indole,HMDB0000738,True,
11,Prostaglandin E1,C20H34O5,354.240625,528,Prostaglandin E1,HMDB0001442,True,https://avantilipids.com/product/900100
12,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphate (sodium salt),C37H71O8P,674.488657,511,16:0-18:1 PA,HMDB0007859,True,https://avantilipids.com/product/840857
13,Cholesteryl ester 17:0,C44H78O2,638.60018,529,Cholesteryl ester 17:0,HMDB0060059,True,PUBCHEMCID14077841
14,all-trans-Retinoic acid,C20H28O2,300.20893,326,all-trans-Retinoic acid,HMDB0001852,True,
15,1-oleoyl-rac-glycerol,C21H40O4,356.29266,504,18:1 MG,HMDB0011567,True,https://avantilipids.com/product/330724
16,1-stearoyl-2-docosahexaenoyl-sn-glycerol,C43H72O5,668.537975,508,18:0-22:6 DG,HMDB0007179,True,https://avantilipids.com/product/800819
17,Arachidonic acid,C20H32O2,304.24023,501,Arachidonic acid,HMDB0001043,True,
18,Cholesteryl acetate,C29H48O2,428.36543,276,Cholesteryl acetate,HMDB0003822,True,
19,4-nitrobenzyl pyridinium chloride,C12H11N2O2,215.082053,901,thermometer 1,,,
20,Rhodamine B + Caffeine (fiducial spots),C28H31N2O3,443,,,,,
71,Rhodamine B + Caffeine (fiducial spots),C28H31N2O3,443,,,,,
176,Rhodamine B + Caffeine (fiducial spots),C28H31N2O3,443,,,,,
21,4-methoxybenzyl pyridinium chloride,C13H14NO,200.107539,902,thermometer 2,,,
22,Cholesterol,C27H46O,386.354865,51,Cholesterol,HMDB0000067,True,
23,Estradiol,C18H24O2,272.17763,61,Estradiol,HMDB0000151,True,
24,Palmitic acid,C16H32O2,256.24023,46,Palmitic acid,HMDB0000220,True,
25,Cholic acid,C24H40O5,408.287575,58,Cholic acid,HMDB0000619,True,
26,Melatonin,C13H16N2O2,232.121178,168,Melatonin,HMDB0001389,True,
27,Cholecalciferol,C27H44O,384.339215,236,Cholecalciferol,HMDB0000876,True,
28,Alpha-tocopherol,C29H50O2,430.38108,237,Alpha-tocopherol,HMDB0001893,True,
29,Phylloquinone,C31H46O2,450.34978,238,Phylloquinone,HMDB0003555,True,
30,"1',3'-bis[1,2-dioleoyl-sn-glycero-3-phospho]-glycerol (sodium salt)",C81H150O17P2,1457.034829,506,18:1 Cardiolipin,HMDB0010691,True,https://avantilipids.com/product/710335
31,"1,2-dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol-5'-phosphate) (ammonium salt)",C45H84O16P2,942.523464,514,18:1 PI(5)P,HMDB0009974,True,https://avantilipids.com/product/850152
32,1-palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt),C22H45O9P,484.280122,519,16:0 Lyso PG,HMDB0240601,True,https://avantilipids.com/product/858122
33,1-pentadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,C23H48NO7P,481.316841,516,15:0 Lyso PC,HMDB0010381,True,https://avantilipids.com/product/855576
34,N-behenoyl-D-erythro-sphingosine,C40H79NO3,621.605994,522,C22 Ceramide (d18:1/22:0),HMDB0004952,True,https://avantilipids.com/product/860501
35,N-palmitoyl-D-erythro-sphingosylphosphorylcholine,C39H79N2O6P,702.567575,524,16:0 SM (d18:1/16:0),HMDB0010169,True,https://avantilipids.com/product/860584
36,"3-O-sulfo-D-galactosyl-ß1-1'-N-[2""(S)-hydroxystearoyl]-D-erythro-sphingosine (ammonium salt), (synthetic)",C42H81NO12S,823.54795,525,18:0(2S-OH) Sulfo GalCer,HMDB0012314,False,"https://avantilipids.com/product/860843, ? no HMDB entry, used similar compound without beta-OH"
37,"D-glucosyl-ß-1,1'-N-stearoyl-D-erythro-sphingosine",C42H81NO8,727.596219,523,C18 Glucosyl(ß) Ceramide (d18:1/18:0),HMDB0004972,True,https://avantilipids.com/product/860547
38,Fumaric acid,C4H4O4,116.01096,29,Fumaric acid,HMDB0000134,True,
39,1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine,C43H78NO8P,767.546506,515,18:0-20:4 PE,HMDB0009003,True,https://avantilipids.com/product/850804
40,1-Stearoyl-2-Hydroxy-sn-Glycero-3-Phosphoethanolamine,C23H48NO7P,481.316841,517,18:0 Lyso PE,HMDB0011130,True,https://avantilipids.com/product/856715
41,palmitoyl L-carnitine,C23H45NO4,399.334859,526,C16 Carnitine,HMDB0000222,True,https://avantilipids.com/product/870851
42,1-(10Z-heptadecenoyl)-2-hydroxy-sn-glycero-3-phospho-(1'-myo-inositol) (ammonium salt),C26H49O12P,584.296167,512,17:1 Lyso PI,HMDB0061693,False,"https://avantilipids.com/product/850103, ? no HMDB entry, used ID for 18:1 LysoPI"
