dataset_id,well,formula,adduct,neutral_loss,score
2021-02-17_18h14m40s,10,C8H7N,#NAME?,,0
2021-02-17_18h14m40s,14,C20H28O2,#NAME?,,1
2021-02-17_18h14m40s,17,C20H32O2,#NAME?,,0
2021-02-17_18h14m40s,23,C18H24O2,#NAME?,,1
2021-02-17_18h14m40s,24,C16H32O2,#NAME?,,0
2021-02-17_18h14m40s,26,C13H16N2O2,#NAME?,,1
2021-02-17_18h14m40s,38,C4H4O4,#NAME?,,1
2021-02-17_18h14m40s,57,C6H13O9P,#NAME?,,0
2021-02-17_18h14m40s,58,C5H11O8P,#NAME?,,0
2021-02-17_18h14m40s,59,C4H6O5,#NAME?,,0
2021-02-17_18h14m40s,60,C9H13N3O5,#NAME?,,1
2021-02-17_18h14m40s,61,C6H12O4,#NAME?,,1
2021-02-17_18h14m40s,63,C3H9O6P,#NAME?,,0
2021-02-17_18h14m40s,66,C8H15NO6,#NAME?,,1
2021-02-17_18h14m40s,67,C9H14N3O8P,#NAME?,,1
2021-02-17_18h14m40s,69,C5H4N4O3,#NAME?,,1
2021-02-17_18h14m40s,70,C9H13NO3,#NAME?,,1
2021-02-17_18h14m40s,72,C10H7NO3,#NAME?,,1
2021-02-17_18h14m40s,73,C5H6N2O4,#NAME?,,1
2021-02-17_18h14m40s,74,C8H16NO9P,#NAME?,,1
2021-02-17_18h14m40s,75,C3H7O6P,#NAME?,,0
2021-02-17_18h14m40s,76,C11H16N2O8,#NAME?,,1
2021-02-17_18h14m40s,77,C6H10O5,#NAME?,,0
2021-02-17_18h14m40s,82,C10H18N4O6,#NAME?,,1
2021-02-17_18h14m40s,83,C9H20N2O2,#NAME?,,1
2021-02-17_18h14m40s,84,C4H6O3,#NAME?,,0
2021-02-17_18h14m40s,85,C6H13O10P,#NAME?,,1
2021-02-17_18h14m40s,88,C10H12N5O6P,#NAME?,,1
2021-02-17_18h14m40s,89,C6H9NO5,#NAME?,,1
2021-02-17_18h14m40s,90,C5H5N5,#NAME?,,1
2021-02-17_18h14m40s,91,C6H12O6,#NAME?,,0
2021-02-17_18h14m40s,92,C4H8O2,#NAME?,,0
2021-02-17_18h14m40s,93,C2H5NO2,#NAME?,,0
2021-02-17_18h14m40s,94,CH4NO5P,#NAME?,,0
2021-02-17_18h14m40s,95,C8H20NO6P,#NAME?,,1
2021-02-17_18h14m40s,96,C3H5O6P,#NAME?,,1
