dataset_id,well,formula,adduct,neutral_loss,score,average ratio,occupancy ratio
2021-04-11_21h47m45s,60,C9H13N3O5,+H,,0,3.5589634859937065,1.908878186196556
2021-04-11_21h47m45s,70,C9H13NO3,+H,,1,7.896958950929873,1.821463023379326
2021-04-11_21h47m45s,72,C10H7NO3,+H,,0,1.7590400449919834,2.004360572599479
2021-04-11_21h47m45s,77,C6H10O5,+H,,0,1.1956875858312228,1.908878186196556
2021-04-11_21h47m45s,90,C5H5N5,+H,,0,7.693527855969778,1.8474950803091434
2021-04-11_21h47m45s,103,C3H7O7P,+H,,0,4.705638292111372,1.840917555813597
2021-04-11_21h47m45s,107,C4H12N2,+H,,0,5.136334154183693,2.4395023734521755
2021-04-11_21h47m45s,120,C11H15N2O8P,+H,,1,6.089745592027956,3.831902497976309
2021-04-11_21h47m45s,129,C5H4N4O2,+H,,1,6.138595052612263,3.789775161806824
2021-04-11_21h47m45s,133,C4H4N2O2,+H,,0,3.482015278363898,1.8150692329293847
2021-04-11_21h47m45s,137,C5H6N2O2,+H,,0,2.021265516121021,2.203828449779464
2021-04-11_21h47m45s,138,C6H5NO2,+H,,0,1.3452654332600344,1.8087201730688507
2021-04-11_21h47m45s,143,C10H16N2O3S,+H,,0,1.5249478245310386,1.5486909161283189
2021-04-11_21h47m45s,145,C5H11NO2,+H,,0,9.967254540466865,1.8474950803091434
2021-04-11_21h47m45s,149,C9H11NO2,+H,,0,1.1920007142583229,1.8343867002870835
2021-04-11_21h47m45s,150,C9H11NO3,+H,,0,2.6198833647533317,3.163710983094243
2021-04-11_21h47m45s,157,C10H9NO3,+H,,0,1.6367806629236943,1.6629475882064808
2021-04-11_21h47m45s,166,C10H12N2O,+H,,0,1.6614646943624753,1.50625230339001
2021-04-11_21h47m45s,168,C5H9N3,+H,,1,7.078074448951278,5.726634558589668
2021-04-11_21h47m45s,174,C5H10N2O3,+H,,0,3.5845062423174405,3.789775161806824
2021-04-11_21h47m45s,178,C5H5N5O,+H,,0,6.1023896622185765,1.8742820178226878
2021-04-11_21h47m45s,179,C6H9N3O2,+H,,0,1.911243439180745,1.5827561053368693
2021-04-11_21h47m45s,184,C5H11NO2S,+H,,0,1.5042441164589473,1.8811005641622638
2021-04-11_21h47m45s,187,C4H7NO4,+H,,1,4.943636526097787,5.663906708159666
2021-04-11_21h47m45s,188,C5H8N2O5,+H,,0,1.0587389509153102,1.32965676578102
