,internal_id,name_short,morgan_class,hmdb_func_group_class,property_class
0,0,D-Glucose,cyclic carbohydrates,,acidic aqueous
1,1,Glucose 6-phosphate,cyclic carbohydrates,,large strong amphoteric
2,3,"Fructose 1,6-bisphosphate",cyclic carbohydrates,,large strong amphoteric
3,4,Dihydroxyacetone phosphate,linear carbohydrates,,small strong amphoteric
4,7,3-Phosphoglyceric acid,linear carbohydrates,,small strong amphoteric
5,9,Phosphoenolpyruvic acid,linear carbohydrates,,small strong amphoteric
6,10,Pyruvic acid,carboxylic acids,,small strong amphoteric
7,11,Acetyl-CoA,nucleo*ides,,polar basic
8,12,L-Lactic acid,amino acids and peptides,,acidic aqueous
9,14,6-Phosphogluconic acid,linear carbohydrates,,large strong amphoteric
10,15,D-Ribulose 5-phosphate,linear carbohydrates,,large strong amphoteric
11,16,D-Ribose 5-phosphate,cyclic carbohydrates,,large strong amphoteric
12,17,Dihydroxyacetone,linear carbohydrates,,acidic aqueous
13,20,Gluconic acid,linear carbohydrates,,large strong amphoteric
14,21,L-Ribulose,cyclic carbohydrates,,acidic aqueous
15,22,Citric acid,carboxylic acids,,large strong amphoteric
16,24,cis-Aconitic acid,carboxylic acids,,small strong amphoteric
17,26,Oxoglutaric acid,carboxylic acids,,small strong amphoteric
18,28,Succinic acid,carboxylic acids,,acidic aqueous
19,29,Fumaric acid,carboxylic acids,,small strong amphoteric
20,30,L-Malic acid,amino acids and peptides,,acidic aqueous
21,31,Oxalacetic acid,carboxylic acids,,small strong amphoteric
22,33,Uridine diphosphate glucose,cyclic carbohydrates,,polar basic
23,34,Uridine diphosphate glucuronic acid,cyclic carbohydrates,,polar basic
24,35,Glucosamine 6-phosphate,cyclic carbohydrates,,large basic
25,36,N-Acetyl-D-galactosamine 1-phosphate,cyclic carbohydrates,,large strong amphoteric
26,38,Uridine diphosphate-N-acetylglucosamine,cyclic carbohydrates,,polar basic
27,39,N-Acetyl-D-glucosamine,cyclic carbohydrates,,acidic aqueous
28,40,myo-Inositol,cyclic carbohydrates,,acidic aqueous
29,41,Ascorbic acid,linear carbohydrates,,acidic aqueous
30,42,Myo-inositol 1-phosphate,cyclic carbohydrates,,large strong amphoteric
31,46,Palmitic acid,carboxylic acids,,acidic lipids
32,50,Mevalonic acid,carboxylic acids,,acidic aqueous
33,51,Cholesterol,steriods,,acidic lipids
34,53,Malonic acid,carboxylic acids,,acidic aqueous
35,54,3-Hydroxymethylglutaric acid,carboxylic acids,,acidic aqueous
36,55,Palmityl-CoA,nucleo*ides,,polar basic
37,56,L-Carnitine,4o amines,,small strong amphoteric
38,58,Cholic acid,steriods,,small strong amphoteric
39,59,Glycine,carboxylic acids,,basic aqueous
40,60,Taurocholic acid,steriods,,amphoteric lipids
41,61,Estradiol,steriods,,acidic lipids
42,67,L-Asparagine,amino acids and peptides,,basic aqueous
43,68,L-Aspartic acid,amino acids and peptides,,basic aqueous
44,69,N-Acetyl-L-aspartic acid,amino acids and peptides,,small strong amphoteric
45,70,L-Glutamine,amino acids and peptides,,basic aqueous
46,71,L-Glutamic acid,amino acids and peptides,,basic aqueous
47,72,N-Acetylaspartylglutamic acid,amino acids and peptides,,large strong amphoteric
48,73,gamma-Aminobutyric acid,carboxylic acids,,basic aqueous
49,74,L-Phenylalanine,aromatics,,small basic
50,75,L-Tyrosine,aromatics,,small basic
51,76,L-Dopa,aromatics,,large basic
52,77,Dopamine,aromatics,,weak amphoteric
53,79,Epinephrine,aromatics,,weak amphoteric
54,83,Acetoacetic acid,carboxylic acids,,acidic aqueous
55,84,L-Histidine,aromatics,,basic aqueous
56,85,Carnosine,aromatics,,large basic
57,86,Urocanic acid,aromatics,,small basic
58,89,Histamine,aromatics,,weak amphoteric
59,90,L-Arginine,amino acids and peptides,,large basic
60,91,Citrulline,amino acids and peptides,,basic aqueous
61,92,Argininosuccinic acid,amino acids and peptides,,large basic
62,93,Ornithine,amino acids and peptides,,basic aqueous
63,95,Carbamoyl phosphate,linear carbohydrates,,small strong amphoteric
64,97,L-Proline,carboxylic acids,,basic aqueous
65,98,4-Hydroxyproline,carboxylic acids,,basic aqueous
66,99,Putrescine,amines,,basic aqueous
67,100,Spermidine,amines,,small basic
