hmdb_primary,polar_surface_area,polarizability
HMDB0000001,81.14,17.11
HMDB0000002,52.04,9.06
HMDB0000005,54.37,9.2
HMDB0000008,57.53,9.98
HMDB0000010,46.53,34.34
HMDB0000011,57.53,9.96
HMDB0000012,99.1,21.06
HMDB0000014,108.38,21.65
HMDB0000015,74.6,38.86
HMDB0000016,54.37,38.19
HMDB0000017,90.65,17.19
HMDB0000019,54.37,11.04
HMDB0000020,57.53,14.83
HMDB0000021,83.55,23.54
HMDB0000022,55.48,18.21
HMDB0000023,57.53,9.98
HMDB0000024,192.08,111.09
HMDB0000026,92.42,12.07
HMDB0000027,132.0,23.67
HMDB0000030,78.43,24.92
HMDB0000031,37.3,34.56
HMDB0000032,20.23,50.01
HMDB0000033,121.1,22.37
HMDB0000034,80.48,12.29
HMDB0000036,144.16,57.36
HMDB0000037,91.67,38.82
HMDB0000038,132.33,23.11
HMDB0000039,37.3,9.22
HMDB0000042,37.3,5.34
HMDB0000043,37.3,12.52
HMDB0000044,107.22,14.93
HMDB0000045,186.07,29.96
HMDB0000048,189.53,31.19
HMDB0000050,139.54,25.28
HMDB0000051,13.59,1.99
HMDB0000052,185.83,27.6
HMDB0000053,34.14,33.21
HMDB0000054,164.38,66.16
HMDB0000055,189.53,31.08
HMDB0000056,63.32,8.62
HMDB0000058,154.84,28.42
HMDB0000060,54.37,9.18
HMDB0000061,232.6,34.28
HMDB0000062,60.36,16.93
HMDB0000063,94.83,39.45
HMDB0000064,90.41,12.17
HMDB0000067,20.23,50.64
HMDB0000068,72.72,19.04
HMDB0000070,49.33,13.47
HMDB0000071,113.52,23.69
HMDB0000072,111.9,14.16
HMDB0000073,66.48,16.21
HMDB0000076,58.2,10.13
HMDB0000077,37.3,34.1
HMDB0000078,92.42,16.97
HMDB0000079,58.2,12.03
HMDB0000082,268.2,35.87
HMDB0000085,134.99,25.24
HMDB0000086,99.05,24.77
HMDB0000087,12.03,5.75
HMDB0000089,128.61,22.4
HMDB0000092,40.54,10.47
HMDB0000094,132.13,15.54
HMDB0000095,175.14,26.9
HMDB0000097,20.23,12.57
HMDB0000098,90.15,13.43
HMDB0000099,126.64,22.02
HMDB0000101,119.31,24.24
HMDB0000107,121.38,17.25
HMDB0000108,20.23,5.3
HMDB0000112,63.32,10.62
HMDB0000114,122.24,19.07
HMDB0000115,57.53,6.2
HMDB0000118,66.76,17.74
HMDB0000119,54.37,5.35
HMDB0000121,208.99,42.06
HMDB0000122,110.38,16.35
HMDB0000123,63.32,6.65
HMDB0000124,164.75,20.78
HMDB0000125,158.82,29.11
HMDB0000126,107.22,13.58
HMDB0000127,127.45,16.32
HMDB0000128,99.2,10.54
HMDB0000130,77.76,15.57
HMDB0000131,60.69,8.93
HMDB0000132,96.16,13.34
HMDB0000133,155.22,26.03
HMDB0000134,74.6,9.35
HMDB0000138,127.09,52.8
HMDB0000139,77.76,8.96
HMDB0000142,37.3,3.37
HMDB0000143,110.38,16.13
HMDB0000145,37.3,31.24
HMDB0000148,100.62,13.32
HMDB0000149,46.25,6.63
HMDB0000150,107.22,15.53
HMDB0000151,40.46,32.12
HMDB0000152,77.76,13.78
HMDB0000153,60.69,33.08
HMDB0000156,94.83,10.93
HMDB0000157,74.69,11.82
HMDB0000158,83.55,18.01
HMDB0000159,63.32,17.03
HMDB0000161,63.32,8.49
HMDB0000162,49.33,11.5
HMDB0000163,189.53,31.43
HMDB0000164,26.02,3.86
HMDB0000167,83.55,11.08
HMDB0000168,106.41,11.68
HMDB0000169,110.38,16.13
HMDB0000172,63.32,14.11
HMDB0000174,90.15,15.35
HMDB0000175,175.73,29.14
HMDB0000176,74.6,9.19
HMDB0000177,92.0,14.67
HMDB0000181,103.78,18.91
HMDB0000182,89.34,15.84
HMDB0000186,189.53,30.92
HMDB0000187,83.55,9.39
HMDB0000189,273.34,38.09
HMDB0000190,57.53,8.06
HMDB0000191,100.62,11.28
HMDB0000192,126.64,22.77
HMDB0000193,132.13,15.55
HMDB0000194,110.24,24.3
HMDB0000195,129.2,24.6
HMDB0000197,53.09,17.74
HMDB0000201,66.43,20.82
HMDB0000202,74.6,10.06
HMDB0000205,54.37,15.75
HMDB0000206,92.42,20.29
HMDB0000207,37.3,37.09
HMDB0000208,91.67,12.17
HMDB0000209,37.3,13.85
HMDB0000210,106.86,21.99
HMDB0000211,121.38,16.14
HMDB0000212,119.25,20.58
HMDB0000213,167.91,20.71
HMDB0000214,89.34,13.85
HMDB0000215,119.25,20.56
HMDB0000216,86.71,16.96
HMDB0000217,367.62,62.46
HMDB0000218,203.16,29.65
HMDB0000220,37.3,34.36
HMDB0000221,364.15,63.54
HMDB0000222,66.43,50.35
HMDB0000223,91.67,10.06
HMDB0000224,92.78,11.12
HMDB0000225,91.67,14.16
HMDB0000226,95.5,12.46
HMDB0000227,77.76,14.57
HMDB0000228,20.23,9.81
HMDB0000229,163.42,29.05
HMDB0000230,176.78,27.82
HMDB0000232,87.49,14.34
HMDB0000234,37.3,33.88
HMDB0000235,75.91,28.14
HMDB0000237,37.3,7.24
HMDB0000238,129.17,22.44
HMDB0000239,73.58,17.11
HMDB0000240,57.53,5.76
HMDB0000241,131.96,65.97
HMDB0000243,54.37,7.31
HMDB0000244,155.05,37.51
HMDB0000245,116.41,22.56
HMDB0000246,9.23,8.14
HMDB0000247,121.38,17.12
HMDB0000248,92.78,49.4
HMDB0000250,124.29,10.28
HMDB0000251,80.39,10.82
HMDB0000252,66.48,39.37
HMDB0000253,37.3,38.09
HMDB0000254,74.6,10.14
HMDB0000256,0.0,56.17
HMDB0000257,54.37,8.29
HMDB0000258,189.53,31.04
HMDB0000259,62.04,19.31
HMDB0000262,58.2,11.42
HMDB0000263,104.06,11.57
HMDB0000265,92.78,43.92
HMDB0000267,66.4,11.56
HMDB0000268,77.76,40.0
HMDB0000269,66.48,40.68
HMDB0000271,49.33,8.66
HMDB0000272,130.08,13.97
HMDB0000273,99.1,23.06
HMDB0000277,113.01,43.73
HMDB0000279,149.95,28.14
HMDB0000280,229.74,27.46
HMDB0000283,90.15,13.68
HMDB0000285,258.92,35.38
HMDB0000286,291.54,45.39
HMDB0000288,165.86,26.3
HMDB0000289,99.33,13.61
HMDB0000290,300.41,50.39
HMDB0000291,86.99,18.45
HMDB0000292,86.88,12.7
HMDB0000293,293.57,39.11
HMDB0000294,69.11,5.1
HMDB0000295,212.39,30.43
HMDB0000296,119.33,21.81
HMDB0000299,153.98,25.55
HMDB0000300,58.2,9.37
HMDB0000301,65.98,13.1
HMDB0000302,291.54,45.42
HMDB0000303,41.81,18.34
HMDB0000304,300.41,51.59
HMDB0000305,20.23,36.54
HMDB0000306,46.25,15.33
HMDB0000307,118.22,47.72
HMDB0000308,57.53,45.29
HMDB0000309,57.53,34.9
HMDB0000310,43.37,11.27
HMDB0000311,118.22,47.8
HMDB0000312,97.99,47.05
HMDB0000313,57.53,32.29
HMDB0000314,97.99,41.04
HMDB0000315,57.53,38.92
HMDB0000316,118.22,48.15
HMDB0000317,57.53,13.77
HMDB0000318,80.92,16.57
HMDB0000319,94.83,39.77
HMDB0000320,97.99,47.05
HMDB0000321,94.83,14.88
HMDB0000322,57.53,34.66
HMDB0000323,55.12,11.83
HMDB0000324,57.53,34.95
HMDB0000325,94.83,19.14
HMDB0000326,97.99,47.46
HMDB0000328,74.6,45.52
HMDB0000329,37.3,17.47
HMDB0000330,97.99,47.36
HMDB0000331,127.09,52.83
HMDB0000332,111.9,39.41
HMDB0000333,66.76,17.72
HMDB0000335,57.53,32.06
HMDB0000336,57.53,9.98
HMDB0000337,77.76,10.91
HMDB0000338,60.69,33.08
HMDB0000339,66.4,16.55
HMDB0000340,118.22,47.91
HMDB0000341,74.6,17.61
HMDB0000343,57.53,32.23
HMDB0000344,38.69,37.37
HMDB0000345,94.83,14.78
HMDB0000346,118.22,16.38
HMDB0000347,60.69,33.05
HMDB0000348,77.76,46.61
HMDB0000349,66.76,9.84
HMDB0000350,94.83,23.36
HMDB0000351,57.53,11.76
HMDB0000352,57.53,34.85
HMDB0000353,77.76,39.74
HMDB0000354,57.53,11.83
HMDB0000355,94.83,14.55
HMDB0000356,60.69,32.95
HMDB0000359,77.76,52.21
HMDB0000360,77.76,10.93
HMDB0000361,77.76,46.23
HMDB0000362,124.29,13.37
HMDB0000363,57.53,38.66
HMDB0000364,97.99,47.1
HMDB0000365,37.3,34.7
HMDB0000366,97.99,13.51
HMDB0000367,118.22,47.9
HMDB0000368,94.83,15.01
HMDB0000369,40.46,35.53
HMDB0000370,120.85,12.85
HMDB0000371,97.99,47.46
HMDB0000372,54.37,31.49
HMDB0000374,54.37,37.9
HMDB0000375,57.53,16.92
HMDB0000376,97.99,47.45
HMDB0000377,118.22,47.9
HMDB0000378,66.43,26.51
HMDB0000379,132.13,17.21
HMDB0000380,49.69,35.22
HMDB0000381,57.53,45.12
HMDB0000383,40.46,35.28
HMDB0000384,77.76,46.57
HMDB0000385,74.6,43.64
HMDB0000386,100.9,40.66
HMDB0000387,57.53,26.61
HMDB0000388,57.53,34.95
HMDB0000389,108.94,21.67
HMDB0000390,97.99,47.03
HMDB0000391,94.83,46.22
HMDB0000392,37.3,16.19
HMDB0000393,74.6,13.44
HMDB0000394,94.83,31.84
HMDB0000395,97.99,47.06
HMDB0000396,57.53,11.9
HMDB0000397,77.76,13.71
HMDB0000398,91.67,13.91
HMDB0000399,118.22,47.77
HMDB0000400,94.83,46.44
HMDB0000401,120.94,14.54
HMDB0000402,94.83,16.37
HMDB0000403,100.71,13.36
HMDB0000404,97.99,47.13
HMDB0000405,49.69,35.2
HMDB0000406,57.53,32.35
HMDB0000407,57.53,11.77
HMDB0000408,54.37,12.95
HMDB0000409,57.53,14.02
HMDB0000410,57.53,11.8
HMDB0000411,77.76,46.16
HMDB0000412,40.46,35.45
HMDB0000413,94.83,27.58
HMDB0000414,97.99,47.11
HMDB0000415,97.99,47.31
HMDB0000416,100.9,44.61
HMDB0000417,37.3,40.96
HMDB0000418,115.06,40.12
HMDB0000419,97.99,46.93
HMDB0000421,77.76,12.72
HMDB0000422,74.6,13.96
HMDB0000423,77.76,17.85
HMDB0000424,94.83,23.38
HMDB0000425,175.75,23.7
HMDB0000426,94.83,12.69
HMDB0000427,97.99,47.5
HMDB0000428,94.83,12.81
HMDB0000429,40.46,31.93
HMDB0000430,60.69,51.15
HMDB0000431,60.69,32.95
HMDB0000432,97.99,47.35
HMDB0000433,118.22,48.24
HMDB0000434,55.76,19.74
HMDB0000437,118.22,47.78
HMDB0000438,77.76,46.16
HMDB0000439,79.54,15.36
HMDB0000440,57.53,14.78
HMDB0000442,57.53,9.94
HMDB0000444,50.44,9.68
HMDB0000445,344.31,64.14
HMDB0000446,92.42,19.96
HMDB0000447,94.83,45.67
HMDB0000448,74.6,14.24
HMDB0000449,77.76,40.16
HMDB0000450,109.57,16.55
HMDB0000451,57.53,16.85
HMDB0000452,63.32,10.34
HMDB0000453,26.3,12.12
HMDB0000455,126.64,22.24
HMDB0000458,40.46,35.17
HMDB0000459,66.4,15.79
HMDB0000460,74.6,45.9
HMDB0000462,113.32,12.89
HMDB0000464,0.0,1.78
HMDB0000466,15.79,14.95
HMDB0000467,74.6,44.94
HMDB0000468,132.66,22.47
HMDB0000469,78.43,12.34
HMDB0000472,99.34,22.03
HMDB0000473,57.7,16.32
HMDB0000474,17.07,8.28
HMDB0000476,54.37,43.86
HMDB0000477,37.3,31.67
HMDB0000478,77.76,46.44
HMDB0000479,81.14,16.58
HMDB0000481,129.2,24.35
HMDB0000482,37.3,17.4
HMDB0000483,101.15,53.41
HMDB0000484,66.76,15.86
HMDB0000486,57.53,18.24
HMDB0000488,164.38,65.37
HMDB0000489,191.44,31.8
HMDB0000490,37.3,34.36
HMDB0000491,54.37,13.09
HMDB0000492,0.0,2.39
HMDB0000493,40.46,35.56
HMDB0000494,20.23,54.93
HMDB0000495,40.46,35.34
HMDB0000496,166.14,33.7
HMDB0000497,119.33,22.98
HMDB0000498,77.76,10.74
HMDB0000499,37.3,29.14
HMDB0000500,57.53,12.94
