internal_id,coarse_path,fine_path,name_short
0,Carbohydrate metabolism,Glycolysis,Glucose
1,Carbohydrate metabolism,Glycolysis,Glucose 6-phosphate
1,Carbohydrate metabolism,Pentose phosphate pathway,Glucose 6-phosphate
3,Carbohydrate metabolism,Glycolysis,"Fructose 1,6-bisphosphate"
4,Carbohydrate metabolism,Glycolysis,Dihydroxyacetone phosphate
7,Carbohydrate metabolism,Glycolysis,3-Phosphoglyceric acid
9,Carbohydrate metabolism,Glycolysis,Phosphoenolpyruvic acid
10,Carbohydrate metabolism,Glycolysis,Pyruvic acid
11,Carbohydrate metabolism,Citric acid cycle,Acetyl-CoA
11,Lipid metabolism,Cholesterol sybthesis,Acetyl-CoA
11,Lipid metabolism,Fatty acid synthesis,Acetyl-CoA
12,Carbohydrate metabolism,Glycolysis,Lactic acid
14,Carbohydrate metabolism,Pentose phosphate pathway,6-Phosphogluconic acid
15,Carbohydrate metabolism,Pentose phosphate pathway,Ribulose 5-phosphate
16,Carbohydrate metabolism,Pentose phosphate pathway,Ribose 5-phosphate
17,Carbohydrate metabolism,Glycolysis,Dihydroxyacetone
20,Carbohydrate metabolism,Pentose phosphate pathway,Gluconic acid
21,Carbohydrate metabolism,Pentose phosphate pathway,Ribulose
22,Carbohydrate metabolism,Citric acid cycle,Citric acid
22,Lipid metabolism,Fatty acid synthesis,Citric acid
24,Carbohydrate metabolism,Citric acid cycle,cis-Aconitic acid
26,Carbohydrate metabolism,Citric acid cycle,2-Oxoglutaric acid
28,Carbohydrate metabolism,Citric acid cycle,Succinic acid
29,Carbohydrate metabolism,Citric acid cycle,Fumaric acid
30,Carbohydrate metabolism,Citric acid cycle,Malic acid
31,Carbohydrate metabolism,Citric acid cycle,Oxalacetic acid
33,Carbohydrate metabolism,Hexosamine biosynthetic pathway,Uridine diphosphate glucose
34,Carbohydrate metabolism,Hexosamine biosynthetic pathway,Uridine diphosphate glucuronic acid
35,Carbohydrate metabolism,Hexosamine biosynthetic pathway,Glucosamine 6-phosphate
36,Carbohydrate metabolism,Hexosamine biosynthetic pathway,N-Acetylgalactosamine 6-phosphate
38,Carbohydrate metabolism,Hexosamine biosynthetic pathway,Uridine diphosphate-N-acetylglucosamine
39,Carbohydrate metabolism,Hexosamine biosynthetic pathway,N-Acetylglucosamine
40,Carbohydrate metabolism,Inositol metabolism,myo-Inositol
