well,name_short,formula,internal_id
91,D-Glucose,C6H12O6,0
57,Glucose 6-phosphate,C6H13O9P,1
170,"Fructose 1,6-bisphosphate",C6H14O12P2,3
75,Dihydroxyacetone phosphate,C3H7O6P,4
103,3-Phosphoglyceric acid,C3H7O7P,7
96,Phosphoenolpyruvic acid,C3H5O6P,9
102,Pyruvic acid,C3H4O3,10
78,Acetyl-CoA,C23H38N7O17P3S,11
104,L-Lactic acid,C3H6O3,12
85,6-Phosphogluconic acid,C6H13O10P,14
101,D-Ribulose 5-phosphate,C5H11O8P,15
58,D-Ribose 5-phosphate,C5H11O8P,16
125,Dihydroxyacetone,C3H6O3,17
183,Gluconic acid,C6H12O7,20
118,L-Ribulose,C5H10O5,21
68,Citric acid,C6H8O7,22
114,cis-Aconitic acid,C6H6O6,24
131,Oxoglutaric acid,C5H6O5,26
113,Succinic acid,C4H6O4,28
38,Fumaric acid,C4H4O4,29
59,L-Malic acid,C4H6O5,30
105,Oxalacetic acid,C4H4O5,31
163,Uridine diphosphate glucose,C15H24N2O17P2,33
99,Uridine diphosphate glucuronic acid,C15H22N2O18P2,34
106,Glucosamine 6-phosphate,C6H14NO8P,35
74,N-Acetyl-D-galactosamine 1-phosphate,C8H16NO9P,36
79,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,38
66,N-Acetyl-D-glucosamine,C8H15NO6,39
124,myo-Inositol,C6H12O6,40
175,Ascorbic acid,C6H8O6,41
100,Myo-inositol 1-phosphate,C6H13O9P,42
24,Palmitic acid,C16H32O2,46
61,Mevalonic acid,C6H12O4,50
22,Cholesterol,C27H46O,51
151,Malonic acid,C3H4O4,53
77,3-Hydroxymethylglutaric acid,C6H10O5,54
52,Palmityl-CoA,C37H66N7O17P3S,55
110,L-Carnitine,C7H15NO3,56
25,Cholic acid,C24H40O5,58
93,Glycine,C2H5NO2,59
144,Taurocholic acid,C26H45NO7S,60
23,Estradiol,C18H24O2,61
186,L-Asparagine,C4H8N2O3,67
187,L-Aspartic acid,C4H7NO4,68
