iter	Passed	Remaining
0	8	8822
1	17	8675
2	25	8595
3	34	8540
4	42	8504
5	49	8264
6	55	7904
7	61	7626
8	69	7615
9	75	7465
10	80	7280
11	86	7107
12	91	6947
13	96	6796
14	101	6672
15	106	6577
16	112	6492
17	116	6362
18	121	6248
19	125	6143
20	129	6050
21	134	5964
22	138	5883
23	143	5819
24	147	5754
25	151	5689
26	156	5622
27	160	5570
28	164	5518
29	169	5466
30	173	5420
31	177	5375
32	182	5337
33	186	5297
34	190	5265
35	195	5238
36	200	5212
37	204	5186
38	209	5161
39	214	5138
40	218	5113
41	223	5090
42	227	5064
43	231	5038
44	236	5013
45	240	4990
46	244	4967
47	249	4948
48	254	4933
49	258	4914
50	263	4900
51	267	4884
52	272	4867
53	276	4847
54	281	4830
55	285	4813
56	289	4796
57	294	4780
58	298	4767
59	303	4759
60	308	4750
61	313	4740
62	317	4728
63	322	4716
64	327	4704
65	331	4696
66	336	4686
67	341	4676
68	345	4663
69	350	4650
70	354	4638
71	359	4627
72	363	4614
73	367	4603
74	372	4591
75	376	4581
76	381	4569
77	385	4558
78	390	4549
79	394	4537
80	398	4526
81	403	4515
82	407	4505
83	412	4495
84	416	4485
85	421	4475
86	425	4466
87	430	4458
88	434	4448
89	439	4438
90	443	4428
91	447	4418
92	452	4408
93	456	4398
94	460	4390
95	465	4382
96	469	4374
97	474	4365
98	478	4357
99	483	4350
100	487	4341
101	492	4333
102	496	4324
103	501	4316
104	505	4307
105	509	4300
106	514	4292
107	518	4285
108	523	4277
109	527	4270
110	532	4262
111	536	4255
112	541	4246
113	545	4239
114	549	4231
115	554	4224
116	558	4217
117	563	4209
118	567	4202
119	572	4195
120	576	4187
121	580	4180
122	585	4174
123	589	4164
124	593	4154
125	597	4145
126	601	4135
127	605	4126
128	609	4116
129	613	4106
130	617	4097
131	621	4089
132	626	4081
133	630	4073
134	634	4064
135	638	4055
136	642	4046
137	646	4038
138	650	4030
139	654	4021
140	658	4012
141	663	4006
142	667	3998
143	671	3990
144	675	3982
145	679	3976
146	684	3970
147	688	3961
148	692	3956
149	696	3948
150	701	3942
151	705	3933
152	709	3927
153	713	3919
154	717	3912
155	721	3904
156	726	3898
157	730	3890
158	734	3882
159	738	3874
160	741	3866
161	746	3859
162	750	3852
163	754	3846
164	758	3838
165	762	3832
166	767	3826
167	771	3819
168	775	3812
169	779	3807
170	784	3801
171	788	3794
172	792	3787
173	796	3779
174	800	3771
175	804	3764
176	808	3757
177	812	3750
178	816	3743
179	820	3736
180	824	3729
181	828	3722
182	832	3715
183	836	3708
184	840	3702
185	844	3697
186	849	3691
187	853	3685
188	857	3679
189	861	3672
190	865	3666
191	869	3660
192	873	3654
193	878	3648
194	882	3641
195	886	3635
196	890	3628
197	894	3622
198	898	3615
199	902	3609
200	906	3603
201	910	3598
202	915	3594
203	920	3589
204	923	3583
205	928	3577
206	932	3571
207	936	3565
208	940	3559
209	944	3552
210	948	3546
211	952	3539
212	956	3534
213	960	3528
214	965	3523
215	969	3517
216	973	3512
217	977	3506
218	981	3500
219	985	3493
220	989	3487
221	993	3480
222	997	3474
223	1001	3468
224	1005	3463
225	1009	3457
226	1013	3452
227	1018	3447
228	1022	3442
229	1026	3437
230	1031	3432
231	1035	3427
232	1039	3422
233	1043	3416
234	1047	3410
235	1051	3405
236	1055	3399
237	1060	3394
238	1064	3388
239	1068	3382
