iter	Logloss
0	0.6895151671
1	0.6855551357
2	0.6814785435
3	0.6779750991
4	0.6747195505
5	0.6710515766
6	0.6666296558
7	0.6629905172
8	0.659074798
9	0.6564219976
10	0.652715106
11	0.6488028167
12	0.644375209
13	0.6414612664
14	0.637578039
15	0.6341240744
16	0.6316701058
17	0.6283867181
18	0.6246468813
19	0.6213881042
20	0.6180416737
21	0.6144566101
22	0.6116272719
23	0.6083183916
24	0.6055846193
25	0.6030636232
26	0.6002939278
27	0.5976089991
28	0.5948163554
29	0.59194418
30	0.5887248272
31	0.5855824949
32	0.5821889231
33	0.5795797087
34	0.5771922011
35	0.5748341693
36	0.5717841784
37	0.5690357082
38	0.5658728729
39	0.5624269791
40	0.5598855894
41	0.5569655448
42	0.5543702217
43	0.5514908661
44	0.5481932519
45	0.5455645471
46	0.542627368
47	0.5404052474
48	0.5379158995
49	0.5347097665
50	0.5319689885
51	0.5296750114
52	0.5267809453
53	0.5243714198
54	0.5221500205
55	0.5201419929
56	0.5174847584
57	0.5151847799
58	0.5127225456
59	0.5106748908
60	0.508916896
61	0.507002964
62	0.5043122183
63	0.5015519129
64	0.4994938119
65	0.4974630929
66	0.4949633295
67	0.4927871304
68	0.4910679823
69	0.4889303906
70	0.4868279544
71	0.4855211063
72	0.4831079735
73	0.481106851
74	0.4792533787
75	0.4770031579
76	0.4750608112
77	0.4732198706
78	0.4706101285
79	0.4685079524
80	0.4664415145
81	0.4640957508
82	0.4622838851
83	0.4602254752
84	0.4587047167
85	0.4568696287
86	0.454850781
87	0.4529723304
88	0.4516113538
89	0.4501294693
90	0.448385542
91	0.4466022968
92	0.4447367488
93	0.4431405978
94	0.4409470168
95	0.4388830767
96	0.4372928894
97	0.4357400034
98	0.4342797134
99	0.4323185186
100	0.4309320677
101	0.4290052326
102	0.4275221011
103	0.4255993999
104	0.4240010675
105	0.4219640167
106	0.419797089
107	0.4178918068
108	0.4167537556
109	0.4149232388
110	0.4135507711
111	0.4123334152
112	0.4110439517
113	0.4096209668
114	0.408303551
115	0.4069380906
116	0.4055959214
117	0.4045703718
118	0.403413772
119	0.4022621144
120	0.4008748702
121	0.3995383969
122	0.3981179757
123	0.3971041726
124	0.3955595901
125	0.3938842166
126	0.392444607
127	0.3911344531
128	0.3895568021
129	0.3881001607
130	0.386873037
131	0.38535589
132	0.3840127848
133	0.3827341026
134	0.3813125478
135	0.3799405876
136	0.3784521363
137	0.3769797846
138	0.375505655
139	0.3741254443
140	0.3727212083
141	0.3715914736
142	0.3706925576
143	0.3695582554
144	0.3685237729
145	0.3671893345
146	0.3660374789
147	0.3649450766
148	0.3640446758
149	0.362436547
150	0.3615454398
151	0.3606094267
152	0.3596112247
153	0.3584579088
154	0.3568715912
155	0.3556370898
156	0.3547761787
157	0.3534027872
158	0.3525236901
159	0.3514875001
160	0.3506946513
161	0.3494420297
162	0.3483462143
163	0.3471751816
164	0.3461205997
165	0.3451307959
166	0.3439129601
167	0.3431788608
168	0.3422517766
169	0.3408965551
170	0.3399676351
171	0.3386731115
172	0.3378070752
173	0.337003758
174	0.3362230878
175	0.3352793819
176	0.3342515684
177	0.3333413005
178	0.3323732653
179	0.3315258619
180	0.3307277391
181	0.3301498566
182	0.3292575971
183	0.328451763
184	0.3272407804
185	0.3264878581
186	0.3258330105
187	0.3248590273
188	0.3240143101
189	0.3235479765
190	0.3224447778
191	0.3215510278
192	0.3206540779
193	0.3197676966
194	0.3189849686
195	0.3183936035
196	0.3177901617
197	0.3170249854
198	0.3162734561
199	0.3155073933
200	0.3145988369
201	0.3140141205
202	0.3129609086
203	0.3121178228
204	0.3113847311
205	0.3108090707
206	0.3099114455
207	0.3090720103
208	0.3084059779
209	0.3075566419
210	0.3066925241
211	0.3056022829
212	0.3049120686
213	0.3043103256
214	0.3037028856
215	0.3030380298
216	0.3021962417
217	0.3016036806
218	0.3009920356
219	0.3003042746
220	0.2995033997
221	0.2989353853
222	0.2983055039
223	0.2975565829
224	0.2972289691
225	0.2963418279
226	0.295722719
227	0.2949477605
228	0.2945567686
229	0.2938162312
230	0.2930406885
231	0.2925306449
232	0.2917532413
233	0.2911233693
234	0.290608274
235	0.2899545043
236	0.2890372384
237	0.2882414058
238	0.2874736589
239	0.2869056185
240	0.2861754061
241	0.2856258489
242	0.2848449874
243	0.2842402244
244	0.2836742039
245	0.2831170644
246	0.2825062639
247	0.2818235484
248	0.2811210519
249	0.2802871788
250	0.2798102166
251	0.2790524304
252	0.2787138818
253	0.2779975273
254	0.27745289
255	0.2769775284
256	0.2762692156
257	0.2757970939
258	0.2752183676
259	0.2746331003
260	0.2739451057
261	0.2734347849
262	0.2726986474
263	0.2720388765
264	0.2713801718
265	0.27067045
266	0.2701348362
267	0.2697029276
268	0.2690689564
269	0.2682068847
270	0.2677105717
271	0.2671850417
272	0.266699158
273	0.2661976961
274	0.2658569023
275	0.2653542946
276	0.2648586557
277	0.2640606628
278	0.2634598628
279	0.2631133152
280	0.2625989773
281	0.2620375598
282	0.26153307
283	0.2609908912
284	0.2605294574
285	0.2599690721
286	0.2595836765
287	0.2589589826
288	0.2584509975
289	0.2579487139
290	0.2574630003
291	0.2570018924
292	0.2564226885
293	0.2559080791
294	0.2554824782
295	0.2550582207
296	0.2545783574
297	0.2541775996
298	0.2536755041
299	0.2532646593
300	0.2527323084
301	0.2523800736
302	0.2518787591
303	0.2512111365
304	0.2507753916
305	0.250254124
306	0.2498763238
307	0.2495089443
308	0.2490340358
309	0.2484963783
310	0.2481442177
311	0.2477107892
312	0.2472574956
313	0.2469082323
314	0.2465014619
315	0.2461033681
316	0.2456511827
317	0.245329147
318	0.2449245347
319	0.2444131526
320	0.2439602432
321	0.2435415138
322	0.2429715433
323	0.242559929
324	0.2422756045
325	0.2419049966
326	0.2415053802
327	0.2409642226
328	0.2404939395
329	0.2402981111
330	0.2399689745
331	0.2396475775
332	0.2393510574
333	0.2389324256
334	0.2386702389
335	0.2385222449
336	0.2381481982
337	0.2376422202
338	0.2372539255
339	0.2369513506
340	0.2367036691
341	0.2363530822
342	0.2356957759
343	0.2351513245
344	0.2348603053
345	0.2345647089
346	0.234239896
347	0.2337334604
348	0.233382744
349	0.2329550427
350	0.2324966399
351	0.2321480946
352	0.2317397136
353	0.2314104449
354	0.2308438468
355	0.2306135655
356	0.2303765849
357	0.230054161
358	0.2297553472
359	0.2294489349
360	0.2290808843
361	0.2287931006
362	0.2284617856
363	0.2282228027
364	0.2278960288
365	0.2275269713
366	0.2270526824
367	0.2267436766
368	0.2263229457
369	0.2258175342
370	0.2252976024
371	0.2248827977
372	0.2246381857
373	0.2243000069
374	0.2239498206
375	0.2234823917
376	0.2230622945
377	0.2228242231
378	0.2225683086
379	0.2221970767
380	0.2218634804
381	0.2216557276
382	0.2213761645
383	0.2211051912
384	0.2208686851
385	0.2206082021
386	0.2204077026
387	0.2201066118
388	0.2197519871
389	0.2195104944
390	0.2193208893
391	0.2189622588
392	0.218588219
393	0.2182710973
394	0.2180156282
395	0.2177099644
396	0.2174735862
397	0.2173002018
398	0.2170804817
399	0.2168624564
400	0.2165591457
401	0.2162253664
402	0.2160221262
403	0.2157277475
404	0.2154710327
405	0.215223995
406	0.2149334713
407	0.2146868358
408	0.2144071457
409	0.2142896392
410	0.2139332916
411	0.2136137624
412	0.2133282266
413	0.2129622665
414	0.2125576904
415	0.2123049425
416	0.21196867
417	0.2117714781
418	0.2114777762
419	0.2111966706
420	0.2109899673
421	0.210614634
422	0.2103921603
423	0.2101458013
424	0.2098646949
425	0.2096061146
426	0.2092613089
427	0.2090096143
428	0.2087636602
429	0.2084936762
430	0.2082346977
431	0.2079628635
432	0.2076824648
433	0.2074053481
434	0.2071533331
435	0.2069607841
436	0.2066271094
437	0.2063703819
438	0.2061425046
439	0.2059159
440	0.2056262789
441	0.2054349202
442	0.2052395373
443	0.2049923583
444	0.2048347108
445	0.2046407377
446	0.2044066981
447	0.204208079
448	0.2039684693
449	0.2037242268
450	0.2035328682
451	0.2033239973
452	0.2029827212
453	0.2026413956
454	0.2023818964
455	0.2021902205
456	0.201882257
457	0.2017189488
458	0.2013320302
459	0.2011591977
460	0.2008269763
461	0.2006407908
462	0.2004596283
463	0.2001972018
464	0.1999178916
465	0.1997408414
466	0.1994204276
467	0.1991166978
468	0.1988326929
469	0.1986254715
470	0.198380631
471	0.1980716957
472	0.1978647446
473	0.1975941766
474	0.1973357997
475	0.1970874208
476	0.196923332
477	0.1967465032
478	0.1965375023
479	0.196421859
480	0.1960208732
481	0.1958223534
482	0.1956034448
483	0.19545156
484	0.1951952583
485	0.1950411854
486	0.1946366294
487	0.1944866285
488	0.1941986153
489	0.1939375856
490	0.1937227064
491	0.193541407
492	0.1933715737
493	0.1932385571
494	0.1930056476
495	0.1928702124
496	0.1927008812
497	0.19239323
498	0.1922486785
499	0.192002462
500	0.1917710993
501	0.1915837978
502	0.1913803958
503	0.1911012045
504	0.1908531535
505	0.1907149096
506	0.1904257586
507	0.1902281014
508	0.1900853745
509	0.1898873104
510	0.1896544669
511	0.1893210711
512	0.18909876
513	0.188866807
514	0.1886086585
515	0.1884347762
516	0.188226519
517	0.1879936695
518	0.1878834499
519	0.1877309866
520	0.187570431
521	0.1873220888
522	0.1870834082
523	0.1868830022
524	0.1867034251
525	0.1865640427
526	0.1863814589
527	0.1862077153
528	0.1860401707
529	0.1858099784
530	0.1856378287
531	0.1854686323
532	0.1852838043
533	0.1849867587
534	0.1848919687
535	0.1846624121
536	0.1843993967
537	0.184282623
538	0.1841276986
539	0.1840033268
540	0.1837212904
541	0.1834929031
542	0.1833437575
543	0.1831961872
544	0.1830657274
545	0.1829517982
546	0.1827313962
