name_short,9AA,CHCA,CMBT,ClCCA,DAN,DHAP,DHB,MAPS,NEDC,NOR,PNDI,pNA
Acetylcarnitine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetylcholine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agmatine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbamoyl phosphate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnitine,1.8790650130886557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glycerophosphocholine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Histamine,2.4855340958804097,0.0,0.0,0.0,2.1368126151510403,0.0,0.0,0.0,0.0,1.6250582216712797,0.0,1.2405533416135985
Propionylcarnitine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Putrescine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spermidine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spermine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-Hydroxyanthranilic acid,3.754200406487889,0.0,0.0,0.0,0.0,0.0,0.0,2.9783962542713494,0.0,0.0,0.0,0.0
4-Hydroxyproline,3.3765543523528434,0.0,0.0,0.0,3.6287715133879717,2.376708995351015,0.0,0.0,0.0,3.2243057819291914,0.0,2.5060151263669748
5-Hydroxyindoleacetic acid,2.4740469582468996,0.0,0.0,0.0,3.7905393314055487,1.888959708081503,0.0,0.0,0.0,0.0,0.0,0.0
Arginine,3.8239163362540958,1.3894938972636084,0.0,0.0,3.7716557820957872,1.9691821598847066,0.0,0.0,0.0,3.427175299639807,0.0,2.4448842969639406
Argininosuccinic acid,4.443890343962045,1.7074449790562414,0.0,0.0,3.138474802600664,1.0814834446269235,0.0,0.0,0.0,3.5146245907516085,0.0,2.471746660250386
Asparagine,3.055972327319788,0.0,1.7213196179644437,0.0,4.379120506979412,2.2042119890526943,0.0,0.0,0.0,3.4649564982144696,0.0,2.9717460797643254
Aspartic acid,4.208115674739658,2.326739689901946,2.3757775213215733,0.0,4.322844437517708,0.0,2.1431953230042082,0.0,0.0,4.244110968289964,0.0,3.29451269538952
Carnosine,5.079465529733638,2.5388301381479095,2.3549247408441536,1.7263972480531535,4.432552401317577,2.98916253654532,1.5541306130921846,0.0,0.0,4.79164134537863,0.0,3.5931368745376604
Citrulline,4.08369265554015,1.7382379459310495,1.3218549757040525,1.7394984289919813,3.8894873021582046,0.0,0.0,0.0,0.0,3.979419873724373,0.0,2.6862179208847023
Creatine,2.4591754069110547,0.0,0.0,0.0,2.7559572495197044,1.984819002752614,0.0,0.0,0.0,2.5102708087819354,0.0,0.0
Creatinine,3.328813314275123,0.0,0.0,0.0,3.6131797633689495,0.0,1.406530404440295,0.0,0.0,2.589245060014954,0.0,2.2930712255498773
Cysteine,2.641369768140955,1.4738249167254274,0.0,1.1956314688506422,3.538800881031721,2.4499214928595383,0.0,2.4126785639702377,0.0,3.6198242612796783,0.0,2.719352130961034
Cystine,3.0412610344968245,0.0,0.0,0.0,3.4116844244851157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dopamine,2.6664941592236446,0.0,0.0,0.0,3.6204007481226363,1.961802346395284,0.0,0.0,0.0,3.4253480175836466,0.0,2.422584948676713
Epinephrine,2.677103883488091,0.0,0.0,0.0,3.213885728722586,2.066217543250549,0.0,0.0,0.0,2.7481800777933802,0.0,1.9342798855308028
Glutamic acid,4.543663747937896,2.6339985771616545,1.9588967624962021,1.236882771032329,4.809297892841613,2.6424094533550906,2.5385570201848777,0.0,0.0,4.422125425038781,0.0,3.4083790190701193
Glutamine,4.051807045819844,0.0,0.0,0.0,4.323275059610259,2.676830313153366,0.0,0.0,0.0,3.7662039785884103,0.0,2.5884808463227724
Glutathione,3.836147576475278,0.0,0.0,1.7026667490747358,4.2110903853236525,2.991280465454616,2.3987176372612473,0.0,0.0,4.198319030330107,0.0,2.7835130387043723
Glycine,1.7817697815048323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3529634491283682,0.0,0.0
Histidine,4.078243606162822,2.097901330509632,2.227578081432323,0.0,4.261250184828705,2.559029170246312,0.0,0.0,0.0,4.53138476712206,2.3517433305579925,2.9320531934700984
Homocysteine,0.0,0.0,0.0,0.0,3.5037000980249027,0.0,0.0,0.0,0.0,2.7689784044496077,0.0,2.771118027536625
Indole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kynurenine,2.4949832219523262,0.0,0.0,0.0,3.6395257532928853,0.0,0.0,2.3310040328393926,0.0,2.673485777488017,0.0,2.897674064020321
L-Dopa,2.730207868451544,0.0,0.0,0.0,3.611785803689496,1.862689494609088,0.0,0.0,0.0,3.863835382024439,0.0,2.582667399854726
Melatonin,1.7557578089672088,0.0,0.0,0.0,3.4119072382714113,0.0,0.0,0.0,0.0,1.5201834187034742,0.0,0.0
Methionine,2.7870869198414447,0.0,0.0,0.0,3.706473152417061,0.0,0.0,0.0,0.0,2.8562086093733323,0.0,2.274832860243358
N-Acetylaspartic acid,5.44490784014757,3.850511699441158,3.2083338176166376,2.667546685004732,4.6602983155965445,3.1452957508827772,3.367778565289545,3.4776994367868332,0.0,4.415048507819425,0.0,4.5711028420383775
N-Acetylaspartylglutamic acid,4.4439848341450245,3.1113936897724996,2.3486978872010407,2.287037012177361,4.268292053050013,3.137364493796925,2.787519557220043,0.0,2.5544967918899992,4.615278995415989,0.0,3.109146196948571
"N6,N6,N6-Trimethyllysine",1.729300509816929,0.0,0.0,0.0,1.7809958800331223,0.0,0.0,0.0,0.0,2.1676608528281576,0.0,1.7905200277864823
Ornithine,2.254812102017839,0.0,0.0,0.0,3.31608333124542,0.0,0.0,0.0,0.0,2.9684811273151923,0.0,2.2929994963645153
Oxidized glutathione,5.544729838944959,4.833339918815987,0.0,3.5642615797383703,4.5088951536032456,3.550260428494,4.042649332290546,0.0,0.0,5.007690010433156,0.0,4.327466462606034
Pantetheine,3.099428103824812,1.3759963663155548,1.6114737771599545,0.0,3.809218905541896,2.2212111108561285,0.0,0.0,2.411449200129627,4.12826780946951,2.089582130496762,3.239361114531785
Phenylalanine,3.1226056211198427,1.2573466566774467,0.0,0.0,3.2925095278655725,1.8756461824724495,0.0,2.3698845456059763,0.0,3.6640376791920994,0.0,2.8665247475867592
Phosphocreatine,3.488606621266416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phosphoserine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proline,2.8448850221755446,1.520401185844802,0.0,0.0,4.264718272414816,2.075261510581926,0.0,0.0,0.0,3.141607345105326,0.0,3.0437750742137286
S-Adenosylhomocysteine,4.30198961384967,3.4182072945181066,0.0,2.2015880080524473,0.0,0.0,3.4333892796622263,0.0,1.8380704395345466,0.0,0.0,0.0
S-Adenosylmethionine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serine,3.6014676006840505,0.0,0.0,0.0,3.768454541598849,0.0,0.0,0.0,1.3509415405556158,2.804030742848178,0.0,2.9526069688998384
Serotonin,0.0,0.0,0.0,0.0,3.5394825261818057,0.0,0.0,0.0,0.0,1.8443095144149428,0.0,0.0
Taurine,5.31997602897959,3.9242239099851393,2.534290627649146,2.0264723854890563,4.086891708863141,3.352797757278657,2.91551760117372,0.0,0.0,3.8729592720218764,0.0,3.769061165770848
Tryptophan,2.41442478840722,1.0264643766050898,0.0,0.0,3.2688102666546413,1.5015237362497076,0.0,0.0,0.0,2.6884841337616434,0.0,0.0
Tyrosine,2.131818765774426,0.0,0.0,0.0,2.8720317377116324,0.0,0.0,0.0,0.0,0.0,0.0,2.5279452619800677
Ureidosuccinic acid,4.4688236998641875,2.9570883759366002,1.6877967143980652,1.9796833765108055,3.3989395935408697,2.815898874676096,2.795286817809075,0.0,1.6484433972751187,3.787765896453872,0.0,2.894413020290508
Urocanic acid,4.532083482186899,2.1444890837758095,0.0,1.816641992103477,4.027057451586212,2.411907843862214,2.0138002477766648,0.0,0.0,4.265808590049465,0.0,0.0
Valine,3.1713776789954284,0.0,0.0,0.0,3.543144161759707,1.7774033524523438,0.0,0.0,0.0,0.0,0.0,2.7848092240654867
